Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,2.700224e-01,[-0.14499743 -0.00219565  0.09044208  0.02235751],1.061624e+00,0.000000e+00,2.000000e-01,2.000000e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,[0.  0.2 0.2],2.000000e+00,2.5074048335490238
2,14,2.700224e-01,[-0.14499743 -0.00219565  0.09044208  0.02235751],2.367163e-01,9.743974e-01,8.162824e-02,8.287098e-02,8.525526e-01,8.534387e-01,9.343518e-01,-3.859042e-01,[0.97439742 0.08162824 0.08287098],1.666014e+00,1.986620896316896
3,21,2.700224e-01,[-0.14499743 -0.00219565  0.09044208  0.02235751],5.423482e-02,1.627451e+00,1.513871e-01,-4.347298e-02,7.275623e-01,7.285815e-01,8.715154e-01,-7.722330e-01,[ 1.6274514   0.15138706 -0.04347298],1.453244e+00,1.9457550031614044
4,28,2.700224e-01,[-0.14499743 -0.00219565  0.09044208  0.02235751],2.367163e-01,1.827101e+00,-7.303733e-02,-1.513871e-01,6.215339e-01,6.257085e-01,8.112783e-01,-1.153580e+00,[ 1.82710093 -0.07303733 -0.15138706],1.238701e+00,1.1876999330319058
5,35,2.700224e-01,[-0.14499743 -0.00219565  0.09044208  0.02235751],2.367163e-01,2.804738e+00,-1.513871e-01,-8.287098e-02,5.321913e-01,5.343889e-01,8.962761e-01,-1.366890e+00,[ 2.80473803 -0.15138706 -0.08287098],1.211897e+00,1.3016734022386938
6,42,2.700224e-01,[-0.14499743 -0.00219565  0.09044208  0.02235751],2.367163e-01,3.068354e+00,1.736393e-01,-2.000000e-01,4.554528e-01,4.695704e-01,8.562997e-01,-1.697535e+00,[ 3.06835354  0.17363927 -0.2       ],1.127429e+00,1.0084190137971067
7,49,2.700224e-01,[-0.14499743 -0.00219565  0.09044208  0.02235751],2.367163e-01,2.852283e+00,2.000000e-01,3.425804e-02,3.970722e-01,4.024502e-01,7.410001e-01,-2.133575e+00,[2.85228289 0.2        0.03425804],9.314952e-01,0.7279584216472121
8,56,2.700224e-01,[-0.14499743 -0.00219565  0.09044208  0.02235751],2.367163e-01,4.189885e+00,1.513871e-01,1.918380e-01,3.435559e-01,3.476505e-01,1.133609e+00,-1.999557e+00,[4.18988462 0.15138706 0.19183796],1.069470e+00,1.1954929540810983
9,63,2.700224e-01,[-0.14499743 -0.00219565  0.09044208  0.02235751],2.440182e-01,3.656494e+00,-4.104930e-02,1.588931e-01,2.966484e-01,3.028600e-01,1.009379e+00,-2.400358e+00,[ 3.65649396 -0.0410493   0.15889311],9.392250e-01,0.4867814239162517
10,70,1.624274e-01,[-0.14499743 -0.00219565  0.09044208  0.02235751],2.024144e-01,3.056541e+00,1.662746e-03,9.447352e-02,2.543944e-01,2.590498e-01,9.406835e-01,-2.780753e+00,[3.05654075e+00 1.66274623e-03 9.44735240e-02],7.464579e-01,0.3625681215104294
11,77,1.624274e-01,[-0.14499743 -0.00219565  0.09044208  0.02235751],1.913424e-01,2.757483e+00,4.919028e-02,6.704146e-02,2.169577e-01,2.219492e-01,9.049444e-01,-3.133241e+00,[2.75748255 0.04919028 0.06704146],6.329997e-01,0.2135540584738244
12,84,1.624274e-01,[-0.14499743 -0.00219565  0.09044208  0.02235751],2.367163e-01,3.271487e+00,6.512847e-02,-8.287098e-02,1.889422e-01,2.078039e-01,9.210892e-01,-3.319673e+00,[ 3.27148747  0.06512847 -0.08287098],5.650456e-01,0.12069460762162361
13,91,1.624274e-01,[-0.14499743 -0.00219565  0.09044208  0.02235751],2.153895e-01,2.977174e+00,7.639302e-02,8.688558e-02,1.624353e-01,1.880509e-01,8.152791e-01,-3.692742e+00,[2.97717366 0.07639302 0.08688558],4.611258e-01,0.12328974134781569
14,98,1.624274e-01,[-0.14499743 -0.00219565  0.09044208  0.02235751],2.334640e-01,2.808567e+00,2.156365e-02,1.680778e-03,1.439740e-01,1.654940e-01,8.041511e-01,-3.954911e+00,[2.80856680e+00 2.15636469e-02 1.68077824e-03],3.969509e-01,0.0
15,105,1.303647e-01,[-0.14499743 -0.00219565  0.09044208  0.02235751],1.791425e-01,2.660569e+00,3.848484e-02,7.096239e-02,1.247589e-01,1.448732e-01,7.737877e-01,-4.269726e+00,[2.66056895 0.03848484 0.07096239],3.524618e-01,0.03327451614799633
16,112,1.228013e-01,[-0.14499743 -0.00219565  0.09044208  0.02235751],1.149356e-01,2.411052e+00,-6.168079e-02,3.225579e-02,1.161536e-01,1.323139e-01,8.549459e-01,-4.332137e+00,[ 2.41105246 -0.06168079  0.03225579],3.676827e-01,0.01467633439470272
17,119,1.228013e-01,[-0.14499743 -0.00219565  0.09044208  0.02235751],1.021727e-01,2.231147e+00,-1.715559e-02,9.664467e-02,1.002698e-01,1.210043e-01,9.033228e-01,-4.513495e+00,[ 2.23114731 -0.01715559  0.09664467],3.693361e-01,0.013174778399196682
18,126,1.228013e-01,[-0.14499743 -0.00219565  0.09044208  0.02235751],8.922365e-02,2.195514e+00,-3.537745e-02,6.047100e-02,8.571149e-02,1.060821e-01,8.294890e-01,-4.887256e+00,[ 2.19551404 -0.03537745  0.060471  ],3.349375e-01,0.0014106182699416944
19,133,8.331302e-02,[-0.14499743 -0.00219565  0.09044208  0.02235751],9.984593e-02,2.279544e+00,-1.243103e-03,1.163533e-01,7.336240e-02,9.863088e-02,7.233134e-01,-5.252627e+00,[ 2.27954412e+00 -1.24310257e-03  1.16353252e-01],2.838069e-01,0.005213251139216605
20,140,6.505153e-02,[-0.14499743 -0.00219565  0.09044208  0.02235751],1.353555e-01,2.193196e+00,8.502229e-02,1.492488e-01,6.691641e-02,1.163093e-01,6.445723e-01,-5.294982e+00,[2.1931959  0.08502229 0.14924883],2.905967e-01,0.010925982743353426
21,147,2.568196e-02,[-0.14499743 -0.00219565  0.09044208  0.02235751],8.564040e-02,1.925187e+00,5.598528e-02,1.206348e-01,5.875591e-02,1.029598e-01,7.897691e-01,-5.343795e+00,[1.92518749 0.05598528 0.12063475],3.061600e-01,0.014263782577995357
22,154,2.568196e-02,[-0.14499743 -0.00219565  0.09044208  0.02235751],6.789356e-02,1.961870e+00,5.725556e-02,5.564256e-02,5.808987e-02,9.288235e-02,7.091822e-01,-5.565828e+00,[1.96186984 0.05725556 0.05564256],2.984008e-01,0.0
23,161,2.568196e-02,[-0.14499743 -0.00219565  0.09044208  0.02235751],7.120059e-02,1.885138e+00,8.301995e-02,1.796587e-02,5.901143e-02,8.118561e-02,6.549231e-01,-5.764279e+00,[1.885138   0.08301995 0.01796587],3.039025e-01,0.0015741002379561656
24,168,2.568196e-02,[-0.14499743 -0.00219565  0.09044208  0.02235751],1.048598e-01,1.689136e+00,1.182145e-01,3.518229e-02,5.283975e-02,7.067786e-02,7.312666e-01,-5.903092e+00,[1.68913609 0.11821454 0.03518229],3.168285e-01,0.006996255703962355
25,175,2.568196e-02,[-0.14499743 -0.00219565  0.09044208  0.02235751],5.794466e-02,1.829947e+00,7.602960e-02,-3.127715e-02,5.065578e-02,7.444505e-02,6.370472e-01,-6.031307e+00,[ 1.82994664  0.0760296  -0.03127715],3.009182e-01,0.013639164772030976
26,182,2.252714e-02,[-0.14499743 -0.00219565  0.09044208  0.02235751],9.269355e-02,1.905630e+00,1.175991e-01,-6.595616e-03,4.659640e-02,6.674668e-02,5.823386e-01,-6.313786e+00,[ 1.90562977  0.11759909 -0.00659562],2.659261e-01,0.005248910256231499
27,189,2.252714e-02,[-0.14499743 -0.00219565  0.09044208  0.02235751],1.618521e-02,1.721258e+00,4.031555e-02,-2.091063e-03,4.883744e-02,6.428915e-02,5.828107e-01,-6.303515e+00,[ 1.72125756  0.04031555 -0.00209106],2.664026e-01,0.0
28,196,2.252714e-02,[-0.14499743 -0.00219565  0.09044208  0.02235751],3.731434e-02,1.853621e+00,4.758145e-02,1.410008e-02,4.426020e-02,5.551294e-02,5.243574e-01,-6.654390e+00,[1.85362142 0.04758145 0.01410008],2.280549e-01,0.0
29,203,2.252714e-02,[-0.14499743 -0.00219565  0.09044208  0.02235751],2.710360e-02,1.892552e+00,8.622911e-03,4.736463e-03,3.897755e-02,5.696220e-02,4.792324e-01,-6.845707e+00,[1.89255205 0.00862291 0.00473646],2.183674e-01,0.0
30,210,1.536578e-02,[-0.14499743 -0.00219565  0.09044208  0.02235751],4.485962e-02,1.662178e+00,-5.860979e-03,2.546244e-02,3.629773e-02,5.124884e-02,6.201956e-01,-6.764783e+00,[ 1.6621778  -0.00586098  0.02546244],2.410139e-01,0.0
31,217,1.536578e-02,[-0.14499743 -0.00219565  0.09044208  0.02235751],2.042443e-02,1.652250e+00,6.428082e-03,2.442612e-02,3.112454e-02,4.421967e-02,5.650527e-01,-7.159181e+00,[1.65225041 0.00642808 0.02442612],2.228678e-01,0.0
32,224,1.492502e-02,[-0.14499743 -0.00219565  0.09044208  0.02235751],7.493052e-03,1.576627e+00,1.718769e-02,3.515192e-02,2.710647e-02,3.871712e-02,5.434375e-01,-7.469297e+00,[1.57662663 0.01718769 0.03515192],2.100944e-01,0.0
33,231,1.361671e-02,[-0.14499743 -0.00219565  0.09044208  0.02235751],1.650619e-02,1.566467e+00,2.868593e-02,1.481726e-02,2.504627e-02,3.424279e-02,4.846838e-01,-7.785568e+00,[1.56646732 0.02868593 0.01481726],1.875896e-01,0.0
34,238,8.976390e-03,[-0.14499743 -0.00219565  0.09044208  0.02235751],2.495835e-02,1.698056e+00,3.296106e-02,1.181412e-02,2.189409e-02,2.977484e-02,5.046588e-01,-8.019503e+00,[1.69805639 0.03296106 0.01181412],1.646591e-01,0.0
35,245,3.697946e-04,[-0.14499743 -0.00219565  0.09044208  0.02235751],1.159165e-02,1.627742e+00,2.926430e-02,2.789162e-02,2.020809e-02,2.546531e-02,4.491494e-01,-8.372510e+00,[1.62774188 0.0292643  0.02789162],1.380051e-01,0.0
