Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,1.919462e+00,[ 0.0691534  -0.13127535 -0.14210626 -0.01521954],5.523747e-01,0.000000e+00,1.884820e-01,-1.435415e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,[ 0.          0.18848202 -0.14354151],2.000000e+00,4.60054954892306
2,14,6.819213e-01,[ 0.0691534  -0.13127535 -0.14210626 -0.01521954],3.196707e-01,1.914774e+00,1.083128e-01,-8.287098e-02,8.525521e-01,8.529206e-01,1.083712e+00,-2.382172e-01,[ 1.91477373  0.10831284 -0.08287098],1.848349e+00,1.5340297464570434
3,21,6.819213e-01,[ 0.0691534  -0.13127535 -0.14210626 -0.01521954],2.410386e-01,2.455507e+00,-3.425804e-02,4.674100e-02,7.272898e-01,7.291894e-01,1.060247e+00,-5.757504e-01,[ 2.45550677 -0.03425804  0.046741  ],1.668086e+00,2.195555689158403
4,28,6.819213e-01,[ 0.0691534  -0.13127535 -0.14210626 -0.01521954],2.410386e-01,1.229421e+00,7.675534e-02,2.000000e-01,6.218611e-01,6.244282e-01,9.759191e-01,-9.703330e-01,[1.22942089 0.07675534 0.2       ],1.324486e+00,1.5979996915976729
5,35,2.955444e-01,[ 0.0691534  -0.13127535 -0.14210626 -0.01521954],2.410386e-01,1.990438e+00,3.425804e-02,7.248187e-02,5.314375e-01,5.338870e-01,8.857519e-01,-1.381059e+00,[1.99043815 0.03425804 0.07248187],1.093102e+00,0.7377349184858428
6,42,2.748149e-01,[ 0.0691534  -0.13127535 -0.14210626 -0.01521954],2.410386e-01,2.672485e+00,-5.673110e-02,-1.851760e-01,4.541373e-01,4.649210e-01,8.942012e-01,-1.667068e+00,[ 2.67248504 -0.0567311  -0.18517595],1.017795e+00,0.45850071457714764
7,49,2.748149e-01,[ 0.0691534  -0.13127535 -0.14210626 -0.01521954],3.612935e-01,2.658764e+00,1.402428e-01,6.794271e-02,3.890540e-01,4.101116e-01,8.264311e-01,-2.026002e+00,[2.65876376 0.14024278 0.06794271],8.693030e-01,0.9949518055517126
8,56,2.410386e-01,[ 0.0691534  -0.13127535 -0.14210626 -0.01521954],2.357757e-01,2.940354e+00,8.287098e-02,-1.111914e-01,3.343101e-01,3.533852e-01,7.603995e-01,-2.409794e+00,[ 2.94035412  0.08287098 -0.11119137],7.583578e-01,0.425076700219709
9,63,2.309269e-01,[ 0.0691534  -0.13127535 -0.14210626 -0.01521954],2.410386e-01,2.657456e+00,-6.007394e-02,-3.126961e-02,2.921314e-01,3.082172e-01,6.660676e-01,-2.813866e+00,[ 2.65745601 -0.06007394 -0.03126961],6.074290e-01,0.2904575896224248
10,70,2.028899e-01,[ 0.0691534  -0.13127535 -0.14210626 -0.01521954],2.322175e-01,2.826806e+00,-8.287842e-03,1.027868e-01,2.529457e-01,2.750953e-01,5.859408e-01,-3.199755e+00,[ 2.82680597 -0.00828784  0.1027868 ],5.124574e-01,0.09285493438229639
