Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,3.540757e-01,[[-0.11686554 -0.14833346  0.08416558  0.09669004]],3.169385e-01,8.086046e-01,-1.724998e-02,7.718121e-02,6.200698e-01,8.203834e-01,1.965815e+00,-1.443290e-15,[ 0.80860464 -0.01724998  0.07718121],5.478524e-01,0.37490197377508194
2,14,3.169385e-01,[[-0.11686554 -0.14833346  0.08416558  0.09669004]],3.169385e-01,1.069311e+00,-6.060485e-02,1.188856e-01,5.398195e-01,7.008275e-01,1.797099e+00,-3.858399e-01,[ 1.06931053 -0.06060485  0.11888559],4.444765e-01,0.1775210005606685
3,21,3.169385e-01,[[-0.11686554 -0.14833346  0.08416558  0.09669004]],2.961426e-01,1.065176e+00,1.512183e-01,-4.364375e-02,5.043162e-01,6.307088e-01,1.568274e+00,-6.954870e-01,[ 1.06517569  0.15121831 -0.04364375],3.914488e-01,0.10852556585736872
4,28,3.169385e-01,[[-0.11686554 -0.14833346  0.08416558  0.09669004]],3.169385e-01,9.660270e-01,-1.064643e-01,-3.330896e-02,4.853496e-01,5.397690e-01,1.364755e+00,-1.028525e+00,[ 0.96602697 -0.10646431 -0.03330896],3.339277e-01,0.09264594547917496
5,35,2.889967e-01,[[-0.11686554 -0.14833346  0.08416558  0.09669004]],3.169385e-01,1.090045e+00,-5.870456e-02,7.908921e-02,4.284273e-01,4.742196e-01,1.203032e+00,-1.408874e+00,[ 1.09004481 -0.05870456  0.07908921],2.742008e-01,0.05684886485870288
6,42,2.889967e-01,[[-0.11686554 -0.14833346  0.08416558  0.09669004]],2.857320e-01,1.102858e+00,1.412426e-02,-1.068374e-01,3.799197e-01,4.970338e-01,1.033921e+00,-1.633534e+00,[ 1.1028575   0.01412426 -0.10683744],2.496630e-01,0.03693002040207861
7,49,2.450564e-01,[[-0.11686554 -0.14833346  0.08416558  0.09669004]],3.169385e-01,1.013784e+00,9.501561e-02,1.803338e-02,3.756407e-01,4.507759e-01,9.056487e-01,-1.875011e+00,[1.01378386 0.09501561 0.01803338],2.251825e-01,0.02416129031101061
8,56,2.450564e-01,[[-0.11686554 -0.14833346  0.08416558  0.09669004]],2.351416e-01,1.270987e+00,3.105467e-02,-1.141153e-01,3.278332e-01,4.449451e-01,1.048278e+00,-1.877906e+00,[ 1.27098651  0.03105467 -0.11411527],2.264930e-01,0.021649227388777764
9,63,2.450564e-01,[[-0.11686554 -0.14833346  0.08416558  0.09669004]],3.169385e-01,1.159573e+00,-7.745662e-03,7.664353e-02,2.953731e-01,4.829223e-01,9.834445e-01,-1.964109e+00,[ 1.15957323 -0.00774566  0.07664353],2.069397e-01,0.0038982103372639165
10,70,2.450564e-01,[[-0.11686554 -0.14833346  0.08416558  0.09669004]],3.169385e-01,1.197507e+00,-3.819375e-02,2.277295e-03,2.671385e-01,4.213403e-01,8.731846e-01,-2.319911e+00,[ 1.19750672 -0.03819375  0.00227729],1.756335e-01,0.00027302391651147707
