Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,4.565657e-01,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.892715e-01,8.618780e-01,9.195336e-02,3.627574e-02,6.197224e-01,8.938234e-01,1.805307e+00,-6.661338e-16,[0.86187805 0.09195336 0.03627574],5.489741e-01,0.42761703180319216
2,14,2.446028e-01,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.892715e-01,8.832286e-01,-8.287098e-02,2.000000e-01,5.371936e-01,7.996001e-01,1.543037e+00,-4.112876e-01,[ 0.88322858 -0.08287098  0.2       ],4.557212e-01,0.24426826221360803
3,21,1.892715e-01,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.892715e-01,4.499391e-01,-3.979787e-02,8.287098e-02,4.649798e-01,6.835387e-01,1.530680e+00,-7.205214e-01,[ 0.44993912 -0.03979787  0.08287098],4.032956e-01,0.3158853045101312
4,28,1.892715e-01,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.892715e-01,3.322722e-01,-2.091484e-02,1.968205e-01,4.228994e-01,5.885701e-01,1.383429e+00,-1.066115e+00,[ 0.33227216 -0.02091484  0.19682046],3.630210e-01,0.16736278463474738
5,35,1.892715e-01,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.892715e-01,2.422546e-01,3.764333e-02,7.657584e-02,3.644691e-01,5.175395e-01,1.256336e+00,-1.439784e+00,[0.24225464 0.03764333 0.07657584],3.148191e-01,0.09095436462994091
6,42,1.892715e-01,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.892715e-01,6.430374e-01,8.288112e-02,1.814798e-02,3.318243e-01,4.681994e-01,1.351835e+00,-1.560548e+00,[0.64303742 0.08288112 0.01814798],2.973456e-01,0.07115616911537548
7,49,1.892715e-01,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.892715e-01,6.067145e-01,3.765372e-03,5.008200e-02,2.873931e-01,4.095632e-01,1.182098e+00,-1.972277e+00,[0.60671446 0.00376537 0.050082  ],2.465057e-01,0.009898032488714134
8,56,1.892715e-01,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.892715e-01,7.718051e-01,-1.153273e-02,-1.029576e-02,2.669762e-01,3.504799e-01,1.152159e+00,-2.227410e+00,[ 0.77180509 -0.01153273 -0.01029576],2.336228e-01,0.02048675801961558
9,63,1.892715e-01,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.892715e-01,6.531823e-01,-6.450577e-02,6.957847e-03,2.399490e-01,3.188130e-01,1.072679e+00,-2.500320e+00,[ 0.6531823  -0.06450577  0.00695785],1.988630e-01,0.0
10,70,1.892715e-01,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.892715e-01,6.783463e-01,-4.365531e-02,3.821198e-02,2.208921e-01,2.769050e-01,9.976612e-01,-2.796503e+00,[ 0.67834634 -0.04365531  0.03821198],1.570127e-01,0.0
11,77,1.892715e-01,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.892715e-01,6.005743e-01,-7.325905e-03,3.311839e-02,1.907672e-01,2.435370e-01,9.352577e-01,-3.136121e+00,[ 0.6005743  -0.0073259   0.03311839],1.327254e-01,0.0
