Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,2.328974e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.449107e+00,-7.791050e-02,-2.553001e-02,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,[ 3.44910691 -0.0779105  -0.02553001],4.935027e-01,0.685150913736454
2,14,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.325087e+00,1.738570e-01,-1.622972e-01,8.541822e-01,9.044744e-01,9.788321e-01,-2.794072e-01,[ 3.32508717  0.17385704 -0.16229719],4.240102e-01,0.36379369796820643
3,21,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.415269e+00,-5.655925e-02,-1.685806e-01,7.419005e-01,7.787538e-01,8.564057e-01,-7.036114e-01,[ 3.41526883 -0.05655925 -0.16858065],3.407842e-01,0.33493174855092656
4,28,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.265754e+00,1.543322e-01,-1.206873e-01,6.404425e-01,6.865791e-01,8.299134e-01,-1.008064e+00,[ 3.26575403  0.15433221 -0.12068731],2.960372e-01,0.04693092139108629
5,35,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.156112e+00,-5.350790e-02,5.333175e-03,5.633174e-01,7.178159e-01,7.567127e-01,-1.184226e+00,[ 3.15611247 -0.0535079   0.00533317],2.796646e-01,0.06338421574540767
6,42,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.300177e+00,8.308218e-03,-6.135739e-02,4.851742e-01,6.324375e-01,6.718514e-01,-1.579139e+00,[ 3.30017666  0.00830822 -0.06135739],2.180427e-01,0.04054107060818062
7,49,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.389388e+00,1.104343e-02,-6.217826e-02,4.397686e-01,5.585033e-01,6.549908e-01,-1.827136e+00,[ 3.38938811  0.01104343 -0.06217826],1.868860e-01,0.03409421662457874
8,56,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.529021e+00,-1.282636e-01,-5.710385e-02,3.771375e-01,5.129623e-01,8.476815e-01,-1.807949e+00,[ 3.52902062 -0.12826359 -0.05710385],2.012639e-01,0.059157030368479024
9,63,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.521658e+00,-8.477448e-02,-1.201399e-01,3.391651e-01,4.498662e-01,7.530949e-01,-2.163637e+00,[ 3.52165789 -0.08477448 -0.12013986],1.845809e-01,0.05296732902124328
10,70,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.225959e+00,-1.582316e-01,-6.326044e-02,2.964839e-01,4.950555e-01,1.087123e+00,-1.835313e+00,[ 3.2259587  -0.15823164 -0.06326044],2.110621e-01,0.0
11,77,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.600685e+00,-3.564668e-02,-1.830602e-02,2.875013e-01,4.352655e-01,1.376321e+00,-1.758913e+00,[ 3.60068491 -0.03564668 -0.01830602],2.005647e-01,0.04252155795262385
12,84,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.521154e+00,-7.594884e-02,1.551600e-03,2.593580e-01,3.782900e-01,1.188392e+00,-2.149039e+00,[ 3.52115432e+00 -7.59488375e-02  1.55159986e-03],1.715231e-01,0.0
13,91,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.666517e+00,-4.042428e-02,-2.773525e-02,2.228489e-01,3.272913e-01,1.244433e+00,-2.399486e+00,[ 3.66651698 -0.04042428 -0.02773525],1.553693e-01,0.008678555002929482
14,98,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.759507e+00,-3.288345e-02,5.633572e-03,1.982276e-01,2.831767e-01,1.270776e+00,-2.640396e+00,[ 3.75950707 -0.03288345  0.00563357],1.500380e-01,0.0
15,105,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.745502e+00,-2.588121e-02,-7.858658e-03,1.742888e-01,2.475865e-01,1.108382e+00,-3.040135e+00,[ 3.74550158 -0.02588121 -0.00785866],1.266103e-01,0.0
16,112,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.717416e+00,-1.781751e-02,1.614211e-02,1.636232e-01,2.208611e-01,9.601851e-01,-3.361040e+00,[ 3.717416   -0.01781751  0.01614211],1.075928e-01,0.0
17,119,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.796004e+00,-1.043743e-02,4.900623e-02,1.664608e-01,1.892233e-01,9.959663e-01,-3.461865e+00,[ 3.79600441 -0.01043743  0.04900623],1.078108e-01,0.0
18,126,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.844304e+00,-2.400328e-02,3.255953e-02,1.452510e-01,1.714588e-01,1.000781e+00,-3.691924e+00,[ 3.84430448 -0.02400328  0.03255953],1.012970e-01,0.0
19,133,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.814586e+00,-2.563817e-02,3.766880e-02,1.248316e-01,1.489565e-01,8.981778e-01,-4.092278e+00,[ 3.81458584 -0.02563817  0.0376688 ],8.288012e-02,0.0
20,140,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.794483e+00,-3.424007e-02,2.748092e-02,1.079121e-01,1.299208e-01,7.909856e-01,-4.501744e+00,[ 3.7944829  -0.03424007  0.02748092],6.680732e-02,0.0
21,147,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.854095e+00,-3.991545e-02,2.719304e-02,9.243635e-02,1.229522e-01,8.636629e-01,-4.623767e+00,[ 3.85409531 -0.03991545  0.02719304],6.513312e-02,0.0
22,154,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.870886e+00,-3.053512e-02,4.325678e-02,8.706245e-02,1.159754e-01,8.179487e-01,-4.796463e+00,[ 3.87088574 -0.03053512  0.04325678],6.119750e-02,0.0
23,161,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.914244e+00,-3.480825e-02,3.760827e-02,7.632808e-02,1.037955e-01,8.999784e-01,-4.943431e+00,[ 3.91424406 -0.03480825  0.03760827],6.162214e-02,0.0
24,168,2.188228e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,3.947831e+00,-2.369178e-02,2.562943e-02,7.878898e-02,9.098791e-02,9.529263e-01,-4.986228e+00,[ 3.94783122 -0.02369178  0.02562943],6.618053e-02,0.0
