Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,2.792718e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],1.870231e-01,9.015039e-01,-5.806971e-02,1.666258e-02,6.997469e-01,7.523492e-01,1.899501e+00,-4.440892e-16,[ 0.90150387 -0.05806971  0.01666258],4.980211e-01,0.39177887349223406
2,14,1.507383e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.188228e-01,8.730606e-01,-8.287098e-02,-1.217201e-01,6.181109e-01,6.569618e-01,1.663590e+00,-3.922388e-01,[ 0.87306055 -0.08287098 -0.12172007],4.011052e-01,0.09916123333137734
3,21,1.507383e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],1.389637e-01,9.507302e-01,7.405218e-02,-2.298158e-02,5.334261e-01,5.908982e-01,1.447824e+00,-7.844847e-01,[ 0.95073024  0.07405218 -0.02298158],3.321492e-01,0.09567785113428294
4,28,1.507383e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],1.302740e-01,1.133981e+00,1.636322e-01,3.824932e-02,4.647252e-01,5.366465e-01,1.330317e+00,-1.103308e+00,[1.13398103 0.16363221 0.03824932],2.997646e-01,0.1275634381920198
5,35,1.049363e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],1.955511e-01,8.794993e-01,-5.932321e-02,1.290461e-02,4.228375e-01,4.980612e-01,1.296298e+00,-1.298287e+00,[ 0.87949926 -0.05932321  0.01290461],2.610923e-01,0.06763533036703426
6,42,1.042383e-01,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],1.305815e-01,7.652415e-01,-2.001841e-02,1.258737e-02,3.764115e-01,4.332063e-01,1.209215e+00,-1.623642e+00,[ 0.76524152 -0.02001841  0.01258737],2.254072e-01,0.02702057752706107
7,49,6.566715e-02,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],5.369364e-02,7.955035e-01,1.176698e-01,-1.489408e-02,3.275731e-01,4.474898e-01,1.080560e+00,-1.842666e+00,[ 0.79550347  0.11766978 -0.01489408],2.070438e-01,0.009162702876678776
8,56,4.848056e-02,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],1.435816e-01,7.825484e-01,6.702840e-02,-2.870194e-02,2.854279e-01,3.846013e-01,9.363426e-01,-2.275088e+00,[ 0.78254844  0.0670284  -0.02870194],1.676202e-01,0.025929590923299748
9,63,4.495985e-02,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],8.124317e-02,6.009615e-01,2.721324e-02,-3.207863e-02,2.519357e-01,3.320386e-01,1.197827e+00,-2.300576e+00,[ 0.60096146  0.02721324 -0.03207863],1.676842e-01,0.0
10,70,3.299681e-02,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],4.983599e-02,5.355154e-01,1.409097e-02,-2.175742e-04,2.198719e-01,2.869970e-01,1.187630e+00,-2.591033e+00,[ 5.35515428e-01  1.40909727e-02 -2.17574174e-04],1.612116e-01,0.0
11,77,3.299681e-02,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],2.728321e-02,2.836637e-01,-6.911894e-03,-4.631898e-02,2.031103e-01,2.590767e-01,1.913965e+00,-2.295460e+00,[ 0.28366369 -0.00691189 -0.04631898],1.983265e-01,0.003695075458890632
12,84,1.506692e-02,[[-0.07144651  0.0989096   0.01208336 -0.10334318]],3.924820e-02,2.907098e-01,1.106967e-02,-6.608203e-02,1.786590e-01,2.291090e-01,1.763103e+00,-2.628758e+00,[ 0.29070981  0.01106967 -0.06608203],2.015164e-01,0.0005390255775710491
