Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,6.337406e-01,[[-0.08351525 -0.14873195  0.14566612  0.01213141]],1.903699e+00,0.000000e+00,1.268073e-01,3.532456e-02,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,[0.         0.12680728 0.03532456],9.843810e-01,2.175962628180153
2,14,5.778645e-01,[[-0.08351525 -0.14873195  0.14566612  0.01213141]],2.800020e-01,1.907619e-02,-3.287287e-02,2.000000e-01,8.523590e-01,8.527646e-01,8.651248e-01,-4.639006e-01,[ 0.01907619 -0.03287287  0.2       ],7.736042e-01,0.8335097719628991
3,21,2.800020e-01,[[-0.08351525 -0.14873195  0.14566612  0.01213141]],2.800020e-01,1.079111e+00,9.580714e-02,1.513871e-01,7.276989e-01,7.392258e-01,1.165336e+00,-4.670099e-01,[1.07911135 0.09580714 0.15138706],8.066278e-01,0.4547977087800628
4,28,2.800020e-01,[[-0.08351525 -0.14873195  0.14566612  0.01213141]],2.800020e-01,1.938568e+00,-1.504615e-01,-8.298029e-02,6.299209e-01,6.424233e-01,1.569800e+00,-4.537205e-01,[ 1.93856824 -0.15046148 -0.08298029],9.251165e-01,0.7535871300821031
5,35,2.800020e-01,[[-0.08351525 -0.14873195  0.14566612  0.01213141]],2.800020e-01,2.028683e+00,-1.606735e-01,1.357202e-01,5.445496e-01,5.507058e-01,1.470616e+00,-8.186693e-01,[ 2.02868339 -0.16067347  0.1357202 ],9.035854e-01,0.7054359251441401
6,42,2.800020e-01,[[-0.08351525 -0.14873195  0.14566612  0.01213141]],2.800020e-01,9.594816e-01,-1.580886e-01,3.413836e-02,4.647637e-01,4.758169e-01,1.467798e+00,-1.125185e+00,[ 0.95948157 -0.15808863  0.03413836],7.309168e-01,0.7777407550153731
7,49,2.800020e-01,[[-0.08351525 -0.14873195  0.14566612  0.01213141]],2.800020e-01,1.743217e+00,-1.251820e-01,-1.709085e-02,3.997543e-01,4.068010e-01,1.479101e+00,-1.424902e+00,[ 1.74321732 -0.12518202 -0.01709085],6.418814e-01,0.2642430084185643
8,56,5.020306e-02,[[-0.08351525 -0.14873195  0.14566612  0.01213141]],2.800020e-01,2.079659e+00,-7.906379e-02,3.489311e-02,3.461931e-01,3.527227e-01,1.565494e+00,-1.654630e+00,[ 2.07965925 -0.07906379  0.03489311],5.815085e-01,0.14043921736902348
9,63,5.020306e-02,[[-0.08351525 -0.14873195  0.14566612  0.01213141]],4.035576e-02,1.864252e+00,8.775793e-02,-4.608203e-02,3.017024e-01,3.208938e-01,1.375693e+00,-2.016002e+00,[ 1.86425223  0.08775793 -0.04608203],4.989856e-01,0.2691685733183504
10,70,5.020306e-02,[[-0.08351525 -0.14873195  0.14566612  0.01213141]],2.293659e-01,2.377059e+00,2.000000e-01,-3.562884e-02,2.659773e-01,3.000009e-01,1.424156e+00,-2.174734e+00,[ 2.37705944  0.2        -0.03562884],4.949835e-01,0.1723118746250754
