Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,1.745610e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],1.157495e-01,9.238781e-01,-8.839513e-02,5.191176e-02,6.643585e-01,8.767796e-01,1.716750e+00,-1.554312e-15,[ 0.9238781  -0.08839513  0.05191176],4.968953e-01,0.19874674808874854
2,14,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],1.157495e-01,6.809826e-01,-7.567145e-02,1.549895e-01,5.772223e-01,7.560628e-01,1.530084e+00,-4.038358e-01,[ 0.68098264 -0.07567145  0.15498954],4.113445e-01,0.3954005804658432
3,21,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],1.157495e-01,1.335275e+00,-1.150913e-01,1.752072e-01,5.014779e-01,6.488871e-01,1.863268e+00,-5.003601e-01,[ 1.33527511 -0.11509128  0.17520716],3.927983e-01,0.10867496216390328
4,28,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],1.157495e-01,1.100404e+00,-7.035597e-02,-5.184298e-02,4.409220e-01,6.107378e-01,1.707592e+00,-7.768908e-01,[ 1.10040381 -0.07035597 -0.05184298],3.408918e-01,0.1674739097914171
5,35,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],1.157495e-01,1.413907e+00,-1.327614e-01,-1.081542e-01,3.787108e-01,5.621793e-01,1.656192e+00,-1.042396e+00,[ 1.41390663 -0.13276136 -0.10815415],3.217593e-01,0.034483288154351734
6,42,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],1.157495e-01,1.264569e+00,-1.303569e-02,-1.193610e-01,3.604927e-01,4.913377e-01,1.485949e+00,-1.334854e+00,[ 1.26456941 -0.01303569 -0.11936101],2.789466e-01,0.07612479466360754
7,49,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],1.157495e-01,1.358830e+00,-1.053238e-01,-1.066466e-01,3.204258e-01,4.205464e-01,1.317161e+00,-1.728826e+00,[ 1.3588298  -0.10532383 -0.10664661],2.296905e-01,0.014447630865494237
8,56,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],1.157495e-01,1.370219e+00,-6.876339e-02,-7.695427e-02,2.802609e-01,3.631385e-01,1.129272e+00,-2.163433e+00,[ 1.37021934 -0.06876339 -0.07695427],1.839033e-01,0.0
9,63,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],2.074360e-01,1.124577e+00,-4.187865e-03,5.471475e-02,2.392768e-01,4.091401e-01,1.424702e+00,-1.969870e+00,[ 1.12457686 -0.00418786  0.05471475],2.034339e-01,0.007401660312479804
10,70,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],2.505233e-01,1.152436e+00,-1.403110e-02,5.344052e-02,2.056566e-01,3.737649e-01,1.273428e+00,-2.323963e+00,[ 1.15243556 -0.0140311   0.05344052],1.879649e-01,0.0
11,77,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],1.157495e-01,1.019822e+00,-8.293975e-02,1.098160e-01,2.339488e-01,3.291428e-01,1.343579e+00,-2.268579e+00,[ 1.01982158 -0.08293975  0.10981596],2.008838e-01,0.04109097268187629
12,84,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],1.157495e-01,1.079018e+00,-9.122436e-02,8.883792e-02,2.069369e-01,2.965902e-01,1.249369e+00,-2.568106e+00,[ 1.07901818 -0.09122436  0.08883792],1.780664e-01,0.012920327354229679
13,91,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],1.157495e-01,1.163036e+00,-4.407909e-02,1.568093e-01,1.797664e-01,3.201098e-01,1.134639e+00,-2.728873e+00,[ 1.16303613 -0.04407909  0.15680925],1.699805e-01,0.026754309402347458
14,98,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],1.157495e-01,1.102813e+00,-1.076239e-02,1.787761e-01,1.604021e-01,2.939954e-01,1.010625e+00,-3.043694e+00,[ 1.10281317 -0.01076239  0.17877614],1.559404e-01,0.022790105478958187
15,105,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],1.157495e-01,1.255325e+00,-7.924215e-02,1.535290e-01,1.544870e-01,2.524489e-01,1.099375e+00,-3.149449e+00,[ 1.25532489 -0.07924215  0.15352901],1.503123e-01,0.041348840994770576
16,112,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],1.157495e-01,1.236131e+00,-1.316462e-01,1.719428e-01,1.777674e-01,2.177318e-01,9.640920e-01,-3.288339e+00,[ 1.23613051 -0.13164618  0.17194279],1.535276e-01,0.011976517510175009
17,119,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],1.157495e-01,1.222179e+00,-8.065977e-02,1.543825e-01,1.642920e-01,1.888501e-01,8.324961e-01,-3.656238e+00,[ 1.22217859 -0.08065977  0.15438252],1.186481e-01,0.0
18,126,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],1.157495e-01,1.147406e+00,-1.002193e-01,1.160016e-01,1.415159e-01,2.121575e-01,7.796572e-01,-3.754671e+00,[ 1.14740615 -0.10021933  0.11600162],1.164571e-01,0.0
19,133,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],1.157495e-01,1.152667e+00,-8.728148e-02,1.260067e-01,1.230429e-01,1.829657e-01,7.560743e-01,-4.073294e+00,[ 1.15266706 -0.08728148  0.12600675],9.664924e-02,0.00438704696766453
20,140,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],1.157495e-01,1.219465e+00,-1.125505e-01,1.326955e-01,1.111742e-01,1.582595e-01,7.615434e-01,-4.312584e+00,[ 1.21946456 -0.11255046  0.13269545],8.664362e-02,0.0006021166886870695
21,147,1.157495e-01,[[-0.03177455  0.09615694 -0.13744954  0.14338772]],1.157495e-01,1.236339e+00,-9.499143e-02,1.256642e-01,1.040042e-01,1.358475e-01,7.021478e-01,-4.613158e+00,[ 1.23633935 -0.09499143  0.12566421],7.576761e-02,0.0
