Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,3.623647e-01,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.859975e-01,1.570834e+00,-1.368459e-02,4.122939e-02,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,[ 1.57083398 -0.01368459  0.04122939],7.572890e-01,0.7806612370572495
2,14,3.623647e-01,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],3.153246e-01,1.051387e+00,1.652909e-01,-1.414850e-01,8.523502e-01,8.556828e-01,1.006562e+00,-3.090727e-01,[ 1.05138661  0.16529087 -0.14148497],6.701342e-01,0.622844236533225
3,21,3.623647e-01,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.859975e-01,1.715365e+00,1.844711e-02,1.513871e-01,7.290039e-01,7.395223e-01,1.058479e+00,-5.609939e-01,[1.71536476 0.01844711 0.15138706],5.798075e-01,0.5773109212098133
4,28,1.859975e-01,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.783690e-01,1.949424e+00,-6.165759e-02,3.580577e-02,6.329088e-01,6.396946e-01,1.006569e+00,-8.976464e-01,[ 1.94942414 -0.06165759  0.03580577],5.151736e-01,0.5254981997472917
5,35,1.859975e-01,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.551646e-01,2.128462e+00,-4.609335e-02,3.163339e-02,5.474364e-01,5.537238e-01,9.401453e-01,-1.255319e+00,[ 2.12846223 -0.04609335  0.03163339],4.599034e-01,0.18725044426794407
6,42,1.687700e-01,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.859975e-01,1.809074e+00,-1.059359e-01,1.203974e-01,4.706694e-01,4.994727e-01,9.858406e-01,-1.462062e+00,[ 1.80907402 -0.10593593  0.12039742],3.791257e-01,0.05444570630179731
7,49,1.036297e-01,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.827466e-01,1.648922e+00,1.084223e-02,6.019030e-02,4.072442e-01,4.330567e-01,9.230048e-01,-1.815350e+00,[1.648922   0.01084223 0.0601903 ],3.269750e-01,0.06467536426655489
8,56,1.036297e-01,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.219578e-01,2.074874e+00,-5.175424e-02,-8.926679e-02,3.640028e-01,4.086007e-01,1.072521e+00,-1.835598e+00,[ 2.07487426 -0.05175424 -0.08926679],3.275071e-01,0.09148142434878506
9,63,7.433221e-02,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.687223e-01,1.884132e+00,-3.720977e-02,3.368885e-02,3.125999e-01,3.571516e-01,9.943984e-01,-2.198044e+00,[ 1.8841317  -0.03720977  0.03368885],2.498646e-01,0.062494372819564
10,70,7.433221e-02,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.712624e-01,1.944802e+00,4.807735e-02,-4.085793e-02,2.796564e-01,3.475220e-01,8.728751e-01,-2.467084e+00,[ 1.94480214  0.04807735 -0.04085793],2.232137e-01,0.0
11,77,7.433221e-02,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.903786e-01,1.865440e+00,5.704940e-02,-6.248389e-02,2.527034e-01,3.123454e-01,7.650258e-01,-2.807030e+00,[ 1.8654402   0.0570494  -0.06248389],1.923075e-01,0.03272160618496461
12,84,7.433221e-02,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.622056e-01,2.071907e+00,3.625882e-02,-4.912866e-02,2.199149e-01,2.675073e-01,9.965606e-01,-2.836569e+00,[ 2.07190735  0.03625882 -0.04912866],1.846959e-01,0.0
13,91,7.433221e-02,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.609543e-01,2.158641e+00,4.124708e-02,2.447604e-03,1.984413e-01,2.501292e-01,1.047111e+00,-2.957005e+00,[2.15864097 0.04124708 0.0024476 ],1.846422e-01,0.002889362451807705
14,98,7.433221e-02,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],9.138883e-02,2.115610e+00,3.190808e-02,-8.353786e-02,1.928019e-01,2.417967e-01,9.018242e-01,-3.169086e+00,[ 2.11560984  0.03190808 -0.08353786],1.633191e-01,0.0006588676906984543
15,105,7.433221e-02,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.277360e-01,1.961545e+00,1.014691e-02,-9.715371e-02,1.764990e-01,2.167920e-01,1.010830e+00,-3.252485e+00,[ 1.96154505  0.01014691 -0.09715371],1.530122e-01,0.0
16,112,7.433221e-02,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],9.531472e-02,2.098084e+00,1.003509e-01,-7.587566e-02,1.871909e-01,2.181653e-01,9.648913e-01,-3.233869e+00,[ 2.09808418  0.10035093 -0.07587566],1.517027e-01,0.0
17,119,7.433221e-02,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.205563e-01,1.956209e+00,5.689274e-02,-1.218809e-01,1.712162e-01,1.891368e-01,1.017570e+00,-3.412695e+00,[ 1.9562091   0.05689274 -0.12188087],1.393736e-01,0.0
18,126,7.433221e-02,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.460891e-01,1.834002e+00,-2.572218e-03,-1.122393e-01,1.501539e-01,1.838934e-01,1.208832e+00,-3.399839e+00,[ 1.83400167 -0.00257222 -0.11223933],1.436460e-01,0.002350130651127693
19,133,7.433221e-02,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.128483e-01,1.898298e+00,-2.014236e-02,-3.507258e-02,1.484809e-01,2.227737e-01,1.047950e+00,-3.362061e+00,[ 1.89829827 -0.02014236 -0.03507258],1.517597e-01,0.0
20,140,7.433221e-02,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.442494e-01,1.892722e+00,-1.605902e-02,-6.545505e-02,1.284236e-01,1.934995e-01,9.016614e-01,-3.798418e+00,[ 1.89272193 -0.01605902 -0.06545505],1.288848e-01,0.0
21,147,7.433221e-02,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.226994e-01,1.835312e+00,-2.462985e-02,-4.744256e-02,1.186017e-01,1.712931e-01,8.198693e-01,-4.094974e+00,[ 1.83531239 -0.02462985 -0.04744256],1.176028e-01,0.0
22,154,7.433221e-02,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.081824e-01,1.919451e+00,5.251756e-02,-1.006330e-01,1.049165e-01,2.318608e-01,8.191633e-01,-3.915680e+00,[ 1.91945093  0.05251756 -0.10063303],1.237786e-01,0.0
23,161,7.433221e-02,[[-0.13701632 -0.14100489 -0.05770388  0.02723476]],1.205355e-01,1.891949e+00,7.261897e-02,-1.217025e-01,9.036888e-02,2.525603e-01,7.099135e-01,-4.122573e+00,[ 1.89194935  0.07261897 -0.12170251],1.265803e-01,0.0
