Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,1.488406e+00,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.593939e+00,0.000000e+00,-2.000000e-01,2.000000e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,[ 0.  -0.2  0.2],2.000000e+00,3.0729749525552847
2,14,1.008777e+00,[-0.07144651  0.0989096   0.01208336 -0.10334318],2.188228e-01,1.255492e-01,-2.000000e-01,1.513871e-01,8.523473e-01,8.523473e-01,8.550513e-01,-4.761163e-01,[ 0.12554916 -0.2         0.15138706],1.514310e+00,2.524562562776682
3,21,1.948928e-01,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.328114e-01,7.330984e-01,3.425804e-02,-1.017248e-01,7.267784e-01,7.272489e-01,7.869081e-01,-8.772639e-01,[ 0.73309837  0.03425804 -0.10172479],1.273331e+00,1.8819285285581056
4,28,1.948928e-01,[-0.07144651  0.0989096   0.01208336 -0.10334318],2.175062e-02,2.454118e-01,-1.206869e-02,-3.425804e-02,6.208632e-01,6.262661e-01,6.931401e-01,-1.311147e+00,[ 0.2454118  -0.01206869 -0.03425804],9.886374e-01,1.2846183388698744
5,35,1.948928e-01,[-0.07144651  0.0989096   0.01208336 -0.10334318],6.224245e-02,5.599031e-01,-5.307411e-03,3.425804e-02,5.295153e-01,5.399767e-01,6.094088e-01,-1.747289e+00,[ 0.5599031  -0.00530741  0.03425804],7.885382e-01,0.44844987981875
6,42,1.948928e-01,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.879376e-01,6.607763e-01,-3.190373e-02,-8.212526e-02,4.543647e-01,4.627810e-01,5.349536e-01,-2.184932e+00,[ 0.66077627 -0.03190373 -0.08212526],6.394878e-01,0.3904005395520494
7,49,1.948928e-01,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.369511e-01,9.397138e-01,6.997110e-02,-7.504056e-03,3.908084e-01,4.011401e-01,5.207884e-01,-2.505394e+00,[ 0.93971382  0.0699711  -0.00750406],5.738519e-01,0.3292793654564995
8,56,7.560124e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],2.188228e-01,7.219732e-01,1.514344e-01,9.531013e-02,3.417611e-01,3.542743e-01,4.653169e-01,-2.876364e+00,[0.72197324 0.15143443 0.09531013],4.787531e-01,0.19536345000919225
9,63,7.560124e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],6.064941e-02,6.920046e-01,6.520352e-02,-2.072143e-03,2.948931e-01,3.092051e-01,4.102319e-01,-3.285925e+00,[ 0.69200455  0.06520352 -0.00207214],3.748105e-01,0.054782447518841655
10,70,5.750255e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.392393e-01,9.164375e-01,1.823126e-01,-1.567348e-01,2.602933e-01,2.850406e-01,4.593734e-01,-3.378962e+00,[ 0.91643748  0.18231263 -0.15673482],3.737559e-01,0.23612814284079894
11,77,5.750255e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.064755e-01,7.532366e-01,1.741668e-01,-4.956163e-02,2.262886e-01,2.448150e-01,4.107047e-01,-3.783077e+00,[ 0.75323659  0.17416684 -0.04956163],3.019064e-01,0.10151880263983538
12,84,5.750255e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],9.349871e-02,7.744762e-01,9.967914e-02,-3.312799e-02,1.997495e-01,2.167427e-01,3.526801e-01,-4.181929e+00,[ 0.77447615  0.09967914 -0.03312799],2.430708e-01,0.0
13,91,5.042052e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],9.792053e-02,6.907461e-01,9.546822e-02,-3.440012e-02,1.721586e-01,1.894464e-01,3.340905e-01,-4.519332e+00,[ 0.69074609  0.09546822 -0.03440012],2.078867e-01,0.0
14,98,5.042052e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],8.638288e-02,6.231958e-01,4.985737e-02,-3.532813e-02,1.534424e-01,1.711960e-01,3.469037e-01,-4.698084e+00,[ 0.62319584  0.04985737 -0.03532813],1.977562e-01,0.007368996379556315
15,105,5.042052e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.043996e-01,5.984387e-01,6.102823e-02,-4.784735e-02,1.319864e-01,1.546091e-01,3.135223e-01,-5.051797e+00,[ 0.59843865  0.06102823 -0.04784735],1.780386e-01,0.0
16,112,5.042052e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],6.027530e-02,5.222017e-01,2.871161e-02,-1.169353e-01,1.153801e-01,1.827519e-01,3.611244e-01,-4.877682e+00,[ 0.52220175  0.02871161 -0.11693533],2.003283e-01,0.01455013507584721
17,119,2.468779e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],6.172191e-02,4.006912e-01,8.773889e-03,-7.704413e-02,1.014803e-01,1.607496e-01,4.681545e-01,-4.874755e+00,[ 0.40069118  0.00877389 -0.07704413],2.266757e-01,0.0
18,126,2.468779e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],4.855874e-02,2.556320e-01,-1.767072e-03,-6.695576e-02,9.236005e-02,1.372508e-01,6.043709e-01,-4.871573e+00,[ 0.25563199 -0.00176707 -0.06695576],2.684825e-01,0.00275143749186255
19,133,2.468779e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.362256e-01,2.235361e-01,4.673600e-02,-1.145594e-01,9.032907e-02,1.277188e-01,5.827280e-01,-5.002255e+00,[ 0.22353614  0.046736   -0.11455943],2.895152e-01,0.018830033728240263
20,140,2.468779e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.609450e-01,1.842990e-01,6.840717e-02,-1.422076e-01,8.269259e-02,1.216905e-01,5.228386e-01,-5.247382e+00,[ 0.18429905  0.06840717 -0.14220762],2.917365e-01,0.013494948570039886
21,147,2.468779e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],4.536511e-02,3.359220e-01,-8.908195e-03,-8.608382e-02,7.545637e-02,1.181937e-01,4.890234e-01,-5.434976e+00,[ 0.33592202 -0.0089082  -0.08608382],2.517579e-01,0.0029989067065314757
22,154,2.468779e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],9.362214e-02,5.862564e-01,3.376399e-02,-9.605475e-02,6.727642e-02,1.046511e-01,7.137203e-01,-5.293333e+00,[ 0.58625644  0.03376399 -0.09605475],2.648625e-01,0.004757813114728623
23,161,2.468779e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.781906e-01,6.442336e-01,1.309446e-01,-1.142463e-01,6.411824e-02,1.088433e-01,7.188433e-01,-5.294984e+00,[ 0.64423356  0.13094462 -0.11424634],2.857451e-01,0.006246438167584618
24,168,2.468779e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],4.882079e-02,4.322553e-01,1.303830e-01,-8.182672e-02,6.369499e-02,9.707125e-02,6.890635e-01,-5.458381e+00,[ 0.43225526  0.13038297 -0.08182672],2.750641e-01,0.03310566568459038
25,175,2.468779e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],4.071303e-02,3.967081e-01,1.179422e-01,-7.827575e-02,5.576355e-02,8.338827e-02,6.160653e-01,-5.855285e+00,[ 0.39670811  0.11794217 -0.07827575],2.370908e-01,0.008777030270229762
26,182,2.468779e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],8.382241e-02,3.669639e-01,4.849007e-02,-5.341238e-02,4.783202e-02,8.845271e-02,5.820951e-01,-6.006469e+00,[ 0.36696394  0.04849007 -0.05341238],2.160941e-01,0.0
27,189,2.441993e-02,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.688359e-02,3.114801e-01,-7.858247e-03,-1.985511e-02,4.097476e-02,1.047660e-01,5.373850e-01,-6.071866e+00,[ 0.31148013 -0.00785825 -0.01985511],2.257056e-01,0.0
28,196,4.492236e-03,[-0.07144651  0.0989096   0.01208336 -0.10334318],2.281218e-02,2.479871e-01,7.780318e-03,-3.931793e-02,3.524773e-02,9.086627e-02,5.004840e-01,-6.435900e+00,[ 0.24798706  0.00778032 -0.03931793],2.018940e-01,0.0
29,203,4.492236e-03,[-0.07144651  0.0989096   0.01208336 -0.10334318],5.993221e-03,2.630104e-01,-8.558905e-03,-2.936794e-02,3.024861e-02,8.074578e-02,4.363345e-01,-6.844101e+00,[ 0.26301037 -0.00855891 -0.02936794],1.737028e-01,0.0
30,210,4.492236e-03,[-0.07144651  0.0989096   0.01208336 -0.10334318],3.153816e-02,2.450410e-01,-4.049016e-02,-1.885199e-02,2.601761e-02,7.799491e-02,3.871021e-01,-7.149160e+00,[ 0.24504096 -0.04049016 -0.01885199],1.618462e-01,0.0
31,217,4.492236e-03,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.039203e-02,2.559784e-01,-1.262355e-02,-1.990944e-02,2.329152e-02,6.924934e-02,3.453820e-01,-7.492812e+00,[ 0.25597842 -0.01262355 -0.01990944],1.307703e-01,0.0
32,224,4.492236e-03,[-0.07144651  0.0989096   0.01208336 -0.10334318],9.411837e-03,2.509411e-01,-8.798837e-03,-2.945118e-02,2.037580e-02,6.376663e-02,2.982822e-01,-7.855648e+00,[ 0.25094114 -0.00879884 -0.02945118],1.039666e-01,0.0
33,231,4.492236e-03,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.076497e-02,2.745549e-01,-1.084564e-03,-2.144836e-02,1.895040e-02,5.564966e-02,2.810590e-01,-8.123801e+00,[ 0.27455486 -0.00108456 -0.02144836],8.968536e-02,0.0
34,238,4.492236e-03,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.520827e-02,2.689722e-01,-5.174324e-03,-1.991579e-02,1.651859e-02,4.879176e-02,2.414162e-01,-8.544696e+00,[ 0.26897223 -0.00517432 -0.01991579],7.218296e-02,0.0
35,245,7.910309e-04,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.219459e-02,2.594604e-01,2.771862e-03,-2.958425e-02,1.479098e-02,4.874217e-02,2.122894e-01,-8.784753e+00,[ 0.25946036  0.00277186 -0.02958425],6.476888e-02,0.0
36,252,7.910309e-04,[-0.07144651  0.0989096   0.01208336 -0.10334318],2.197452e-03,2.524861e-01,-2.460176e-04,-2.545409e-02,1.355086e-02,4.195297e-02,1.911258e-01,-9.127335e+00,[ 2.52486121e-01 -2.46017573e-04 -2.54540901e-02],5.370411e-02,0.0
37,259,7.910309e-04,[-0.07144651  0.0989096   0.01208336 -0.10334318],2.846398e-03,2.357749e-01,2.530423e-03,-2.628048e-02,1.222448e-02,3.939989e-02,1.953117e-01,-9.271465e+00,[ 0.23577487  0.00253042 -0.02628048],5.265166e-02,0.0
38,266,7.910309e-04,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.386448e-02,2.359894e-01,-7.635932e-03,-1.573986e-02,1.251318e-02,4.855197e-02,1.733000e-01,-9.158824e+00,[ 0.23598936 -0.00763593 -0.01573986],5.553328e-02,0.0
39,273,7.910309e-04,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.860459e-02,2.399518e-01,-1.452952e-02,-1.480694e-02,1.136048e-02,5.034463e-02,1.535718e-01,-9.340064e+00,[ 0.23995182 -0.01452952 -0.01480694],5.435148e-02,0.0
40,280,7.910309e-04,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.567963e-02,2.407174e-01,-5.453783e-03,-1.549062e-02,1.107772e-02,4.438362e-02,1.338200e-01,-9.628964e+00,[ 0.24071738 -0.00545378 -0.01549062],4.817383e-02,0.0
41,287,7.910309e-04,[-0.07144651  0.0989096   0.01208336 -0.10334318],8.681898e-03,2.477411e-01,-4.862184e-03,-2.176803e-02,1.162291e-02,3.951000e-02,1.225562e-01,-9.785164e+00,[ 0.24774106 -0.00486218 -0.02176803],4.258954e-02,0.0
42,294,7.910309e-04,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.021927e-02,2.429193e-01,-6.879554e-03,-2.324505e-02,1.209734e-02,3.423942e-02,1.075264e-01,-1.001917e+01,[ 0.24291933 -0.00687955 -0.02324505],3.833864e-02,0.0
43,301,6.333817e-04,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.009433e-02,2.438769e-01,7.048703e-04,-2.509678e-02,1.110876e-02,3.791234e-02,9.619218e-02,-1.011391e+01,[ 0.24387689  0.00070487 -0.02509678],3.655734e-02,0.0
44,308,6.333817e-04,[-0.07144651  0.0989096   0.01208336 -0.10334318],4.712337e-03,2.213065e-01,-8.748882e-03,-2.405734e-02,1.005303e-02,3.296180e-02,1.815018e-01,-9.718777e+00,[ 0.22130648 -0.00874888 -0.02405734],4.406887e-02,0.0
45,315,6.333817e-04,[-0.07144651  0.0989096   0.01208336 -0.10334318],8.006742e-03,2.299467e-01,-3.955893e-03,-2.492696e-02,8.624218e-03,2.920760e-02,1.746555e-01,-1.003145e+01,[ 0.22994673 -0.00395589 -0.02492696],3.957087e-02,0.0
46,322,6.333817e-04,[-0.07144651  0.0989096   0.01208336 -0.10334318],3.800342e-03,2.293515e-01,-2.197158e-03,-2.939498e-02,8.341565e-03,2.888808e-02,1.492191e-01,-1.023317e+01,[ 0.22935153 -0.00219716 -0.02939498],3.911486e-02,0.0
47,329,6.333817e-04,[-0.07144651  0.0989096   0.01208336 -0.10334318],4.637513e-03,2.282385e-01,-6.860016e-03,-2.472587e-02,7.191032e-03,2.817366e-02,1.293389e-01,-1.054961e+01,[ 0.22823855 -0.00686002 -0.02472587],3.318781e-02,0.0
48,336,6.333817e-04,[-0.07144651  0.0989096   0.01208336 -0.10334318],1.378279e-02,2.399865e-01,-4.258614e-03,-2.186063e-02,6.806733e-03,2.650753e-02,1.465547e-01,-1.054053e+01,[ 0.23998654 -0.00425861 -0.02186063],3.249319e-02,0.0
49,343,6.333817e-04,[-0.07144651  0.0989096   0.01208336 -0.10334318],9.479530e-03,2.394249e-01,-1.964671e-03,-2.191536e-02,6.914911e-03,2.305440e-02,1.403129e-01,-1.070785e+01,[ 0.23942488 -0.00196467 -0.02191536],3.052144e-02,0.0
50,350,6.333817e-04,[-0.07144651  0.0989096   0.01208336 -0.10334318],6.909570e-03,2.333881e-01,-1.870039e-03,-2.473265e-02,5.987152e-03,2.174735e-02,1.272043e-01,-1.100836e+01,[ 0.23338807 -0.00187004 -0.02473265],2.643095e-02,0.0
