Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,5.068018e-02,[[-0.13189519 -0.07254565  0.01527949  0.1402821 ]],3.035906e-02,2.768312e+00,-5.715957e-02,8.274115e-02,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,[ 2.76831185 -0.05715957  0.08274115],2.990592e-01,0.1952316887781394
2,14,5.068018e-02,[[-0.13189519 -0.07254565  0.01527949  0.1402821 ]],5.536489e-02,2.768802e+00,1.214323e-02,6.164842e-02,8.541462e-01,8.649695e-01,8.725002e-01,-4.391063e-01,[2.7688019  0.01214323 0.06164842],2.354668e-01,0.09612298015078793
3,21,5.068018e-02,[[-0.13189519 -0.07254565  0.01527949  0.1402821 ]],8.477098e-02,2.619075e+00,3.996339e-02,1.028630e-01,7.392176e-01,7.453136e-01,9.306082e-01,-6.680301e-01,[2.61907496 0.03996339 0.10286297],2.075085e-01,0.02693793971792106
4,28,5.068018e-02,[[-0.13189519 -0.07254565  0.01527949  0.1402821 ]],5.667712e-02,2.869177e+00,1.048239e-01,1.863768e-01,6.337580e-01,6.795197e-01,1.052038e+00,-7.917281e-01,[2.86917714 0.10482391 0.18637684],2.006140e-01,0.10803423824768041
5,35,2.049954e-02,[[-0.13189519 -0.07254565  0.01527949  0.1402821 ]],6.847841e-02,2.774753e+00,1.789294e-01,1.724454e-01,5.476557e-01,6.406543e-01,9.061998e-01,-1.145869e+00,[2.77475326 0.17892944 0.17244542],1.800870e-01,0.04188267489154583
6,42,1.029894e-02,[[-0.13189519 -0.07254565  0.01527949  0.1402821 ]],1.021329e-01,2.709704e+00,1.902311e-02,1.323643e-01,4.712626e-01,6.152725e-01,8.634350e-01,-1.384866e+00,[2.70970354 0.01902311 0.13236426],1.579825e-01,0.027667102456398814
7,49,1.029894e-02,[[-0.13189519 -0.07254565  0.01527949  0.1402821 ]],4.392805e-02,2.629029e+00,7.171583e-02,1.195455e-01,4.034798e-01,5.561392e-01,8.208316e-01,-1.691803e+00,[2.62902881 0.07171583 0.11954545],1.413449e-01,0.0
8,56,1.029894e-02,[[-0.13189519 -0.07254565  0.01527949  0.1402821 ]],8.917880e-02,2.529338e+00,8.729391e-02,1.127652e-01,3.456163e-01,4.966689e-01,8.861260e-01,-1.883154e+00,[2.52933827 0.08729391 0.11276516],1.411009e-01,0.029701209138110585
9,63,1.029894e-02,[[-0.13189519 -0.07254565  0.01527949  0.1402821 ]],8.179307e-02,2.549020e+00,1.225916e-01,9.772322e-02,3.095064e-01,4.498916e-01,7.854990e-01,-2.212961e+00,[2.54902017 0.1225916  0.09772322],1.263142e-01,0.017125576587646987
10,70,1.029894e-02,[[-0.13189519 -0.07254565  0.01527949  0.1402821 ]],3.160406e-02,2.556847e+00,4.008051e-02,5.013403e-02,2.755814e-01,4.794478e-01,6.796325e-01,-2.410196e+00,[2.55684742 0.04008051 0.05013403],1.193180e-01,0.0
11,77,1.029894e-02,[[-0.13189519 -0.07254565  0.01527949  0.1402821 ]],3.089920e-02,2.500968e+00,9.077208e-03,4.650080e-02,2.380504e-01,4.342855e-01,6.860444e-01,-2.646139e+00,[2.50096769 0.00907721 0.0465008 ],1.147242e-01,0.0
12,84,1.029894e-02,[[-0.13189519 -0.07254565  0.01527949  0.1402821 ]],6.975840e-02,2.486714e+00,-2.774610e-02,1.913571e-02,2.082363e-01,4.143159e-01,6.609984e-01,-2.864212e+00,[ 2.48671448 -0.0277461   0.01913571],1.122137e-01,0.0
13,91,1.029894e-02,[[-0.13189519 -0.07254565  0.01527949  0.1402821 ]],1.418662e-01,2.437714e+00,-8.350238e-02,-3.547893e-02,1.833471e-01,3.742523e-01,8.037169e-01,-2.897708e+00,[ 2.4377135  -0.08350238 -0.03547893],1.248632e-01,0.012138549237812673
14,98,1.029894e-02,[[-0.13189519 -0.07254565  0.01527949  0.1402821 ]],9.345935e-02,2.384198e+00,-6.530888e-02,-1.989747e-02,1.591168e-01,3.530099e-01,7.767885e-01,-3.131963e+00,[ 2.38419849 -0.06530888 -0.01989747],1.228240e-01,0.0
15,105,1.029894e-02,[[-0.13189519 -0.07254565  0.01527949  0.1402821 ]],1.460105e-01,2.556458e+00,-7.649017e-02,-4.622078e-02,1.442276e-01,4.368810e-01,8.635779e-01,-2.911128e+00,[ 2.55645808 -0.07649017 -0.04622078],1.355726e-01,0.0
16,112,1.029894e-02,[[-0.13189519 -0.07254565  0.01527949  0.1402821 ]],7.959031e-02,2.660776e+00,-7.499110e-02,-7.290695e-03,1.377657e-01,3.836263e-01,1.043563e+00,-2.897646e+00,[ 2.66077622 -0.0749911  -0.00729069],1.479139e-01,0.0
