Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,1.616049e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,1.647828e+00,-1.389064e-01,8.865243e-03,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,[ 1.64782824 -0.13890639  0.00886524],2.275748e-01,0.10809413211077636
2,14,1.616049e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,1.695879e+00,-9.306336e-02,-1.167363e-02,8.568978e-01,8.619374e-01,8.963587e-01,-4.124239e-01,[ 1.69587909 -0.09306336 -0.01167363],1.817342e-01,0.040960993591641626
3,21,1.616049e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,1.787265e+00,-1.264018e-02,-4.620957e-02,7.320284e-01,7.444086e-01,9.289654e-01,-6.807850e-01,[ 1.78726532 -0.01264018 -0.04620957],1.663784e-01,0.015492846427144522
4,28,1.616049e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,1.700804e+00,-1.357596e-02,-5.511771e-02,6.300159e-01,6.833465e-01,8.064325e-01,-1.057899e+00,[ 1.7008041  -0.01357596 -0.05511771],1.377488e-01,0.0
5,35,1.616049e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,1.664966e+00,1.562085e-02,-1.443467e-01,5.537474e-01,6.880855e-01,7.291991e-01,-1.280697e+00,[ 1.66496649  0.01562085 -0.14434673],1.322098e-01,0.03402299786433057
6,42,1.616049e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,1.686387e+00,-3.221867e-02,-6.426672e-02,4.766031e-01,5.948748e-01,6.758380e-01,-1.652277e+00,[ 1.68638678 -0.03221867 -0.06426672],1.039260e-01,0.004173887753036153
7,49,1.616049e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,1.635982e+00,-7.492266e-02,7.631314e-03,4.102548e-01,5.413283e-01,7.945969e-01,-1.734627e+00,[ 1.63598239 -0.07492266  0.00763131],1.041914e-01,0.0
8,56,1.616049e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,1.643909e+00,-5.145929e-03,-8.530719e-02,3.555355e-01,4.873209e-01,8.148301e-01,-1.957738e+00,[ 1.6439087  -0.00514593 -0.08530719],9.164459e-02,0.010563578702294926
9,63,1.616049e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,1.571151e+00,4.951033e-02,-1.154431e-01,3.218840e-01,5.451960e-01,9.332287e-01,-1.809279e+00,[ 1.57115133  0.04951033 -0.11544306],1.036515e-01,0.018581543130152138
10,70,1.616049e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,1.648713e+00,3.356358e-02,-1.419894e-01,2.864067e-01,5.527218e-01,8.239017e-01,-2.036947e+00,[ 1.64871262  0.03356358 -0.14198945],9.417717e-02,0.0
11,77,1.616049e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,1.594034e+00,5.839483e-02,-1.751773e-01,2.477894e-01,4.843931e-01,8.247273e-01,-2.312737e+00,[ 1.59403437  0.05839483 -0.17517725],9.121293e-02,0.0
12,84,1.616049e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,1.665205e+00,1.266696e-02,-1.343950e-01,2.162626e-01,4.680945e-01,8.424564e-01,-2.461780e+00,[ 1.6652053   0.01266696 -0.13439504],7.925293e-02,0.008941331199223865
13,91,1.616049e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,1.697346e+00,2.964805e-02,-1.480473e-01,1.875033e-01,4.921502e-01,7.390394e-01,-2.685334e+00,[ 1.69734594  0.02964805 -0.14804726],7.432292e-02,0.0162631889533001
14,98,1.616049e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,1.616526e+00,5.078920e-03,-1.299715e-01,1.734552e-01,5.667459e-01,7.062744e-01,-2.667432e+00,[ 1.61652552  0.00507892 -0.12997148],7.088274e-02,0.0015638389227954114
15,105,1.616049e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,1.655863e+00,3.888482e-02,-1.567779e-01,1.518103e-01,5.563159e-01,6.949807e-01,-2.835414e+00,[ 1.65586287  0.03888482 -0.1567779 ],5.997436e-02,0.001163228042187345
16,112,1.616049e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,1.653219e+00,3.827084e-02,-1.458437e-01,1.345460e-01,4.818760e-01,6.153356e-01,-3.221505e+00,[ 1.6532191   0.03827084 -0.14584372],4.864035e-02,0.0
17,119,1.616049e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,1.662163e+00,4.304707e-02,-1.526765e-01,1.188802e-01,4.209310e-01,5.602366e-01,-3.574321e+00,[ 1.66216292  0.04304707 -0.15267651],4.002560e-02,0.0
