Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,2.178274e+00,[ 0.12664433  0.07981424 -0.00082131 -0.01213294],1.370236e+00,7.097058e-01,2.000000e-01,-2.000000e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,[ 0.70970579  0.2        -0.2       ],2.000000e+00,4.115164207100311
2,14,1.033234e+00,[ 0.12664433  0.07981424 -0.00082131 -0.01213294],1.571680e-01,1.690745e-01,-8.287098e-02,-8.287098e-02,8.526888e-01,8.535260e-01,8.761632e-01,-4.499428e-01,[ 0.16907449 -0.08287098 -0.08287098],1.598994e+00,1.9001385079799549
3,21,8.147654e-01,[ 0.12664433  0.07981424 -0.00082131 -0.01213294],4.929112e-01,6.834453e-01,1.903973e-01,-1.006154e-01,7.271901e-01,7.279462e-01,7.641541e-01,-9.050813e-01,[ 0.68344529  0.19039734 -0.10061537],1.250522e+00,1.9782268471427942
4,28,3.471265e-01,[ 0.12664433  0.07981424 -0.00082131 -0.01213294],1.571680e-01,1.347794e+00,-1.513871e-01,3.425804e-02,6.207533e-01,6.373515e-01,7.575792e-01,-1.204883e+00,[ 1.34779373 -0.15138706  0.03425804],1.111067e+00,0.9472246491420085
5,35,3.093064e-01,[ 0.12664433  0.07981424 -0.00082131 -0.01213294],1.571680e-01,2.795725e+00,2.000000e-01,7.737569e-03,5.312313e-01,5.541173e-01,1.248424e+00,-1.001054e+00,[2.79572542 0.2        0.00773757],1.281469e+00,1.0711743797991136
6,42,3.093064e-01,[ 0.12664433  0.07981424 -0.00082131 -0.01213294],2.019425e-01,3.644114e+00,1.266041e-01,1.317822e-01,4.535077e-01,4.746361e-01,1.432968e+00,-1.176202e+00,[3.64411373 0.12660413 0.13178216],1.408498e+00,1.2503407385370637
7,49,2.101083e-01,[ 0.12664433  0.07981424 -0.00082131 -0.01213294],1.040598e-01,4.437955e+00,-1.513871e-01,-3.425804e-02,3.923566e-01,4.141356e-01,1.477887e+00,-1.426533e+00,[ 4.43795526 -0.15138706 -0.03425804],1.477478e+00,0.7264740599933021
8,56,1.571680e-01,[ 0.12664433  0.07981424 -0.00082131 -0.01213294],1.571680e-01,3.705042e+00,-8.686438e-02,-8.287098e-02,3.358977e-01,3.533791e-01,1.301637e+00,-1.867540e+00,[ 3.70504185 -0.08686438 -0.08287098],1.228998e+00,0.8215100155994606
9,63,1.571680e-01,[ 0.12664433  0.07981424 -0.00082131 -0.01213294],1.571680e-01,2.368580e+00,-1.273776e-02,-3.795814e-02,2.875827e-01,3.020538e-01,1.386802e+00,-2.116394e+00,[ 2.36858036 -0.01273776 -0.03795814],1.068158e+00,0.784432162169699
10,70,1.571680e-01,[ 0.12664433  0.07981424 -0.00082131 -0.01213294],1.571680e-01,3.201336e+00,7.339595e-02,2.195322e-02,2.464375e-01,2.609765e-01,1.234008e+00,-2.533705e+00,[3.2013362  0.07339595 0.02195322],8.588332e-01,0.1833960524915477
11,77,1.571680e-01,[ 0.12664433  0.07981424 -0.00082131 -0.01213294],1.571680e-01,3.660964e+00,1.012688e-01,-2.000000e-01,2.205919e-01,2.254742e-01,1.180209e+00,-2.835299e+00,[ 3.66096362  0.10126876 -0.2       ],7.679047e-01,0.3048524958898145
12,84,1.571680e-01,[ 0.12664433  0.07981424 -0.00082131 -0.01213294],1.571680e-01,3.434139e+00,1.106047e-02,-1.610750e-01,1.896587e-01,1.947281e-01,1.015709e+00,-3.283093e+00,[ 3.43413871  0.01106047 -0.16107498],6.058091e-01,0.2077987417389467
13,91,1.571680e-01,[ 0.12664433  0.07981424 -0.00082131 -0.01213294],1.571680e-01,3.696749e+00,1.992402e-01,-1.940410e-01,1.618376e-01,1.827929e-01,9.210959e-01,-3.602755e+00,[ 3.69674879  0.19924022 -0.19404105],5.412788e-01,0.2281425830163411
14,98,1.571680e-01,[ 0.12664433  0.07981424 -0.00082131 -0.01213294],1.571680e-01,3.545338e+00,1.932551e-01,-1.035248e-01,1.452427e-01,1.572557e-01,8.077632e-01,-3.992718e+00,[ 3.54533816  0.19325509 -0.10352477],4.467216e-01,0.08317214519158618
