Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,7.450734e-01,[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ],6.717227e-01,3.052212e-02,-2.000000e-01,2.000000e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,[ 0.03052212 -0.2         0.2       ],2.000000e+00,2.9985786400860577
2,14,6.179246e-01,[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ],3.182872e-01,1.076456e+00,-2.000000e-01,-3.425804e-02,8.523473e-01,8.523714e-01,9.242539e-01,-3.982627e-01,[ 1.07645616 -0.2        -0.03425804],1.681607e+00,2.1160780620925963
3,21,3.182872e-01,[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ],3.182872e-01,9.979684e-01,-1.359976e-01,2.000000e-01,7.265103e-01,7.303508e-01,7.942527e-01,-8.640865e-01,[ 0.99796844 -0.13599762  0.2       ],1.333563e+00,1.498305196849904
4,28,3.182872e-01,[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ],3.182872e-01,1.231081e+00,-8.278063e-02,5.049890e-02,6.202431e-01,6.232719e-01,7.058855e-01,-1.298718e+00,[ 1.23108104 -0.08278063  0.0504989 ],1.078800e+00,0.5301527435352212
5,35,3.182872e-01,[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ],3.182872e-01,1.166718e+00,-1.513871e-01,9.601594e-03,5.291451e-01,5.333182e-01,6.100059e-01,-1.759416e+00,[ 1.16671832 -0.15138706  0.00960159],8.353617e-01,0.5380656197750735
6,42,3.182872e-01,[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ],3.182872e-01,9.552027e-01,2.241723e-02,2.578844e-03,4.550857e-01,4.611308e-01,5.387268e-01,-2.179890e+00,[0.95520273 0.02241723 0.00257884],6.767878e-01,0.5590949498582499
7,49,3.182872e-01,[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ],3.182872e-01,4.957043e-01,1.513871e-01,9.551151e-02,3.897962e-01,3.956181e-01,6.112395e-01,-2.361704e+00,[0.49570432 0.15138706 0.09551151],6.542801e-01,0.4997458508715872
8,56,3.182872e-01,[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ],3.182872e-01,5.979815e-01,3.069452e-02,7.679693e-02,3.327548e-01,3.427334e-01,5.325257e-01,-2.801276e+00,[0.59798146 0.03069452 0.07679693],5.385079e-01,0.14338578308604583
9,63,3.182872e-01,[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ],3.182872e-01,7.348715e-01,-1.381972e-01,6.323997e-02,2.845423e-01,3.104243e-01,4.736756e-01,-3.173921e+00,[ 0.73487146 -0.1381972   0.06323997],4.523251e-01,0.18769263627916385
10,70,3.182872e-01,[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ],3.182872e-01,1.126689e+00,1.841655e-02,3.521420e-02,2.471150e-01,3.022045e-01,5.830628e-01,-3.134013e+00,[1.12668936 0.01841655 0.0352142 ],4.650950e-01,0.19700889060641266
11,77,3.182872e-01,[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ],3.182872e-01,9.783803e-01,-8.329349e-02,1.852914e-01,2.267228e-01,2.676519e-01,5.043064e-01,-3.486666e+00,[ 0.97838026 -0.08329349  0.18529142],4.084876e-01,0.16244398767983353
12,84,3.182872e-01,[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ],3.182872e-01,1.068223e+00,-2.807026e-02,-1.710430e-02,2.112184e-01,2.484042e-01,4.699486e-01,-3.702693e+00,[ 1.06822292 -0.02807026 -0.0171043 ],3.686760e-01,0.041162510467323
13,91,3.182872e-01,[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ],3.182872e-01,1.149795e+00,9.404896e-04,-8.812963e-03,1.809182e-01,2.146492e-01,4.733568e-01,-3.996366e+00,[ 1.14979472e+00  9.40489592e-04 -8.81296345e-03],3.250369e-01,0.028080973054434768
14,98,3.182872e-01,[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ],3.182872e-01,9.507290e-01,1.225604e-01,1.953999e-02,1.599859e-01,2.122600e-01,4.672837e-01,-4.143432e+00,[0.95072896 0.12256036 0.01953999],3.128505e-01,0.04915211271813432
15,105,3.182872e-01,[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ],3.182872e-01,5.881290e-01,4.571904e-02,-6.446879e-02,1.669741e-01,1.915837e-01,7.966528e-01,-3.669684e+00,[ 0.58812898  0.04571904 -0.06446879],3.937386e-01,0.017248268933256396
