Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,2.992472e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,8.617131e-01,-1.016207e-01,1.088518e-02,4.320928e-01,1.049860e+00,2.204406e+00,5.551115e-16,[ 0.86171309 -0.10162074  0.01088518],5.138292e-01,0.497139744524559
2,14,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,7.850268e-01,-1.228054e-01,1.686460e-01,3.867326e-01,9.025770e-01,1.903188e+00,-4.089929e-01,[ 0.78502678 -0.12280544  0.16864596],4.248197e-01,0.31035926630332317
3,21,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.990773e+00,-1.680812e-01,4.746101e-02,3.354598e-01,7.811101e-01,3.641920e+00,-4.678120e-02,[ 1.99077284 -0.16808122  0.04746101],4.977581e-01,0.4656315623757969
4,28,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.791496e+00,-1.172025e-01,9.605406e-02,2.908377e-01,6.690558e-01,3.283742e+00,-4.478939e-01,[ 1.79149583 -0.11720254  0.09605406],4.629226e-01,0.18660177782047943
5,35,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,2.518076e+00,-5.240941e-02,8.722660e-02,2.514732e-01,5.863008e-01,3.627119e+00,-6.259027e-01,[ 2.5180761  -0.05240941  0.0872266 ],4.825210e-01,0.31184871262075736
6,42,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,2.375784e+00,2.885940e-02,-3.262398e-02,2.210456e-01,5.211041e-01,3.240581e+00,-9.854388e-01,[ 2.37578401  0.0288594  -0.03262398],4.382447e-01,0.11146300772797446
7,49,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,2.554018e+00,8.214844e-02,2.780122e-02,1.931810e-01,4.543797e-01,2.857279e+00,-1.383080e+00,[2.55401829 0.08214844 0.02780122],3.890238e-01,0.12223031632850867
8,56,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,2.410428e+00,-7.566358e-04,1.761677e-02,1.703450e-01,3.916843e-01,2.512638e+00,-1.785896e+00,[ 2.41042766e+00 -7.56635756e-04  1.76167700e-02],3.025175e-01,0.015550532175205122
9,63,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,2.139249e+00,6.648867e-02,2.967338e-02,1.460196e-01,3.413097e-01,2.425320e+00,-2.113016e+00,[2.1392488  0.06648867 0.02967338],2.566041e-01,0.013932218695111251
10,70,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.822504e+00,-2.470249e-02,8.299769e-02,1.266970e-01,3.143758e-01,2.651269e+00,-2.248084e+00,[ 1.8225043  -0.02470249  0.08299769],2.518744e-01,0.0
11,77,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.793473e+00,4.326436e-02,5.138635e-02,1.094563e-01,2.786588e-01,2.388858e+00,-2.619182e+00,[1.79347269 0.04326436 0.05138635],2.221926e-01,0.0
12,84,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.660552e+00,-1.024564e-02,6.114577e-02,1.000101e-01,2.491308e-01,2.235111e+00,-2.887970e+00,[ 1.66055212 -0.01024564  0.06114577],2.014360e-01,0.004510194516607522
13,91,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.689079e+00,1.910279e-02,8.545714e-02,9.289732e-02,2.143303e-01,1.955509e+00,-3.245847e+00,[1.68907948 0.01910279 0.08545714],1.707093e-01,0.0
14,98,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.873100e+00,2.886157e-02,6.276790e-02,7.973515e-02,1.857123e-01,1.906857e+00,-3.567145e+00,[1.87309982 0.02886157 0.0627679 ],1.445210e-01,0.0
15,105,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.846005e+00,5.914011e-02,7.201027e-02,7.237651e-02,1.690794e-01,1.712670e+00,-3.865207e+00,[1.84600506 0.05914011 0.07201027],1.258509e-01,0.0
16,112,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.947572e+00,4.418663e-02,6.272359e-02,6.238894e-02,1.454739e-01,1.683314e+00,-4.181362e+00,[1.94757246 0.04418663 0.06272359],1.104196e-01,0.0
17,119,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.963210e+00,4.739583e-02,4.724101e-02,5.738714e-02,1.249130e-01,1.513146e+00,-4.523882e+00,[1.96320959 0.04739583 0.04724101],9.705415e-02,0.0
18,126,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.865432e+00,3.753276e-02,5.422775e-02,5.051057e-02,1.099731e-01,1.482532e+00,-4.799341e+00,[1.86543177 0.03753276 0.05422775],8.322217e-02,0.0
19,133,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.871087e+00,5.580253e-02,5.955984e-02,4.631351e-02,1.018555e-01,1.297784e+00,-5.095863e+00,[1.87108707 0.05580253 0.05955984],7.187143e-02,0.0
20,140,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.903318e+00,6.627310e-02,5.515116e-02,4.018352e-02,9.688338e-02,1.142882e+00,-5.414993e+00,[1.90331816 0.0662731  0.05515116],6.407495e-02,0.0
21,147,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.896463e+00,6.363230e-02,5.042669e-02,3.642706e-02,8.478261e-02,1.054687e+00,-5.726864e+00,[1.89646252 0.0636323  0.05042669],5.352148e-02,0.0
22,154,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.911135e+00,6.625472e-02,5.817739e-02,3.603179e-02,7.392699e-02,9.815320e-01,-5.946672e+00,[1.9111352  0.06625472 0.05817739],4.745780e-02,0.0
23,161,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.919772e+00,6.374283e-02,5.841394e-02,3.180844e-02,6.564698e-02,8.881701e-01,-6.290079e+00,[1.91977177 0.06374283 0.05841394],4.007140e-02,0.0
24,168,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.926212e+00,6.229145e-02,5.530914e-02,3.036645e-02,5.836384e-02,8.594429e-01,-6.486947e+00,[1.92621235 0.06229145 0.05530914],3.305575e-02,0.0
25,175,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.922624e+00,6.023869e-02,5.541512e-02,2.727822e-02,5.350438e-02,7.529914e-01,-6.813360e+00,[1.92262367 0.06023869 0.05541512],2.688782e-02,0.0
26,182,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.926943e+00,6.019632e-02,5.367962e-02,2.474736e-02,5.144737e-02,6.765524e-01,-7.056978e+00,[1.92694325 0.06019632 0.05367962],2.259208e-02,0.0
27,189,1.571680e-01,[[ 0.12664433  0.07981424 -0.00082131 -0.01213294]],1.571680e-01,1.930248e+00,6.336518e-02,5.467800e-02,2.274907e-02,4.710779e-02,5.896036e-01,-7.366853e+00,[1.9302482  0.06336518 0.054678  ],1.923337e-02,0.0
