Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,2.708566e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,8.555596e-01,1.316295e-01,2.362573e-03,6.515906e-01,8.105772e-01,1.893350e+00,-9.992007e-16,[0.8555596  0.13162946 0.00236257],5.193159e-01,0.5551171303965731
2,14,1.616049e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,9.714743e-01,-2.358784e-02,-1.127238e-01,5.792908e-01,7.117522e-01,1.640871e+00,-3.907491e-01,[ 0.97147433 -0.02358784 -0.11272376],4.325051e-01,0.29634660916803446
3,21,1.615637e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,6.598675e-01,1.197918e-01,1.257115e-01,5.436106e-01,6.274999e-01,1.507599e+00,-6.650159e-01,[0.65986754 0.11979178 0.12571153],3.826179e-01,0.0981412630023761
4,28,1.615637e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,5.231087e-01,7.870212e-02,-4.637176e-02,4.952683e-01,5.371868e-01,1.393061e+00,-9.925616e-01,[ 0.52310873  0.07870212 -0.04637176],3.318412e-01,0.12547238377551934
5,35,1.615637e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,3.028815e-01,6.096659e-02,-4.937737e-02,4.280004e-01,4.596141e-01,1.370352e+00,-1.310932e+00,[ 0.30288149  0.06096659 -0.04937737],3.054990e-01,0.10204794918708096
6,42,1.615637e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,6.017532e-01,1.566749e-02,-7.461196e-02,3.673592e-01,4.070849e-01,1.283760e+00,-1.650355e+00,[ 0.60175319  0.01566749 -0.07461196],2.541745e-01,0.08677867443648327
7,49,1.615637e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,7.015669e-01,2.027171e-02,-2.376794e-02,3.314469e-01,3.508789e-01,1.178366e+00,-1.987473e+00,[ 0.70156687  0.02027171 -0.02376794],2.167372e-01,0.001756555180092652
8,56,1.615637e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,5.581222e-01,5.804995e-02,2.302749e-02,2.918768e-01,3.157522e-01,1.052601e+00,-2.332957e+00,[0.55812215 0.05804995 0.02302749],1.854766e-01,0.006947452784691428
9,63,1.615637e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,6.880998e-01,1.008409e-01,8.121247e-02,2.553168e-01,3.194627e-01,1.002011e+00,-2.504357e+00,[0.6880998  0.10084085 0.08121247],1.785744e-01,0.05390250091250136
10,70,1.615637e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,6.925109e-01,1.941133e-02,-2.913281e-02,2.186908e-01,3.674502e-01,8.692232e-01,-2.661419e+00,[ 0.69251092  0.01941133 -0.02913281],1.611629e-01,0.0
11,77,1.615637e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,7.315090e-01,3.913984e-02,-1.799677e-02,1.891760e-01,3.182680e-01,7.707273e-01,-3.070360e+00,[ 0.73150897  0.03913984 -0.01799677],1.355561e-01,0.0
12,84,1.615637e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,6.820204e-01,6.878194e-02,-6.360411e-02,1.998994e-01,2.799517e-01,6.850103e-01,-3.261400e+00,[ 0.6820204   0.06878194 -0.06360411],1.272565e-01,0.0
13,91,1.615637e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,6.259818e-01,7.629726e-02,-9.024055e-02,1.878099e-01,2.554825e-01,6.611678e-01,-3.450674e+00,[ 0.62598184  0.07629726 -0.09024055],1.246470e-01,0.0
14,98,1.615637e-01,[[ 0.12084098 -0.14569825 -0.02770936 -0.08206694]],1.616049e-01,6.936705e-01,1.036939e-01,-7.148895e-02,1.784449e-01,2.254486e-01,6.365336e-01,-3.664857e+00,[ 0.69367053  0.10369385 -0.07148895],1.130350e-01,0.0
