Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,2.521924e-01,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],8.319780e-02,3.174140e+00,-1.239162e-02,7.236991e-02,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,[ 3.17413965 -0.01239162  0.07236991],3.288983e-01,0.3409571226239067
2,14,1.516116e-01,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.945042e-01,3.213247e+00,1.135325e-01,-8.287098e-02,8.523852e-01,8.550079e-01,9.650194e-01,-3.519683e-01,[ 3.21324745  0.11353246 -0.08287098],2.817421e-01,0.05315239907535118
3,21,1.516116e-01,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.506145e-01,3.071785e+00,1.624879e-01,5.089841e-02,7.329080e-01,7.997264e-01,8.477735e-01,-6.993626e-01,[3.07178529 0.1624879  0.05089841],2.441404e-01,0.15644147546693862
4,28,1.516116e-01,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.903718e-01,2.907534e+00,-1.011989e-01,-3.046279e-02,6.786946e-01,7.247726e-01,1.021362e+00,-6.883440e-01,[ 2.9075344  -0.10119885 -0.03046279],2.532791e-01,0.1435301333616849
5,35,1.516116e-01,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.892715e-01,2.531857e+00,-1.001846e-01,7.410324e-03,5.968533e-01,6.994278e-01,1.528945e+00,-4.489984e-01,[ 2.53185704 -0.10018461  0.00741032],3.167140e-01,0.19867286384213445
6,42,1.310242e-01,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.715653e-01,3.356938e+00,3.827826e-02,-6.117258e-02,5.095045e-01,6.205308e-01,2.318893e+00,-3.104067e-01,[ 3.35693764  0.03827826 -0.06117258],2.870601e-01,0.020492620830862153
7,49,9.023153e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.263183e-01,3.237358e+00,1.146945e-01,6.114503e-02,4.490582e-01,5.740246e-01,2.116211e+00,-6.060584e-01,[3.23735751 0.11469448 0.06114503],2.433217e-01,0.02305768423736137
8,56,9.023153e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.052812e-01,3.190920e+00,5.795752e-02,1.262820e-01,4.126430e-01,4.965450e-01,1.831349e+00,-9.802007e-01,[3.19092032 0.05795752 0.126282  ],2.096523e-01,0.03441663891466395
9,63,9.023153e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.058959e-01,2.986804e+00,3.888489e-02,1.129058e-01,3.669876e-01,4.265434e-01,1.834866e+00,-1.247497e+00,[2.98680447 0.03888489 0.11290583],1.859790e-01,0.008919641183141638
10,70,9.023153e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],9.251608e-02,2.938112e+00,4.752235e-02,4.090270e-02,3.413755e-01,3.790892e-01,1.665769e+00,-1.534469e+00,[2.93811176 0.04752235 0.0409027 ],1.671947e-01,0.0021555986169806023
11,77,9.023153e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.414117e-01,3.045565e+00,5.296836e-02,1.654879e-01,2.968188e-01,4.089981e-01,1.490605e+00,-1.709496e+00,[3.04556535 0.05296836 0.1654879 ],1.537396e-01,0.01528895660913282
12,84,9.023153e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.169487e-01,2.824850e+00,3.464244e-02,9.157146e-02,2.576537e-01,3.699097e-01,1.704699e+00,-1.817247e+00,[2.82484967 0.03464244 0.09157146],1.476334e-01,0.0
13,91,8.533698e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.264764e-01,2.839385e+00,4.838378e-02,-1.287934e-02,2.240552e-01,4.443449e-01,1.600017e+00,-1.837003e+00,[ 2.83938462  0.04838378 -0.01287934],1.496531e-01,0.0
14,98,5.237882e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],9.521349e-02,3.013766e+00,6.397542e-02,6.405162e-02,1.915632e-01,3.852101e-01,1.613453e+00,-2.128127e+00,[3.01376621 0.06397542 0.06405162],1.279933e-01,0.0
15,105,5.237882e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],4.801691e-02,3.146124e+00,2.465234e-02,8.280833e-02,1.983279e-01,3.309844e-01,1.821572e+00,-2.123818e+00,[3.14612358 0.02465234 0.08280833],1.337255e-01,0.0
16,112,5.237882e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.049353e-01,3.061217e+00,3.383866e-02,1.172084e-01,1.764010e-01,3.106476e-01,1.589207e+00,-2.440856e+00,[3.06121667 0.03383866 0.11720835],1.152412e-01,0.008766325865746874
17,119,5.237882e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],6.031088e-02,3.183443e+00,3.908366e-02,5.945294e-02,1.513347e-01,3.258797e-01,1.591536e+00,-2.544789e+00,[3.18344275 0.03908366 0.05945294],1.150166e-01,0.00019026781579748703
18,126,5.237882e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],6.637294e-02,3.166110e+00,4.902000e-02,6.586757e-02,1.315179e-01,2.860202e-01,1.416829e+00,-2.931884e+00,[3.16611009 0.04902    0.06586757],9.818505e-02,0.0
19,133,1.837112e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],4.274893e-02,3.184672e+00,2.206295e-02,8.060603e-02,1.273937e-01,2.633166e-01,1.255029e+00,-3.167712e+00,[3.18467191 0.02206295 0.08060603],8.818621e-02,0.0
20,140,1.837112e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],2.080471e-02,3.334829e+00,1.562562e-02,8.471684e-02,1.177677e-01,2.275224e-01,1.845047e+00,-3.007043e+00,[3.3348292  0.01562562 0.08471684],1.014562e-01,0.0
21,147,1.837112e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],4.100758e-02,3.300750e+00,2.490169e-02,8.923201e-02,1.040469e-01,1.980228e-01,1.657975e+00,-3.376689e+00,[3.30075047 0.02490169 0.08923201],9.127586e-02,0.0
22,154,1.837112e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],4.973849e-02,3.221710e+00,3.138094e-02,6.992548e-02,8.910424e-02,1.757624e-01,1.531043e+00,-3.730622e+00,[3.22171028 0.03138094 0.06992548],7.426205e-02,0.0
23,161,1.837112e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],4.835045e-02,3.194234e+00,1.040189e-02,9.887124e-02,8.427139e-02,1.865888e-01,1.394806e+00,-3.819805e+00,[3.19423394 0.01040189 0.09887124],7.313078e-02,0.0
24,168,1.837112e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],6.159246e-02,3.222818e+00,1.247521e-02,1.077155e-01,7.297558e-02,1.768741e-01,1.263381e+00,-4.116156e+00,[3.2228176  0.01247521 0.10771545],6.551512e-02,0.0
25,175,1.789930e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],2.976025e-02,3.243666e+00,1.410164e-02,8.562435e-02,6.380229e-02,1.666943e-01,1.107875e+00,-4.441116e+00,[3.24366603 0.01410164 0.08562435],5.596879e-02,0.0
26,182,1.789930e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],2.016852e-02,3.319530e+00,8.313394e-04,7.670900e-02,6.848399e-02,1.483508e-01,1.457335e+00,-4.212721e+00,[3.31952998e+00 8.31339374e-04 7.67089960e-02],6.523548e-02,0.0
27,189,1.789930e-02,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],4.834544e-03,3.369547e+00,-8.755717e-03,5.650900e-02,6.668729e-02,1.425541e-01,1.688273e+00,-4.132069e+00,[ 3.36954711 -0.00875572  0.056509  ],7.962193e-02,0.0
28,196,7.485446e-03,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.488551e-02,3.427170e+00,-1.738528e-03,5.314517e-02,5.925359e-02,1.293109e-01,1.814253e+00,-4.275791e+00,[ 3.42717044e+00 -1.73852757e-03  5.31451656e-02],8.502060e-02,0.0
29,203,7.485446e-03,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],5.143151e-03,3.469481e+00,5.475082e-03,5.471446e-02,5.689974e-02,1.111939e-01,1.807553e+00,-4.470970e+00,[3.46948132 0.00547508 0.05471446],8.583806e-02,0.0
30,210,7.485446e-03,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],1.189754e-02,3.463728e+00,2.337038e-02,6.151172e-02,6.314176e-02,9.772826e-02,1.627498e+00,-4.600893e+00,[3.46372841 0.02337038 0.06151172],8.640636e-02,0.0
31,217,7.485446e-03,[[ 0.04005112 -0.04165068 -0.0167261   0.13890412]],7.978484e-03,3.487888e+00,-4.740265e-03,5.946850e-02,6.677873e-02,8.372433e-02,1.485163e+00,-4.791072e+00,[ 3.48788789 -0.00474026  0.0594685 ],7.839315e-02,0.0
