Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,3.958045e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],2.219388e-01,7.557172e-01,2.911116e-02,-6.136224e-02,6.836940e-01,8.129344e-01,1.799214e+00,-4.440892e-16,[ 0.7557172   0.02911116 -0.06136224],5.407528e-01,0.5779574544561709
2,14,3.194879e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],2.016875e-01,1.155528e+00,7.996856e-02,3.425804e-02,5.872233e-01,7.365290e-01,1.632554e+00,-3.480109e-01,[1.15552755 0.07996856 0.03425804],4.698823e-01,0.5176508812692143
3,21,3.194879e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],2.449236e-01,2.043937e+00,-1.370292e-01,1.954465e-02,5.418401e-01,6.492400e-01,2.446380e+00,-1.501278e-01,[ 2.04393698 -0.1370292   0.01954465],5.491674e-01,0.5929440690198859
4,28,3.194879e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],2.381635e-01,2.286336e+00,-5.014335e-02,-3.425804e-02,4.657583e-01,5.687655e-01,2.456665e+00,-4.295706e-01,[ 2.28633638 -0.05014335 -0.03425804],5.622700e-01,0.42331124181784147
5,35,2.850129e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],2.449236e-01,2.138450e+00,2.000000e-01,-1.101574e-01,4.469558e-01,4.878969e-01,2.139241e+00,-7.624955e-01,[ 2.13845011  0.2        -0.11015737],5.146464e-01,0.35662286022689355
6,42,2.212836e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],2.449236e-01,1.983730e+00,5.195474e-02,-1.844734e-01,3.846324e-01,4.341310e-01,1.909126e+00,-1.143230e+00,[ 1.98373042  0.05195474 -0.18447336],4.159590e-01,0.16063126160024152
7,49,2.212836e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],2.634512e-01,1.527643e+00,1.605506e-01,2.133425e-02,3.285106e-01,3.927595e-01,1.961110e+00,-1.374234e+00,[1.52764306 0.16055058 0.02133425],3.760398e-01,0.20823044140050045
8,56,2.212836e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],2.215115e-01,5.433103e-01,2.000000e-01,-1.275424e-01,2.841365e-01,3.857086e-01,3.843513e+00,-8.645866e-01,[ 0.54331026  0.2        -0.12754236],4.889438e-01,0.3926860352589072
9,63,2.212836e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],2.989758e-01,2.258083e-01,-5.531523e-02,-1.446760e-01,2.801622e-01,3.634596e-01,4.018670e+00,-8.935229e-01,[ 0.22580834 -0.05531523 -0.14467604],5.776985e-01,0.4880151694129515
10,70,2.212836e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],1.581857e-01,1.205933e+00,2.193179e-02,-8.575003e-02,2.472994e-01,3.118487e-01,3.710190e+00,-1.251310e+00,[ 1.20593347  0.02193179 -0.08575003],4.683758e-01,0.12684828002075482
11,77,1.090282e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],2.449236e-01,9.814293e-01,-1.120445e-01,-7.683125e-02,2.241101e-01,2.774136e-01,3.249396e+00,-1.599395e+00,[ 0.9814293  -0.11204448 -0.07683125],4.192439e-01,0.07598856928566831
12,84,1.090282e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],2.176862e-01,1.030260e+00,5.544585e-03,2.928535e-02,1.987552e-01,2.567867e-01,2.864357e+00,-1.922847e+00,[1.03026022 0.00554459 0.02928535],3.523421e-01,0.12751018177503456
13,91,1.090282e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],8.676964e-02,1.639917e+00,5.286361e-02,-2.757085e-02,1.832200e-01,2.226899e-01,3.144282e+00,-2.053457e+00,[ 1.63991671  0.05286361 -0.02757085],3.290546e-01,0.03178222397863988
14,98,1.090282e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],1.591766e-01,1.301717e+00,-1.573748e-02,-5.091231e-02,1.614446e-01,1.957284e-01,2.768191e+00,-2.436427e+00,[ 1.30171724 -0.01573748 -0.05091231],2.614957e-01,0.0
15,105,1.090282e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],1.629052e-01,1.101415e+00,6.547648e-02,-7.273039e-03,1.389928e-01,1.932761e-01,2.525196e+00,-2.690650e+00,[ 1.10141546  0.06547648 -0.00727304],2.352072e-01,0.0
16,112,1.090282e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],1.859693e-01,8.652915e-01,5.434573e-02,-6.675723e-02,1.277321e-01,1.663178e-01,2.635744e+00,-2.882510e+00,[ 0.86529154  0.05434573 -0.06675723],2.244428e-01,0.0
17,119,1.090282e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],1.751909e-01,9.935515e-01,3.256928e-02,-1.255686e-01,1.204312e-01,1.603427e-01,2.389956e+00,-3.075844e+00,[ 0.99355153  0.03256928 -0.12556863],2.109068e-01,0.009073654862560435
18,126,1.048993e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],1.651394e-01,1.137521e+00,3.603884e-02,-7.890544e-02,1.057145e-01,1.387872e-01,2.152622e+00,-3.455140e+00,[ 1.1375215   0.03603884 -0.07890544],1.694723e-01,0.0031753169254359536
19,133,1.048993e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],1.084255e-01,1.341420e+00,4.532975e-02,-9.265787e-03,9.926483e-02,1.457676e-01,2.377666e+00,-3.369587e+00,[ 1.34142015  0.04532975 -0.00926579],1.761156e-01,0.0
20,140,1.048993e-01,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],9.755118e-02,1.394707e+00,4.084608e-02,-5.856346e-03,8.551790e-02,1.299485e-01,2.249333e+00,-3.689013e+00,[ 1.39470674  0.04084608 -0.00585635],1.648975e-01,0.0
21,147,3.349435e-02,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],8.738430e-02,1.560549e+00,1.628201e-02,1.595873e-02,8.216182e-02,1.128076e-01,2.414118e+00,-3.799802e+00,[1.5605487  0.01628201 0.01595873],1.673601e-01,0.0
22,154,3.349435e-02,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],2.642063e-02,1.683917e+00,6.240105e-02,3.219935e-02,7.902095e-02,1.003246e-01,2.420364e+00,-3.953469e+00,[1.68391668 0.06240105 0.03219935],1.697417e-01,0.0
23,161,3.349435e-02,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],5.205582e-02,1.891318e+00,2.461924e-02,7.083754e-02,7.453480e-02,8.780113e-02,2.768992e+00,-4.010687e+00,[1.89131815 0.02461924 0.07083754],1.824499e-01,0.0
24,168,3.349435e-02,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],8.298936e-02,2.082173e+00,2.178535e-02,8.740183e-02,6.408094e-02,7.539811e-02,3.049359e+00,-4.217650e+00,[2.08217253 0.02178535 0.08740183],1.919868e-01,0.0
25,175,3.349435e-02,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],5.197665e-02,2.135402e+00,5.912883e-02,7.135290e-02,6.453876e-02,6.745177e-02,2.812419e+00,-4.402787e+00,[2.13540181 0.05912883 0.0713529 ],1.906112e-01,0.0
26,182,3.349435e-02,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],6.659690e-02,1.682128e+00,9.458083e-02,1.730155e-03,5.687445e-02,6.952537e-02,3.370805e+00,-4.317821e+00,[1.68212835 0.09458083 0.00173016],1.968223e-01,0.0
27,189,3.349435e-02,[[-0.09562203 -0.00222754  0.13931555  0.06699589]],4.727624e-02,1.789552e+00,9.910961e-02,5.693329e-03,4.981293e-02,6.527095e-02,2.955821e+00,-4.644912e+00,[1.78955236 0.09910961 0.00569333],1.817979e-01,0.0
