Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,1.291112e-01,[[-0.06881116  0.12870149  0.00946875  0.02602746]],8.121744e-02,1.465078e+00,4.997680e-02,1.617234e-02,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,[1.4650778  0.0499768  0.01617234],3.323333e-01,0.40020849564573646
2,14,3.777979e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],4.167921e-02,1.044342e+00,-5.811866e-03,2.896174e-02,8.564601e-01,8.740976e-01,1.225915e+00,-8.582295e-02,[ 1.04434228 -0.00581187  0.02896174],3.298407e-01,0.18455716269341202
3,21,3.777979e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],1.398913e-01,4.876696e-01,7.176142e-02,-4.176663e-03,7.318710e-01,7.564389e-01,2.078903e+00,1.405557e-01,[ 0.48766961  0.07176142 -0.00417666],4.099362e-01,0.3178978527040516
4,28,3.777979e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],2.820295e-01,7.257289e-01,1.294314e-01,-9.260096e-02,6.314615e-01,6.639631e-01,1.825128e+00,-2.675966e-01,[ 0.72572887  0.12943138 -0.09260096],3.833675e-01,0.18272283480878287
5,35,3.777979e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],2.718479e-01,4.759976e-01,9.389587e-02,-1.169653e-01,5.447476e-01,5.690021e-01,1.773088e+00,-5.985812e-01,[ 0.47599759  0.09389587 -0.1169653 ],3.618908e-01,0.2881688347965315
6,42,3.777979e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],1.291112e-01,6.903394e-01,-9.319625e-02,-1.942723e-02,4.669053e-01,5.509693e-01,1.568205e+00,-9.077732e-01,[ 0.69033936 -0.09319625 -0.01942723],3.157103e-01,0.2260481130173205
7,49,3.777979e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],1.000716e-01,6.301062e-01,2.843793e-02,3.832180e-02,4.368530e-01,4.760339e-01,1.402252e+00,-1.232345e+00,[0.63010624 0.02843793 0.0383218 ],2.629282e-01,0.014782174984403913
8,56,3.777979e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],4.340999e-02,1.050313e+00,-5.229786e-02,9.735214e-02,3.783196e-01,4.088030e-01,1.822212e+00,-1.266487e+00,[ 1.05031267 -0.05229786  0.09735214],2.634171e-01,0.11518336507373826
9,63,3.777979e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],1.727200e-01,9.423518e-01,9.273506e-02,2.302538e-02,3.251910e-01,4.169525e-01,1.611316e+00,-1.521074e+00,[0.94235179 0.09273506 0.02302538],2.358307e-01,0.0
10,70,3.777979e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],7.280778e-02,5.226756e-01,2.983717e-02,-1.201235e-01,3.162935e-01,3.806098e-01,2.258914e+00,-1.302181e+00,[ 0.52267559  0.02983717 -0.12012349],2.446297e-01,0.04087531827851552
11,77,3.564550e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],5.140773e-02,1.182287e+00,8.948898e-02,-4.926845e-02,2.869553e-01,3.418256e-01,2.981090e+00,-1.229595e+00,[ 1.18228721  0.08948898 -0.04926845],2.494632e-01,0.02070899923812674
12,84,3.564550e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],3.378781e-02,5.242695e-01,2.705679e-03,-9.282287e-02,2.479932e-01,3.038260e-01,3.500946e+00,-1.332621e+00,[ 0.5242695   0.00270568 -0.09282287],2.293395e-01,0.02944636940150656
13,91,2.547282e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],2.383846e-02,7.424943e-01,-5.126886e-03,3.249784e-03,2.201197e-01,2.839936e-01,3.114310e+00,-1.636380e+00,[ 0.74249427 -0.00512689  0.00324978],1.949069e-01,0.006631762739969932
14,98,2.547282e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],2.210568e-02,5.514148e-01,1.829111e-02,-1.011584e-01,1.908477e-01,2.690165e-01,2.936399e+00,-1.892078e+00,[ 0.55141482  0.01829111 -0.1011584 ],1.722219e-01,0.002257702894568281
15,105,2.547282e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],2.449090e-02,6.924962e-01,-5.475508e-04,-7.744725e-03,1.677649e-01,2.751870e-01,2.683497e+00,-2.088375e+00,[ 6.92496224e-01 -5.47550837e-04 -7.74472476e-03],1.464959e-01,0.0
16,112,2.547282e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],2.602110e-02,5.343008e-01,-8.203838e-03,-4.827196e-02,1.479803e-01,2.397264e-01,2.532081e+00,-2.409891e+00,[ 0.53430083 -0.00820384 -0.04827196],1.250066e-01,0.0
17,119,2.547282e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],4.619725e-02,7.278425e-01,1.822684e-02,5.419201e-02,1.472810e-01,2.506444e-01,2.614064e+00,-2.338227e+00,[0.72784246 0.01822684 0.05419201],1.307507e-01,0.0
18,126,2.547282e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],9.922281e-02,6.406701e-01,3.554489e-02,2.605479e-02,1.446526e-01,2.173159e-01,2.297729e+00,-2.627902e+00,[0.64067009 0.03554489 0.02605479],1.199036e-01,0.0
19,133,2.547282e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],9.966357e-02,6.721544e-01,6.431585e-02,1.262050e-02,1.497958e-01,1.988299e-01,1.975266e+00,-2.833085e+00,[0.6721544  0.06431585 0.0126205 ],1.111185e-01,0.0
20,140,1.328936e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],1.603376e-02,7.671191e-01,7.165399e-02,5.147879e-02,1.317075e-01,1.726472e-01,1.915693e+00,-3.133598e+00,[0.76711915 0.07165399 0.05147879],1.034874e-01,0.0
21,147,6.850656e-03,[[-0.06881116  0.12870149  0.00946875  0.02602746]],3.329466e-02,8.796318e-01,5.958120e-02,8.060835e-02,1.167945e-01,1.570516e-01,2.151874e+00,-3.232181e+00,[0.87963182 0.0595812  0.08060835],1.031667e-01,0.0
22,154,6.850656e-03,[[-0.06881116  0.12870149  0.00946875  0.02602746]],8.344766e-02,7.690125e-01,4.636243e-02,3.854277e-02,1.153426e-01,1.381770e-01,1.956312e+00,-3.468007e+00,[0.76901248 0.04636243 0.03854277],8.417356e-02,0.0
23,161,6.850656e-03,[[-0.06881116  0.12870149  0.00946875  0.02602746]],6.810770e-02,7.206762e-01,6.043485e-02,4.055797e-02,1.147784e-01,1.237725e-01,1.792987e+00,-3.670179e+00,[0.72067624 0.06043485 0.04055797],7.320725e-02,0.0
24,168,6.850656e-03,[[-0.06881116  0.12870149  0.00946875  0.02602746]],1.705592e-02,7.076410e-01,9.569746e-02,3.172969e-02,1.080137e-01,1.669952e-01,1.718202e+00,-3.474009e+00,[0.70764102 0.09569746 0.03172969],8.014855e-02,0.0
25,175,6.850656e-03,[[-0.06881116  0.12870149  0.00946875  0.02602746]],4.060346e-02,7.402284e-01,1.020919e-01,5.482404e-02,9.889072e-02,1.696463e-01,1.550768e+00,-3.649029e+00,[0.74022841 0.10209193 0.05482404],7.994173e-02,0.0
26,182,1.141432e-03,[[-0.06881116  0.12870149  0.00946875  0.02602746]],5.161515e-02,8.062542e-01,1.265368e-01,4.580469e-02,9.575639e-02,1.845932e-01,1.500438e+00,-3.629792e+00,[0.80625418 0.12653679 0.04580469],8.775265e-02,0.0
27,189,1.141432e-03,[[-0.06881116  0.12870149  0.00946875  0.02602746]],2.136776e-02,6.294106e-01,1.292637e-01,3.441016e-04,8.440057e-02,1.760431e-01,2.066957e+00,-3.483130e+00,[6.29410642e-01 1.29263710e-01 3.44101621e-04],9.889413e-02,0.0
28,196,1.141432e-03,[[-0.06881116  0.12870149  0.00946875  0.02602746]],1.493220e-02,7.186776e-01,1.157347e-01,2.711490e-02,7.214266e-02,1.544678e-01,1.908619e+00,-3.850500e+00,[0.71867762 0.11573468 0.0271149 ],8.094755e-02,0.0
29,203,1.141432e-03,[[-0.06881116  0.12870149  0.00946875  0.02602746]],1.441443e-02,7.341969e-01,1.117401e-01,2.847877e-02,6.325200e-02,1.432660e-01,1.642152e+00,-4.207673e+00,[0.73419693 0.11174013 0.02847877],6.397977e-02,0.0
30,210,1.141432e-03,[[-0.06881116  0.12870149  0.00946875  0.02602746]],1.782246e-02,6.896382e-01,1.201456e-01,1.809591e-02,5.419122e-02,1.291986e-01,1.505236e+00,-4.552692e+00,[0.68963821 0.12014561 0.01809591],5.512104e-02,0.0
31,217,1.141432e-03,[[-0.06881116  0.12870149  0.00946875  0.02602746]],1.185080e-02,7.200386e-01,1.277001e-01,2.031569e-02,4.670801e-02,1.198440e-01,1.340027e+00,-4.892714e+00,[0.7200386  0.12770006 0.02031569],4.846236e-02,0.0
