Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,6.984285e-01,[-0.08351525 -0.14873195  0.14566612  0.01213141],2.013019e+00,0.000000e+00,-2.000000e-01,2.000000e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,[ 0.  -0.2  0.2],2.000000e+00,2.6216514207672277
2,14,6.260597e-01,[-0.08351525 -0.14873195  0.14566612  0.01213141],2.800020e-01,2.070140e-01,-8.287098e-02,-8.112008e-02,8.523505e-01,8.528885e-01,8.611254e-01,-4.683991e-01,[ 0.20701403 -0.08287098 -0.08112008],1.554385e+00,1.0394334903542932
3,21,2.800020e-01,[-0.08351525 -0.14873195  0.14566612  0.01213141],2.800020e-01,1.483983e-01,-1.790260e-01,-1.157605e-01,7.268682e-01,7.284263e-01,7.345699e-01,-9.443491e-01,[ 0.14839828 -0.17902598 -0.1157605 ],1.189029e+00,1.2862725832846489
4,28,2.800020e-01,[-0.08351525 -0.14873195  0.14566612  0.01213141],2.800020e-01,7.851699e-01,1.034517e-02,4.130391e-02,6.198944e-01,6.262489e-01,6.986347e-01,-1.304841e+00,[0.78516986 0.01034517 0.04130391],1.029372e+00,1.1053854193110748
5,35,2.800020e-01,[-0.08351525 -0.14873195  0.14566612  0.01213141],2.800020e-01,4.578892e-01,-1.440914e-01,-3.425804e-02,5.311016e-01,5.348539e-01,6.259954e-01,-1.726976e+00,[ 0.45788924 -0.14409139 -0.03425804],7.838569e-01,0.6345208997002475
6,42,2.800020e-01,[-0.08351525 -0.14873195  0.14566612  0.01213141],2.800020e-01,4.633056e-01,4.849369e-02,-7.895426e-03,4.573030e-01,4.645333e-01,5.355698e-01,-2.173555e+00,[ 0.46330564  0.04849369 -0.00789543],6.232779e-01,0.40171807862928566
7,49,2.800020e-01,[-0.08351525 -0.14873195  0.14566612  0.01213141],2.800020e-01,7.149813e-01,-1.513871e-01,4.874431e-02,3.914809e-01,4.152400e-01,4.923226e-01,-2.525338e+00,[ 0.71498132 -0.15138706  0.04874431],5.384464e-01,0.32220898272787396
8,56,2.800020e-01,[-0.08351525 -0.14873195  0.14566612  0.01213141],2.551502e-01,8.284067e-01,-4.488030e-02,-1.639306e-01,3.499770e-01,3.767742e-01,4.549939e-01,-2.813468e+00,[ 0.82840675 -0.0448803  -0.16393063],4.863962e-01,0.2123747423103135
9,63,2.800020e-01,[-0.08351525 -0.14873195  0.14566612  0.01213141],2.800020e-01,5.061035e-01,-3.818882e-02,1.501524e-01,3.087506e-01,3.340583e-01,4.995172e-01,-2.965774e+00,[ 0.50610355 -0.03818882  0.15015236],4.483655e-01,0.08085678310052309
10,70,2.775331e-01,[-0.08351525 -0.14873195  0.14566612  0.01213141],2.800020e-01,5.061960e-01,-8.512335e-02,-2.093244e-02,2.683094e-01,3.035946e-01,4.318970e-01,-3.347245e+00,[ 0.50619598 -0.08512335 -0.02093244],3.713194e-01,0.08527069338844824
11,77,2.459010e-01,[-0.08351525 -0.14873195  0.14566612  0.01213141],2.800020e-01,5.270101e-01,-1.399029e-02,-7.586032e-02,2.354119e-01,2.693256e-01,3.710972e-01,-3.749544e+00,[ 0.5270101  -0.01399029 -0.07586032],3.099418e-01,0.030454544489958862
