Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,6.410338e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],1.189795e-01,6.391178e-01,-6.321837e-02,-5.289633e-02,6.122668e-01,9.540411e-01,1.711954e+00,8.881784e-16,[ 0.63911779 -0.06321837 -0.05289633],5.228561e-01,0.3495942307644012
2,14,6.410338e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],9.470429e-02,7.606523e-01,2.000000e-01,4.321410e-02,5.651816e-01,8.181341e-01,1.491788e+00,-3.713620e-01,[0.76065228 0.2        0.0432141 ],4.503382e-01,0.31682441080444185
3,21,6.410338e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],1.659047e-01,7.896135e-01,1.022192e-01,-1.561593e-02,4.882417e-01,6.998562e-01,1.280167e+00,-8.268343e-01,[ 0.78961351  0.10221924 -0.01561593],3.495448e-01,0.15247821136027492
4,28,6.410338e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],4.776357e-02,1.080782e+00,1.587937e-01,-1.549157e-01,4.403535e-01,6.354850e-01,1.289563e+00,-1.019241e+00,[ 1.08078172  0.15879371 -0.15491572],3.312738e-01,0.16550889501774654
5,35,6.410338e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],1.291112e-01,9.982468e-01,-3.605289e-02,-1.072958e-01,4.252297e-01,5.615878e-01,1.164594e+00,-1.279740e+00,[ 0.99824683 -0.03605289 -0.10729581],2.982471e-01,0.1983166103830314
6,42,6.410338e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],1.291112e-01,9.913958e-01,-1.613354e-01,-4.481819e-02,3.837538e-01,5.470997e-01,1.003687e+00,-1.557198e+00,[ 0.99139577 -0.16133543 -0.04481819],2.810803e-01,0.131747870093198
7,49,3.747635e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],1.291112e-01,1.235310e+00,-5.800099e-02,-1.409654e-02,3.300645e-01,4.835616e-01,1.064157e+00,-1.772861e+00,[ 1.23530989 -0.05800099 -0.01409654],2.642966e-01,0.01168332794742799
8,56,3.747635e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],9.238056e-02,1.109159e+00,6.236488e-02,-1.066303e-01,2.863253e-01,4.891595e-01,9.366216e-01,-2.031169e+00,[ 1.10915856  0.06236488 -0.10663027],2.308023e-01,0.037600622469211906
9,63,3.747635e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],7.887655e-02,1.096026e+00,1.324712e-02,-3.714211e-02,2.579284e-01,4.272093e-01,8.233638e-01,-2.399912e+00,[ 1.09602574  0.01324712 -0.03714211],1.845959e-01,0.003906030813060346
10,70,3.747635e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],4.908005e-02,1.123112e+00,1.459451e-01,-1.444121e-01,2.210155e-01,5.302933e-01,7.345375e-01,-2.452362e+00,[ 1.12311246  0.14594506 -0.14441213],1.858579e-01,0.059624975989129955
11,77,3.747635e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],5.606206e-02,1.279250e+00,1.809923e-01,-1.150735e-01,1.919906e-01,4.646096e-01,8.510887e-01,-2.578106e+00,[ 1.27924987  0.18099229 -0.11507346],1.888357e-01,0.03958993581739305
12,84,3.747635e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],5.304991e-02,1.243590e+00,3.202501e-02,1.513778e-02,1.677019e-01,6.132170e-01,7.659947e-01,-2.541184e+00,[1.24359024 0.03202501 0.01513778],1.849397e-01,0.002326207917037308
13,91,3.747635e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],8.474747e-02,1.202699e+00,1.356883e-01,-8.271839e-02,1.471367e-01,6.198005e-01,6.573607e-01,-2.814274e+00,[ 1.20269864  0.1356883  -0.08271839],1.522594e-01,0.0333905423493465
14,98,3.747635e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],7.069966e-02,1.223979e+00,1.205350e-02,8.047409e-02,1.364209e-01,5.719575e-01,8.803072e-01,-2.678185e+00,[1.22397889 0.0120535  0.08047409],1.634847e-01,0.003274458857580344
15,105,3.747635e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],7.788005e-02,1.157217e+00,2.117569e-02,6.980313e-02,1.203862e-01,5.251965e-01,7.940550e-01,-2.991636e+00,[1.15721685 0.02117569 0.06980313],1.540209e-01,0.0
16,112,3.747635e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],4.036641e-02,1.026386e+00,-2.648465e-02,9.258823e-02,1.046215e-01,5.919145e-01,8.141175e-01,-2.987449e+00,[ 1.02638587 -0.02648465  0.09258823],1.676014e-01,0.0
17,119,3.747635e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],6.322955e-02,1.280309e+00,2.415969e-02,9.407737e-03,1.050601e-01,5.456847e-01,1.006522e+00,-2.852435e+00,[1.28030917 0.02415969 0.00940774],1.657367e-01,0.0024473225958506445
18,126,3.747635e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],8.011895e-02,1.370391e+00,7.374064e-02,-3.574528e-02,9.381809e-02,4.797395e-01,1.115398e+00,-2.991698e+00,[ 1.37039144  0.07374064 -0.03574528],1.642860e-01,0.009730588547377841
19,133,3.747635e-02,[[-0.06881116  0.12870149  0.00946875  0.02602746]],9.495407e-02,1.362337e+00,2.813586e-02,7.756482e-02,8.894548e-02,4.988940e-01,9.620097e-01,-3.153824e+00,[1.36233696 0.02813586 0.07756482],1.586408e-01,0.0
