Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,6.224915e-02,[[ 0.03330368 -0.04505524 -0.00980135 -0.00396826]],2.150687e-02,3.339759e+00,8.398816e-03,-3.181942e-02,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,[ 3.33975905  0.00839882 -0.03181942],3.022866e-01,0.13974369995840616
2,14,6.224915e-02,[[ 0.03330368 -0.04505524 -0.00980135 -0.00396826]],8.895529e-02,3.580628e+00,3.425804e-02,4.828791e-02,8.557506e-01,8.769106e-01,1.033257e+00,-2.544107e-01,[3.58062812 0.03425804 0.04828791],2.722958e-01,0.16080207690031548
3,21,6.893559e-03,[[ 0.03330368 -0.04505524 -0.00980135 -0.00396826]],9.365155e-02,3.453103e+00,3.744044e-02,-1.628302e-01,7.511689e-01,8.140901e-01,9.475504e-01,-5.456841e-01,[ 3.45310311  0.03744044 -0.16283023],2.359125e-01,0.00502571785559799
4,28,6.893559e-03,[[ 0.03330368 -0.04505524 -0.00980135 -0.00396826]],1.032237e-01,3.460718e+00,-5.613430e-02,1.068867e-02,6.559130e-01,7.540765e-01,8.464890e-01,-8.706466e-01,[ 3.4607178  -0.0561343   0.01068867],2.002877e-01,0.051550482683416665
5,35,6.893559e-03,[[ 0.03330368 -0.04505524 -0.00980135 -0.00396826]],8.587427e-03,3.630333e+00,-1.511024e-01,-1.489083e-03,6.051452e-01,6.605782e-01,9.085629e-01,-1.012818e+00,[ 3.63033289e+00 -1.51102377e-01 -1.48908266e-03],1.993011e-01,0.05184941533555509
6,42,6.893559e-03,[[ 0.03330368 -0.04505524 -0.00980135 -0.00396826]],2.580639e-02,3.629741e+00,-1.460065e-01,-2.008408e-02,5.184582e-01,5.691652e-01,8.060880e-01,-1.436043e+00,[ 3.6297411  -0.14600649 -0.02008408],1.753142e-01,0.05068735386428904
7,49,6.893559e-03,[[ 0.03330368 -0.04505524 -0.00980135 -0.00396826]],6.515628e-02,3.648923e+00,-1.182636e-01,4.281464e-02,4.664580e-01,5.117555e-01,7.166753e-01,-1.765628e+00,[ 3.64892264 -0.11826361  0.04281464],1.511396e-01,0.024726426654475848
8,56,6.893559e-03,[[ 0.03330368 -0.04505524 -0.00980135 -0.00396826]],3.958327e-02,3.651453e+00,-1.589457e-01,4.700696e-02,4.154840e-01,4.399114e-01,6.315968e-01,-2.158997e+00,[ 3.65145305 -0.15894571  0.04700696],1.277575e-01,0.0
9,63,6.893559e-03,[[ 0.03330368 -0.04505524 -0.00980135 -0.00396826]],2.725673e-02,3.585465e+00,-1.373365e-01,1.159460e-03,3.687509e-01,3.819590e-01,6.093138e-01,-2.455498e+00,[ 3.58546501e+00 -1.37336465e-01  1.15945989e-03],1.085324e-01,0.0099904407671072
10,70,6.893559e-03,[[ 0.03330368 -0.04505524 -0.00980135 -0.00396826]],3.217004e-02,3.516952e+00,-1.601390e-01,-1.402780e-02,3.281914e-01,3.565336e-01,6.614874e-01,-2.558749e+00,[ 3.51695195 -0.16013897 -0.0140278 ],1.082286e-01,0.008122488365685854
