,EvalCount,0,0.75,0.25,EvalCount,1,0.75,0.25,EvalCount,0
0,12.0,1.4574885000000002,5.07018825,0.2538668,12,113.77260000000001,182.3652,61.0080325,12,5.7995
1,24.0,1.3332765,4.64789925,0.215286875,24,88.06872999999999,147.8094,54.7685575,24,5.7995
2,36.0,1.1275425000000001,3.40407875,0.2030348,36,75.95839000000001,122.31677499999999,51.782650000000004,36,5.7995
3,48.0,1.0990199999999999,3.17379075,0.195095825,48,62.38977,102.036625,41.04333,48,5.7995
4,60.0,1.048445,2.74163225,0.18936005,60,57.04661,91.05335,38.705075,60,5.7995
5,72.0,0.83967235,2.6722022500000002,0.12692765,72,47.42957,84.41132,35.023365,72,5.7995
6,84.0,0.7174905,2.5777605,0.1043115025,84,42.42597,70.9849025,31.8631975,84,5.7995
7,96.0,0.6249217,2.21735625,0.0678814525,96,38.471115,65.9448175,25.9685925,96,5.7995
8,108.0,0.5625526,1.88314925,0.06651209999999999,108,34.355405,53.20692,24.627589999999998,108,5.7995
9,120.0,0.5213568,1.77618725,0.066199535,120,29.463775,48.684847500000004,23.162105,120,5.7995
10,132.0,0.50154875,1.7158185000000001,0.065963725,132,28.74263,47.988347499999996,20.0193675,132,5.7995
11,144.0,0.4147683,1.6718965,0.065963725,144,26.46691,43.497730000000004,17.506735,144,5.7995
12,156.0,0.35120755000000003,1.3583105,0.065963725,156,24.632984999999998,41.1960025,15.90121,156,5.7995
13,168.0,0.31675225,1.18915525,0.0656349425,168,22.680325,37.304987499999996,14.5214675,168,5.7995
14,180.0,0.30420555000000005,0.9888502749999999,0.0644444425,180,20.93737,33.509775000000005,13.5663425,180,5.7995
15,192.0,0.28617824999999997,0.889915625,0.061146677499999996,192,18.533225,32.887325,12.38646,192,5.7995
16,204.0,0.2662782,0.830996625,0.0596021325,204,17.281775,28.70173,10.178457250000001,204,5.7995
17,216.0,0.2568941,0.78616135,0.037206555,216,15.74389,27.2152425,9.557738500000001,216,5.7995
18,228.0,0.23805345,0.65333475,0.0358430225,228,14.65695,25.0406475,8.53803775,228,5.7995
19,240.0,0.2039035,0.597077875,0.032183135,240,13.04072,21.7414,7.635419000000001,240,5.7995
20,252.0,0.202133,0.53892305,0.031894915,252,11.00592,20.308585,7.322650250000001,252,5.7995
21,264.0,0.18232365,0.4641105,0.03138469,264,10.530685,18.0887225,6.682870250000001,264,5.7995
