,EvalCount,0,0.75,0.25,EvalCount,1,0.75,0.25,EvalCount,0
50,612.0,0.009020442,0.013074295,0.00597652125,612,0.3668149,0.589482675,0.275456775,612,10.0037
51,624.0,0.0078602425,0.0120960925,0.005274890250000001,624,0.3567171,0.523845475,0.254041575,624,10.0037
52,636.0,0.0073978815,0.010481255,0.0047189575,636,0.31908274999999997,0.476073925,0.230229875,636,10.0037
53,648.0,0.006393087,0.01033283,0.00436438875,648,0.27884965,0.418696625,0.19011640000000002,648,10.0037
54,660.0,0.005633757499999999,0.00881944125,0.00387535075,660,0.26154155,0.412809575,0.167383075,660,10.0037
55,672.0,0.004652739,0.00747009775,0.00281087275,672,0.25303915,0.34531690000000004,0.150977475,672,10.0037
56,684.0,0.0042776055,0.00701511725,0.0027661327499999997,684,0.22061999999999998,0.3327928,0.14429275,684,10.0037
57,696.0,0.003663688,0.0064162725,0.002443266,696,0.204756,0.27954765,0.1209618,696,10.0037
58,708.0,0.0034002965000000003,0.006414554,0.0023039000000000002,708,0.1860252,0.254837825,0.107241925,708,10.0037
59,720.0,0.003175013,0.00599551075,0.00218888975,720,0.15613125,0.22462864999999999,0.10250225,720,10.0037
60,732.0,0.0028113555,0.0049160457500000004,0.002048111,732,0.15003675,0.19754545,0.093745945,732,10.0037
61,744.0,0.0027318025,0.0040020197499999995,0.00189831725,744,0.13618819999999998,0.189092225,0.08616668,744,10.0037
62,756.0,0.002406651,0.0037092375,0.0017893015,756,0.1231914,0.1666681,0.078950905,756,10.0037
63,768.0,0.0021953759999999998,0.00330188275,0.00154268175,768,0.1024674,0.1512203,0.070623455,768,10.0037
64,780.0,0.0020728705,0.00312794575,0.0013573667499999999,780,0.09597568000000001,0.134860625,0.0697154525,780,10.0037
65,792.0,0.0016934530000000001,0.0028145092499999996,0.0011336147499999998,792,0.082568385,0.128085425,0.05430425,792,10.0037
66,804.0,0.0015894845000000001,0.00254903575,0.0011204435,804,0.079458265,0.11822339999999999,0.0518126275,804,10.0037
67,816.0,0.0014187240000000001,0.0020932775,0.00105933175,816,0.062484575,0.10400728000000001,0.0474338125,816,10.0037
68,828.0,0.001261347,0.001973822,0.000973174375,828,0.06074763,0.09263721999999999,0.0398718825,828,10.0037
69,840.0,0.001084508,0.00187956275,0.00086183725,840,0.056563340000000004,0.0876888275,0.037208254999999996,840,10.0037
70,852.0,0.0010296415,0.0016964825000000002,0.0006547211,852,0.048556384999999994,0.07974553250000001,0.033463427500000004,852,10.0037
71,864.0,0.0009169709499999999,0.00158054,0.0005864131500000001,864,0.04254096,0.0722610675,0.0293908325,864,10.0037
72,876.0,0.0007848877,0.00140641125,0.0005622123,876,0.03834073,0.062117599999999995,0.0272884675,876,10.0037
73,888.0,0.0007665702,0.00113591575,0.000464591875,888,0.034607795,0.0546500075,0.025395077500000002,888,10.0037
74,900.0,0.0007141839,0.001048442425,0.000464591875,900,0.032359535,0.0477753825,0.021705092500000002,900,10.0037
75,912.0,0.00065643995,0.0009560803,0.000424314975,912,0.029036060000000002,0.0447061925,0.0200125225,912,10.0037
76,924.0,0.00057818485,0.000843147875,0.0004071316,924,0.02781189,0.0431107925,0.01671089,924,10.0037
77,936.0,0.0005047153000000001,0.0007730806,0.00034054135,936,0.02326897,0.0369384325,0.015581595,936,10.0037
78,948.0,0.0004087992,0.0007100060999999999,0.00031591877500000004,948,0.022818525,0.031166749999999997,0.01390163,948,10.0037
79,960.0,0.00040756500000000003,0.000678178225,0.00030281762500000003,960,0.01800123,0.029515155,0.012246795,960,10.0037
80,972.0,0.00038705965,0.0006646994000000001,0.000280005575,972,0.017164445,0.028304985,0.0107982325,972,10.0037
81,984.0,0.0003364127,0.000509534825,0.0002697807,984,0.016753425000000002,0.0252525325,0.009815272,984,10.0037
82,996.0,0.00032235365,0.00041487560000000003,0.000247683975,996,0.014807695,0.0212057,0.00884911975,996,10.0037
83,1008.0,0.00028123465,0.00039295309999999996,0.000222325725,1008,0.011125415,0.020921965,0.008483912,1008,10.0037
84,1020.0,0.00027213754999999996,0.000364184075,0.00019479504999999998,1020,0.010828255,0.0192036025,0.007878097,1020,10.0037
85,1032.0,0.00024537325,0.000344864325,0.00015892795,1032,0.009087711,0.0173052725,0.00616091175,1032,10.0037
86,1044.0,0.00022635979999999998,0.00031995795,0.000147462275,1044,0.0088300355,0.0134759625,0.0056188335,1044,10.0037
87,1056.0,0.0001991384,0.00030920062500000003,0.00012097095,1056,0.0073343335,0.012168212500000001,0.0052947025,1056,10.0037
88,1068.0,0.0001738652,0.000287035,0.000115267975,1068,0.007284454,0.010872340000000001,0.00468808575,1068,10.0037
89,1080.0,0.000156968,0.000236102675,0.0001084306,1080,0.0064480455,0.0097813165,0.00444605825,1080,10.0037
90,1092.0,0.00015220055,0.00021900595,0.0001025655,1092,0.0052056695,0.008392628249999999,0.00382229125,1092,10.0037
91,1104.0,0.0001318772,0.000192984825,8.52665075e-05,1104,0.0047750385,0.0076028195,0.00362466,1104,10.0037
92,1116.0,0.00011976745,0.000174051425,8.140165000000001e-05,1116,0.0047465549999999995,0.00716897975,0.00348919775,1116,10.0037
93,1128.0,0.00010171858,0.00014488875,6.89162e-05,1128,0.004487314500000001,0.007120158749999999,0.00308267,1128,10.0037
94,1140.0,9.1489695e-05,0.00012963470000000002,6.136452750000001e-05,1140,0.003577529,0.00610497175,0.0025779855000000003,1140,10.0037
95,1152.0,7.999492e-05,0.0001189972,5.2518002500000005e-05,1152,0.003418008,0.005764976,0.002403969,1152,10.0037
96,1164.0,6.3467635e-05,0.00010697974999999999,4.3898902500000004e-05,1164,0.0031902575,0.0049109125,0.00192140125,1164,10.0037
97,1176.0,6.200460499999999e-05,0.00010697974999999999,4.06316025e-05,1176,0.0027231825,0.00458810075,0.0017063467500000001,1176,10.0037
98,1188.0,5.4735875e-05,0.000101896695,3.91227425e-05,1188,0.002598044,0.00454759175,0.00161368375,1188,10.0037
99,1200.0,4.946418e-05,9.008514499999999e-05,3.4015724999999995e-05,1200,0.002541386,0.00387659,0.00144934975,1200,10.0037
100,1212.0,4.7881015e-05,7.932262e-05,3.28088875e-05,1212,0.0024204170000000002,0.00333299525,0.0013102349999999999,1212,10.0037
101,1224.0,4.2633915e-05,7.386662500000001e-05,3.25672375e-05,1224,0.001951463,0.00305421375,0.00125457375,1224,10.0037
102,1236.0,4.2221925e-05,6.99309075e-05,2.6631145e-05,1236,0.0015394665,0.00287714025,0.00116760075,1236,10.0037
103,1248.0,3.6517600000000004e-05,6.66345375e-05,2.15410225e-05,1248,0.001477764,0.0026581165,0.0010354835,1248,10.0037
104,1260.0,3.48827e-05,5.49486675e-05,2.0997717500000002e-05,1260,0.001335857,0.0023664360000000004,0.00100799325,1260,10.0037
105,1272.0,3.2664470000000003e-05,4.8221059999999995e-05,1.993647e-05,1272,0.0011851415,0.002029664,0.00091536305,1272,10.0037
106,1284.0,2.8839885e-05,4.1728015e-05,1.8576455e-05,1284,0.0011398035,0.002029664,0.000704884875,1284,10.0037
107,1296.0,2.268471e-05,4.1728015e-05,1.70666825e-05,1296,0.001073684,0.001823508,0.0006756788499999999,1296,10.0037
108,1308.0,2.2330635000000002e-05,3.81079375e-05,1.44826975e-05,1308,0.0010289155,0.001645424,0.000636492675,1308,10.0037
109,1320.0,2.150537e-05,3.47886975e-05,1.2873865e-05,1320,0.00081935855,0.00145461025,0.000507958,1320,10.0037
110,1332.0,1.8675325000000002e-05,3.03222625e-05,1.112395e-05,1332,0.00075487895,0.001271026,0.0004698635,1332,10.0037
111,1344.0,1.7301275e-05,2.8720137500000002e-05,1.112395e-05,1344,0.00066047155,0.00120111925,0.0004414272,1344,10.0037
112,1356.0,1.591489e-05,2.7390072500000002e-05,1.01591685e-05,1356,0.0005752121,0.000994567125,0.00040441235,1356,10.0037
113,1368.0,1.393521e-05,2.163201e-05,9.37025225e-06,1368,0.0005434329,0.000931299525,0.0003787838,1368,10.0037
114,1380.0,1.2652625e-05,2.0179790000000002e-05,8.5793865e-06,1380,0.0005266069,0.000823484875,0.000341875425,1380,10.0037
115,1392.0,1.0679375e-05,2.0179790000000002e-05,8.3663325e-06,1392,0.0004704261,0.00076355785,0.000322988575,1392,10.0037
116,1404.0,9.611044e-06,1.71943475e-05,7.688931e-06,1404,0.00039303280000000003,0.0006747705,0.000287853525,1404,10.0037
117,1416.0,8.991605499999999e-06,1.71943475e-05,6.8995245e-06,1416,0.00038783990000000005,0.0006096837,0.00023650057499999998,1416,10.0037
118,1428.0,8.1764725e-06,1.5245392500000001e-05,5.9661175e-06,1428,0.00033110055,0.00056007505,0.000204944525,1428,10.0037
119,1440.0,7.606045499999999e-06,1.1823325000000001e-05,5.353411e-06,1440,0.00031232935,0.000512816875,0.000176782675,1440,10.0037
120,1452.0,6.7636205e-06,1.16361375e-05,4.48728925e-06,1452,0.00029657489999999995,0.0004829049,0.00017255884999999998,1452,10.0037
121,1464.0,5.975579e-06,8.99501025e-06,4.20067675e-06,1464,0.0002479286,0.00039626562499999997,0.00016194675,1464,10.0037
122,1476.0,5.6922155e-06,8.400894999999999e-06,3.87475875e-06,1476,0.00022212105,0.00038570807500000004,0.0001363236,1476,10.0037
123,1488.0,4.76528e-06,8.066323e-06,3.150508e-06,1488,0.00021354985000000002,0.000334870575,0.000119759825,1488,10.0037
124,1500.0,4.266754e-06,7.3477525e-06,2.89575375e-06,1500,0.00018939199999999998,0.0002877519,0.00011727062499999999,1500,10.0037
125,1512.0,4.0329535e-06,7.095644000000001e-06,2.7730235e-06,1512,0.00018643795000000002,0.0002674151,9.956971250000001e-05,1512,10.0037
126,1524.0,3.6829555e-06,5.99106125e-06,2.39457525e-06,1524,0.00017263819999999998,0.000222154825,9.62605575e-05,1524,10.0037
127,1536.0,3.083567e-06,5.24007625e-06,2.39457525e-06,1536,0.00014893595,0.000215033175,8.6324935e-05,1536,10.0037
128,1548.0,2.9309415000000004e-06,4.727482e-06,2.1335465e-06,1548,0.0001254102,0.00020161715,7.924415499999999e-05,1548,10.0037
129,1560.0,2.8035325e-06,4.5098415e-06,1.89008775e-06,1560,0.0001185523,0.000187982325,6.87369125e-05,1560,10.0037
130,1572.0,2.62145e-06,3.9520485e-06,1.76183675e-06,1572,0.00010956195,0.00017377715,6.2670405e-05,1572,10.0037
131,1584.0,2.1666335e-06,2.92141625e-06,1.589024e-06,1584,9.3516605e-05,0.000154738575,5.9863095e-05,1584,10.0037
132,1596.0,1.8830165e-06,2.88703825e-06,1.3363595e-06,1596,8.039607e-05,0.000149989875,5.72969925e-05,1596,10.0037
133,1608.0,1.7006775e-06,2.88703825e-06,1.229492e-06,1608,7.274913e-05,0.0001444084,4.9887027500000004e-05,1608,10.0037
134,1620.0,1.532195e-06,2.4679535000000002e-06,1.07647775e-06,1620,6.5176565e-05,0.000131583975,4.0961175e-05,1620,10.0037
135,1632.0,1.3865675e-06,2.1840385e-06,9.7291405e-07,1632,6.072234e-05,0.00011179777500000001,4.0961175e-05,1632,10.0037
136,1644.0,1.3242130000000001e-06,2.00274775e-06,8.70583425e-07,1644,5.8246074999999996e-05,9.91548125e-05,3.84435025e-05,1644,10.0037
137,1656.0,1.3196134999999999e-06,1.959714e-06,8.67881675e-07,1656,5.1702994999999996e-05,8.91846425e-05,2.9280965e-05,1656,10.0037
138,1668.0,1.2014865e-06,1.66618625e-06,7.18746025e-07,1668,5.1702994999999996e-05,7.74520575e-05,2.43135725e-05,1668,10.0037
139,1680.0,9.485675e-07,1.539131e-06,6.12561375e-07,1680,4.3638760000000004e-05,7.4583835e-05,2.3843715e-05,1680,10.0037
140,1692.0,7.908082e-07,1.45635275e-06,5.4692035e-07,1692,4.042967e-05,6.9543925e-05,2.14326375e-05,1692,10.0037
141,1704.0,7.857404e-07,1.33512275e-06,4.973051749999999e-07,1704,3.639851e-05,5.512917e-05,2.0528887500000002e-05,1704,10.0037
142,1716.0,7.653948e-07,1.2134725e-06,4.4047885e-07,1716,3.0952539999999995e-05,5.2604177499999995e-05,1.9416335e-05,1716,10.0037
143,1728.0,6.875686e-07,1.079792e-06,4.242493e-07,1728,3.090052e-05,5.2604177499999995e-05,1.84183e-05,1728,10.0037
144,1740.0,6.0209825e-07,1.0006486499999999e-06,3.46264225e-07,1740,2.588479e-05,5.054774e-05,1.556791e-05,1740,10.0037
145,1752.0,5.2829195e-07,9.820586e-07,3.17709575e-07,1752,2.3301445e-05,4.0549955e-05,1.53008225e-05,1752,10.0037
146,1764.0,5.095512999999999e-07,7.220074999999999e-07,3.07526725e-07,1764,2.195556e-05,3.56216275e-05,1.21033925e-05,1764,10.0037
147,1776.0,4.554033e-07,6.809307999999999e-07,2.696962e-07,1776,2.024302e-05,3.3359057500000004e-05,1.0671252499999999e-05,1776,10.0037
148,1788.0,3.781304e-07,6.3833555e-07,2.21238225e-07,1788,1.705208e-05,2.9126082499999998e-05,9.87653525e-06,1788,10.0037
149,1800.0,3.365216e-07,6.33751825e-07,2.16915275e-07,1800,1.5996725e-05,2.66751925e-05,8.7591895e-06,1800,10.0037
150,1812.0,3.148123e-07,6.291337750000001e-07,2.037139e-07,1812,1.5567124999999997e-05,2.33395975e-05,7.5090025e-06,1812,10.0037
151,1824.0,2.938213e-07,5.2480355e-07,1.7630545e-07,1824,1.502788e-05,2.08898625e-05,7.39203425e-06,1824,10.0037
152,1836.0,2.4386125e-07,4.49024125e-07,1.3744715e-07,1836,1.1511015e-05,2.0236085e-05,6.134588e-06,1836,10.0037
153,1848.0,2.2398210000000002e-07,3.92680425e-07,1.2374255e-07,1848,1.0710015e-05,1.92434e-05,5.8841515e-06,1848,10.0037
154,1860.0,1.9261925e-07,3.519354e-07,1.13598425e-07,1860,1.0086023000000001e-05,1.5800885e-05,5.690327500000001e-06,1860,10.0037
155,1872.0,1.8619135e-07,3.519354e-07,1.024168e-07,1872,8.651782e-06,1.42641475e-05,4.5377345e-06,1872,10.0037
156,1884.0,1.6688084999999998e-07,3.1761805000000003e-07,9.70207875e-08,1884,7.1439535e-06,1.20885075e-05,4.09715025e-06,1884,10.0037
157,1896.0,1.5681235e-07,2.7503965e-07,9.009046000000001e-08,1896,7.1439535e-06,1.197757e-05,3.7678905e-06,1896,10.0037
158,1908.0,1.4317315e-07,2.5115385e-07,8.26424375e-08,1908,5.8206455e-06,1.042661575e-05,3.40568425e-06,1908,10.0037
159,1920.0,1.2319700000000001e-07,2.41270725e-07,8.26424375e-08,1920,4.8993805e-06,9.42070425e-06,3.40568425e-06,1920,10.0037
