,EvalCount,0,0.75,0.25,EvalCount,1,0.75,0.25,EvalCount,0,0
0,12.0,0.001114773,0.0012981565000000001,0.0009449459000000001,12,71.690365,102.79015,59.83787,12,8.7209e-17,1.479754e-09
1,24.0,0.001046124,0.001140086,0.0008703263249999999,24,65.741405,84.7086925,50.7966375,24,8.7209e-17,1.479754e-09
2,36.0,0.0009561013999999999,0.001073299,0.0008579944000000001,36,55.18345,67.3838025,45.3637575,36,8.7209e-17,1.479754e-09
3,48.0,0.0008975110499999999,0.00101385125,0.000753180875,48,51.177495,62.4316175,43.2322225,48,8.7209e-17,1.479754e-09
4,60.0,0.00083796435,0.0009641141,0.000682259425,60,44.47072,57.1373925,36.982525,60,8.7209e-17,1.479754e-09
5,72.0,0.00074353355,0.00084099955,0.0006296545000000001,72,37.05764,48.11595,31.893785,72,8.7209e-17,1.479754e-09
6,84.0,0.0006537094000000001,0.0007613359,0.0004970561,84,34.952545,40.870655,28.6499225,84,8.7209e-17,1.479754e-09
7,96.0,0.0005578184,0.0006756091,0.000430314675,96,31.023899999999998,38.7392875,26.575094999999997,96,8.7209e-17,1.479754e-09
8,108.0,0.0004896623,0.00060067675,0.00039090877499999997,108,27.24178,36.5828025,21.9044375,108,8.7209e-17,1.479754e-09
9,120.0,0.00043559035000000003,0.0005403044500000001,0.000356325025,120,25.34439,32.2539325,19.1555525,120,8.7209e-17,1.479754e-09
10,132.0,0.0003854914,0.00048166815000000003,0.00031142400000000003,132,22.769750000000002,28.4498575,17.9188625,132,8.7209e-17,1.479754e-09
11,144.0,0.00033579495000000004,0.000417746175,0.00027892555000000004,144,21.145615,27.654545,17.16283,144,8.7209e-17,1.479754e-09
12,156.0,0.00030968835000000003,0.0003884629,0.000249781975,156,19.380345,25.77194,15.642635,156,8.7209e-17,1.479754e-09
13,168.0,0.00028827265,0.00032280802499999996,0.00023542127500000002,168,18.558709999999998,23.404135,14.6752875,168,8.7209e-17,1.479754e-09
14,180.0,0.0002460496,0.000289854875,0.00019452709999999998,180,16.546355,20.455095,13.46728,180,8.7209e-17,1.479754e-09
15,192.0,0.00021739589999999998,0.00027677575,0.000183047225,192,15.1411,18.67114,12.565375,192,8.7209e-17,1.479754e-09
16,204.0,0.00018338765,0.000260906975,0.00015861915,204,13.597465,16.3891425,11.1489275,204,8.7209e-17,1.479754e-09
17,216.0,0.0001674068,0.00021225772500000001,0.00014541055,216,13.05005,14.9410025,9.68129475,216,8.7209e-17,1.479754e-09
18,228.0,0.00015235345,0.000177489375,0.00012513745,228,11.94941,14.2855275,8.8306705,228,8.7209e-17,1.479754e-09
