,EvalCount,0,0.75,0.25,EvalCount,1,0.75,0.25,EvalCount,0
0,12.0,0.0033283495,0.29444522500000003,0.00119804725,12,96.69800000000001,185.209725,64.12029,12,5.7995
1,24.0,0.0029084665,0.263640525,0.0010681649999999998,24,75.77800500000001,133.44375,51.94759,24,5.7995
2,36.0,0.0023056179999999997,0.258328,0.0009800435,36,65.34504,115.220625,48.3264975,36,5.7995
3,48.0,0.002139995,0.202736325,0.0008709924500000001,48,60.165695,86.08172,40.38718,48,5.7995
4,60.0,0.0017310855,0.16537895,0.000775470725,60,51.512460000000004,76.45134,37.714774999999996,60,5.7995
5,72.0,0.0016053285,0.16296925,0.0007325121000000001,72,49.731930000000006,70.30092499999999,34.2163575,72,5.7995
6,84.0,0.0014768945,0.157627075,0.000643240125,84,46.44942,67.607595,28.0890775,84,5.7995
7,96.0,0.0014207025,0.157627075,0.0005620732,96,40.38204,58.2568325,26.7968875,96,5.7995
8,108.0,0.0014207025,0.13559512499999998,0.0005195205500000001,108,36.998599999999996,51.61329,25.54594,108,5.7995
9,120.0,0.0013062545,0.12019605,0.00047322445,120,33.16175,51.61329,22.92229,120,5.7995
10,132.0,0.0011697320000000002,0.097131625,0.0004268474,132,29.539695000000002,49.79591,20.4962075,132,5.7995
11,144.0,0.0011194590000000002,0.0922991425,0.000396379,144,26.75587,47.089052499999994,18.540195,144,5.7995
12,156.0,0.0009105782000000001,0.0922991425,0.0003281067,156,25.527485,41.9335675,16.993470000000002,156,5.7995
13,168.0,0.00074223005,0.089341875,0.00030902825,168,23.747815000000003,39.85611,14.7551025,168,5.7995
14,180.0,0.0006735509000000001,0.08312386,0.0002708631,180,21.51706,36.24451,13.229009999999999,180,5.7995
15,192.0,0.0006735509000000001,0.062836375,0.000255519925,192,17.86637,32.4512375,12.548005,192,5.7995
16,204.0,0.0006735509000000001,0.0615041625,0.0002314765,204,17.240275,29.3449025,11.5696325,204,5.7995
