,EvalCount,0,0.75,0.25,EvalCount,1,0.75,0.25,EvalCount,0,0
46,564.0,0.015366405,0.024266259999999998,0.00861959575,564,0.65501255,0.880609475,0.389461375,564,28.5731,1.901283
47,576.0,0.012779505,0.023453585,0.00723661475,576,0.49483635000000004,0.773543925,0.377017225,576,28.5731,1.901283
48,588.0,0.011013565,0.02061938,0.006846734,588,0.49002875,0.6850766500000001,0.35794215,588,28.5731,1.901283
49,600.0,0.010317005,0.020444867499999998,0.0067884765,600,0.43984535,0.5775109,0.34131665,600,28.5731,1.901283
50,612.0,0.009591545,0.01916297,0.00554962025,612,0.38298845000000004,0.52046565,0.3118436,612,28.5731,1.901283
51,624.0,0.009304449999999999,0.0184526125,0.00518711325,624,0.3662242,0.455777625,0.289907075,624,28.5731,1.901283
52,636.0,0.008333799999999999,0.015816355,0.00459665325,636,0.3347151,0.438319325,0.2517476,636,28.5731,1.901283
53,648.0,0.0073540425,0.0154869475,0.00429641275,648,0.31089164999999996,0.38275325,0.2359656,648,28.5731,1.901283
54,660.0,0.006921554999999999,0.01106579,0.00376133025,660,0.25461575000000003,0.35861195,0.1954205,660,28.5731,1.901283
55,672.0,0.005673984,0.010554972499999999,0.00359262975,672,0.234804,0.324091625,0.17536269999999998,672,28.5731,1.901283
56,684.0,0.0051013815,0.00944839825,0.00298265825,684,0.2198211,0.3207512,0.1520783,684,28.5731,1.901283
57,696.0,0.0044287755,0.008824647,0.00288772325,696,0.19706865,0.28806519999999997,0.1353079,696,28.5731,1.901283
58,708.0,0.0041701135,0.008824647,0.0025505775,708,0.17634515,0.263994775,0.124384825,708,28.5731,1.901283
59,720.0,0.0036036065000000003,0.0078417945,0.0022699595,720,0.17030305,0.2135555,0.114597425,720,28.5731,1.901283
60,732.0,0.0032158105,0.0071288625,0.00216896475,732,0.152325,0.1948331,0.1059014,732,28.5731,1.901283
61,744.0,0.0031603545,0.0059355805,0.001823509,744,0.13656775,0.178316275,0.09050346,744,28.5731,1.901283
62,756.0,0.0029785404999999997,0.005171994,0.0016476029999999999,756,0.12865455,0.16324397499999999,0.08508097749999999,756,28.5731,1.901283
63,768.0,0.002710317,0.0050417845,0.0016076455,768,0.10917885,0.14442597499999998,0.067901265,768,28.5731,1.901283
64,780.0,0.002243137,0.0043988510000000005,0.00135490975,780,0.10033225,0.131904775,0.0610183525,780,28.5731,1.901283
65,792.0,0.0019320495,0.003764524,0.00112860875,792,0.09547396,0.11701145,0.04963546,792,28.5731,1.901283
66,804.0,0.0018306300000000002,0.0036408960000000002,0.00104731425,804,0.077072185,0.109127975,0.047675065,804,28.5731,1.901283
67,816.0,0.0017751315,0.00352992575,0.0009483956,816,0.065259,0.0998069825,0.04353502,816,28.5731,1.901283
68,828.0,0.0015760155,0.00271845225,0.00091065725,828,0.062980045,0.0858029,0.039722074999999996,828,28.5731,1.901283
69,840.0,0.0013127795,0.0024038287500000003,0.000767929825,840,0.055321209999999996,0.08171771,0.0338196525,840,28.5731,1.901283
70,852.0,0.0012434945,0.0023481682499999997,0.000646274425,852,0.049907560000000004,0.07246715000000001,0.0321872775,852,28.5731,1.901283
71,864.0,0.001176699,0.00214863125,0.000570412125,864,0.046425469999999996,0.06599804249999999,0.030443792499999997,864,28.5731,1.901283
72,876.0,0.000904058,0.00180378875,0.0005347162750000001,876,0.041696655,0.06301667999999999,0.0301495825,876,28.5731,1.901283
73,888.0,0.00072949995,0.001535441,0.0004439696,888,0.04004469,0.05164168,0.02888371,888,28.5731,1.901283
74,900.0,0.00070908345,0.001448612,0.0003679686,900,0.033296055,0.044769737500000004,0.0227064825,900,28.5731,1.901283
75,912.0,0.0006661379999999999,0.0014380035000000002,0.000338416225,912,0.028619055,0.04191798,0.021552355,912,28.5731,1.901283
76,924.0,0.0006433064,0.0014380035000000002,0.00032147094999999997,924,0.02713092,0.033842565,0.0204642925,924,28.5731,1.901283
77,936.0,0.00053106435,0.00130167425,0.00029919100000000003,936,0.02412388,0.03238794,0.01887183,936,28.5731,1.901283
78,948.0,0.0004995787999999999,0.0011007285,0.000265116425,948,0.020369745,0.03015253,0.015650465,948,28.5731,1.901283
79,960.0,0.00047194049999999997,0.000961747375,0.00025686860000000004,960,0.020180765,0.027198,0.012999515,960,28.5731,1.901283
80,972.0,0.00042291590000000003,0.000878182875,0.0002114983,972,0.017140654999999998,0.02607931,0.011305362499999999,972,28.5731,1.901283
81,984.0,0.00034479365,0.0007504361,0.000189393125,984,0.016117504999999997,0.0256303575,0.0110209625,984,28.5731,1.901283
82,996.0,0.00031160659999999996,0.00066754805,0.000178290025,996,0.014168795000000001,0.0256303575,0.01013739,996,28.5731,1.901283
83,1008.0,0.0003038318,0.000620162125,0.00016018377500000001,1008,0.013213075,0.0225020825,0.00994578575,1008,28.5731,1.901283
84,1020.0,0.00027818959999999996,0.0005606833,0.000154070125,1020,0.01179657,0.01885097,0.0086183535,1020,28.5731,1.901283
85,1032.0,0.00027169065,0.0004976358749999999,0.00014413675000000002,1032,0.010440205000000001,0.0171306,0.00815372025,1032,28.5731,1.901283
86,1044.0,0.0002366909,0.000432949475,0.000129497775,1044,0.0097759105,0.015696825,0.0058643689999999995,1044,28.5731,1.901283
87,1056.0,0.00021760565,0.0004009434,0.000106064025,1056,0.008504484,0.0121289525,0.005295309749999999,1056,28.5731,1.901283
88,1068.0,0.00020302185,0.000393658575,9.1631105e-05,1068,0.008109145500000001,0.011867454999999999,0.0048094995,1068,28.5731,1.901283
89,1080.0,0.0001645975,0.00035158024999999997,8.7289765e-05,1080,0.0065199205,0.010160336749999999,0.004676828500000001,1080,28.5731,1.901283
90,1092.0,0.00013220885,0.00035158024999999997,8.071792250000001e-05,1092,0.0057463194999999995,0.010160336749999999,0.00403651,1092,28.5731,1.901283
91,1104.0,0.00013220885,0.0003492203,7.072222250000001e-05,1104,0.0054332185,0.00964377975,0.003558414,1104,28.5731,1.901283
92,1116.0,0.0001177267,0.000294428,6.30244325e-05,1116,0.0047352655,0.008850720500000001,0.0031969155,1116,28.5731,1.901283
93,1128.0,0.00011102315,0.000256277175,5.46618475e-05,1128,0.0044260355,0.007588458,0.0029534965,1128,28.5731,1.901283
94,1140.0,9.1841665e-05,0.00019533495,5.276839e-05,1140,0.003830561,0.0065796775,0.0025454695,1140,28.5731,1.901283
95,1152.0,8.595331500000001e-05,0.000183810475,5.04019875e-05,1152,0.0034893785,0.00567404175,0.0023305947499999997,1152,28.5731,1.901283
96,1164.0,8.595331500000001e-05,0.000183810475,4.4594295e-05,1164,0.0030673395000000003,0.005244201,0.00225256025,1164,28.5731,1.901283
97,1176.0,7.708585999999999e-05,0.000177874775,4.0863590000000006e-05,1176,0.0029587235,0.0047489925,0.002039369,1176,28.5731,1.901283
98,1188.0,7.1246695e-05,0.00015661005,3.7950925000000005e-05,1188,0.0028421035,0.004413115,0.0017516892500000002,1188,28.5731,1.901283
99,1200.0,6.1415695e-05,0.00014249389999999997,3.3085792500000004e-05,1200,0.0026606855,0.004123854,0.00162279575,1200,28.5731,1.901283
100,1212.0,5.9156224999999996e-05,0.00013723235,2.903722e-05,1212,0.0023310885,0.00348213,0.0014659862500000002,1212,28.5731,1.901283
101,1224.0,5.7064530000000004e-05,0.000107328925,2.5685445e-05,1224,0.002121863,0.0032634992500000003,0.00135274775,1224,28.5731,1.901283
102,1236.0,4.68065e-05,0.000107328925,2.544365e-05,1236,0.0017603900000000001,0.00292150025,0.0011529945,1236,28.5731,1.901283
103,1248.0,4.207663e-05,8.724618499999999e-05,2.3548870000000002e-05,1248,0.0015086165000000001,0.002796718,0.0010520282499999999,1248,28.5731,1.901283
104,1260.0,3.8266600000000004e-05,7.66828825e-05,1.812094e-05,1260,0.0013996619999999999,0.0023181515,0.00099715645,1260,28.5731,1.901283
105,1272.0,3.5225725e-05,7.09745075e-05,1.59350025e-05,1272,0.0011543970000000001,0.0019949325,0.0008942493000000001,1272,28.5731,1.901283
106,1284.0,2.8480655e-05,6.02703125e-05,1.48964325e-05,1284,0.0011543970000000001,0.001936184,0.00075093025,1284,28.5731,1.901283
107,1296.0,2.7049865e-05,5.92379025e-05,1.41345225e-05,1296,0.001024839,0.00166085725,0.000724586575,1296,28.5731,1.901283
108,1308.0,2.5335715000000003e-05,5.09168325e-05,1.376738e-05,1308,0.000993755,0.0015130550000000001,0.0006819553750000001,1308,28.5731,1.901283
