,EvalCount,0,0.75,0.25,EvalCount,1,0.75,0.25,EvalCount,2,0.75,0.25,EvalCount,0,0,0,0,0,0,EvalCount,3,0.75,0.25,EvalCount,4,0.75,0.25,EvalCount,5,0.75,0.25
0,8,0.13085225,0.20998055,0.07876911249999999,8,3.110982,3.8168045,2.41187375,8,0.53722745,0.8769309750000001,0.3920461,8,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,8,0.0,0.0019898910273638,0.0,8,6.159274061582057,6.7462873276450726,5.584832372341362,8,1.2839235253017365,1.4092042271166942,1.2298358031711327
1,16,0.11248955,0.20998055,0.07656816999999999,16,1.9951699999999999,2.31308425,1.2870244999999998,16,0.3853177,0.566246875,0.2307957,16,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,16,0.0,0.0,0.0,16,4.184494921954516,4.622872853730966,3.782515133953634,16,0.9282779568809919,1.1739759954632318,0.7932502520311298
2,24,0.084614035,0.20998055,0.0432409475,24,1.1979375,1.6335777500000002,0.91525035,24,0.2296418,0.29278725,0.203144175,24,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,24,0.0,0.0038394787133778753,0.0,24,2.653904606294309,2.8823794043311453,2.36060831303187,24,0.6162334194347108,0.705832837636018,0.5278130795328222
3,32,0.081788485,0.20998055,0.0432409475,32,0.8298535499999999,1.0133889249999999,0.7391987250000001,32,0.22322655,0.2407306,0.135638875,32,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,32,0.0,0.00066932852483965,0.0,32,2.026626581694652,2.181886558915554,1.7192281083720509,32,0.40953786821933486,0.4828435848527258,0.31409934193839895
4,40,0.07377504,0.20998055,0.042207972499999996,40,0.52945525,0.71694395,0.382673675,40,0.19996914999999998,0.23192785,0.1068217325,40,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,40,0.0,0.00403832951749065,0.0,40,1.34985714842973,1.5138037631784826,1.2168853278440486,40,0.25678165620628585,0.35268870812870895,0.18383714069237345
5,48,0.070614045,0.20998055,0.0180835425,48,0.2624905,0.429993925,0.23116405,48,0.1585223,0.227166025,0.09777374,48,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,48,0.0,0.00193963869448915,0.0,48,0.8337300620128233,1.0498920002300822,0.6819446814023334,48,0.1988811538662173,0.24472682686591424,0.1589548212839494
6,56,0.070614045,0.20998055,0.0178649125,56,0.23495285,0.26188540000000005,0.20263325000000001,56,0.15408315,0.2204599,0.09777374,56,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,56,0.0,0.003311684028120025,0.0,56,0.5568052748917254,0.5824741610104422,0.4876906877625377,56,0.14148092125945672,0.18175315302461023,0.0999295022774046
7,64,0.063354095,0.20998055,0.01680915425,64,0.22039,0.25070655,0.15015895,64,0.15408315,0.218957575,0.0915267675,64,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,64,0.0,0.00129554033188335,0.0,64,0.4229853906069566,0.4783712563396322,0.36010744503539555,64,0.054687334576136754,0.11407702399762452,0.0394124604033822
8,72,0.058886245,0.20998055,0.01680915425,72,0.1992041,0.23613245,0.1158034,72,0.12258170000000002,0.218957575,0.0888325325,72,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,72,0.0,0.0011780022702651749,0.0,72,0.21121735190137225,0.3021147023997127,0.171663909060002,72,0.06386774412696014,0.10668177472257379,0.04102988751371382
9,80,0.057052955,0.20998055,0.01680915425,80,0.1710634,0.220174375,0.10901090000000001,80,0.10730816500000001,0.18133364999999999,0.0850477575,80,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,80,0.0,9.918053486125e-05,0.0,80,0.1493937882889694,0.23148261924016533,0.11793769986298946,80,0.0365793304328932,0.04559447175161543,0.0181131028763535
10,88,0.057052955,0.20998055,0.01653422125,88,0.13664815000000002,0.213607475,0.105505425,88,0.10730816500000001,0.180956925,0.075293125,88,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,88,0.0,0.0005581265259157751,0.0,88,0.0871578484103159,0.1294792760538723,0.058682656012833276,88,0.02094473007062805,0.06171486042831765,0.006824843097816725
11,96,0.057052955,0.20998055,0.007560856249999999,96,0.13056435,0.213607475,0.10525665,96,0.106167765,0.180956925,0.0546939825,96,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,96,0.0,0.0,0.0,96,0.0583780110367672,0.07459825372358118,0.03568394114535527,96,0.01216236476212045,0.019869860326030924,0.002460418500687
12,104,0.057052955,0.20998055,0.007467734,104,0.13056435,0.213607475,0.10525665,104,0.09593014999999999,0.180956925,0.0546939825,104,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,104,0.0,0.0,0.0,104,0.0367874935077561,0.05721624293854058,0.0132309398660164,104,0.0092288001677864,0.02171107743130815,0.00498561152494165
13,112,0.057052955,0.20998055,0.00726343675,112,0.11747075,0.213607475,0.0920980875,112,0.09593014999999999,0.177214175,0.0546939825,112,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,112,0.0,0.0,0.0,112,0.00974424275708795,0.0313829642053534,0.00507491778225625,112,0.00614291433991435,0.017757890008686574,0.0
