,EvalCount,0,0.75,0.25,EvalCount,1,0.75,0.25,EvalCount,2,0.75,0.25,EvalCount,0,0,0,0,0,0
0,8,0.06839388,0.10481341500000001,0.05254884,8,2.7940385,3.3802172500000003,1.94900025,8,0.5945284,0.8763704,0.35407242499999997,8,0.111957535,0.0920272475,0.137496115,0.09990733,0.0631968425,0.191371225
1,16,0.04997091,0.080321435,0.045274805,16,1.7923705,2.028932,1.6209565,16,0.41134535,0.481850825,0.295249775,16,0.111957535,0.0920272475,0.137496115,0.09990733,0.0631968425,0.191371225
2,24,0.041275165,0.0534533375,0.0292415325,24,1.155624,1.286785,0.684270425,24,0.23103085,0.334119075,0.18551510000000002,24,0.111957535,0.0920272475,0.137496115,0.09990733,0.0631968425,0.191371225
3,32,0.041275165,0.0534533375,0.02081216,32,0.5416436,0.786306,0.478452375,32,0.1744847,0.19788175,0.147270875,32,0.111957535,0.0920272475,0.137496115,0.09990733,0.0631968425,0.191371225
4,40,0.03537339,0.050925595000000004,0.02081216,40,0.48006234999999997,0.786306,0.445193225,40,0.15130725,0.19788175,0.11569435,40,0.111957535,0.0920272475,0.137496115,0.09990733,0.0631968425,0.191371225
5,48,0.030860415,0.0479747075,0.0187968025,48,0.30655794999999997,0.56260515,0.27286945,48,0.138939,0.18961307500000002,0.11569435,48,0.111957535,0.0920272475,0.137496115,0.09990733,0.0631968425,0.191371225
6,56,0.023201325000000002,0.0479747075,0.01463029,56,0.2702253,0.314557225,0.16019144999999999,56,0.138939,0.18961307500000002,0.11569435,56,0.111957535,0.0920272475,0.137496115,0.09990733,0.0631968425,0.191371225
7,64,0.023201325000000002,0.0479747075,0.01077490525,64,0.1685855,0.24459832499999998,0.11569435,64,0.138939,0.1754914,0.09117934,64,0.111957535,0.0920272475,0.137496115,0.09990733,0.0631968425,0.191371225
8,72,0.023201325000000002,0.0479747075,0.01077490525,72,0.13057185,0.19808935,0.069504415,72,0.13697785,0.1754914,0.0705338475,72,0.111957535,0.0920272475,0.137496115,0.09990733,0.0631968425,0.191371225
9,80,0.023201325000000002,0.0479747075,0.01077490525,80,0.13057185,0.191371225,0.069504415,80,0.1360278,0.1754914,0.0628437875,80,0.111957535,0.0920272475,0.137496115,0.09990733,0.0631968425,0.191371225
10,88,0.018215725000000002,0.045718220000000004,0.008300732,88,0.13057185,0.191371225,0.06716704,88,0.1360278,0.17382235000000001,0.059910825,88,0.111957535,0.0920272475,0.137496115,0.09990733,0.0631968425,0.191371225
