,EvalCount,0,0.75,0.25,EvalCount,1,0.75,0.25,EvalCount,2,0.75,0.25,EvalCount,0,0,0,0,0,0,EvalCount,3,0.75,0.25,EvalCount,4,0.75,0.25,EvalCount,5,0.75,0.25
0,7,0.2358689,0.3379282,0.127227475,7,1.298,2.0700205,0.796476525,7,0.29734459999999996,0.3579894,0.225939575,7,0.12950636,0.11733118249999999,0.139444815,0.1738012,0.131285125,0.248212675,7,0.3314550564313621,0.5414958161982929,0.15326272351584477,7,3.4479248660310606,4.17622829548627,3.054375874437978,7,0.41649038030601937,0.5222078662937083,0.34883265714863987
1,14,0.18761905,0.2901787,0.121131925,14,0.76074665,1.03423875,0.624025925,14,0.17159459999999999,0.2651256,0.143003425,14,0.12950636,0.11733118249999999,0.139444815,0.1738012,0.131285125,0.248212675,14,0.19806134359140184,0.3851878327537721,0.08725284686867868,14,2.1900129142153264,2.6002459056824914,1.7662503618608456,14,0.29973126145018925,0.36824598404345604,0.21390778155372378
2,21,0.15938645,0.22437675,0.118786475,21,0.34601885,0.6878854249999999,0.2775071,21,0.16583035,0.2466431,0.134532175,21,0.12950636,0.11733118249999999,0.139444815,0.1738012,0.131285125,0.248212675,21,0.14415666726088405,0.3221563266657703,0.03975003717666202,21,1.7426877646321106,1.9329633515181102,1.410407855083295,21,0.1817172815354566,0.3260793378917517,0.10539912358921723
3,28,0.13707465000000002,0.175430225,0.106937975,28,0.31841814999999996,0.4522215,0.2695562,28,0.16333599999999998,0.227431575,0.119681675,28,0.12950636,0.11733118249999999,0.139444815,0.1738012,0.131285125,0.248212675,28,0.07951060859290775,0.15332830872345937,0.0431786552529019,28,1.2171400584246648,1.6224915839404659,1.031052542641232,28,0.13419678760171244,0.1659723674219967,0.09402175188991323
4,35,0.13707465000000002,0.175430225,0.106937975,35,0.26909,0.3115516,0.191590175,35,0.1620552,0.227431575,0.1184351,35,0.12950636,0.11733118249999999,0.139444815,0.1738012,0.131285125,0.248212675,35,0.0817398418304883,0.16203636556235013,0.03271468973147895,35,0.8716102532815678,1.0719791196416106,0.6787024457929585,35,0.07061444751427015,0.09269423339065275,0.05063862387146713
5,42,0.12678095,0.17016075,0.10387954999999999,42,0.22623755,0.2946823,0.16315469999999999,42,0.1620552,0.219660525,0.1184351,42,0.12950636,0.11733118249999999,0.139444815,0.1738012,0.131285125,0.248212675,42,0.0298803461739524,0.06256018186234495,0.0164783707517751,42,0.6989867116808179,0.9104470225150433,0.4668562620110159,42,0.0618615754466281,0.08743087246731827,0.035697531256046175
6,49,0.11416795,0.169866775,0.08582141,49,0.1943477,0.271220525,0.16315469999999999,49,0.16103119999999999,0.219660525,0.1157813,49,0.12950636,0.11733118249999999,0.139444815,0.1738012,0.131285125,0.248212675,49,0.019918620214935748,0.03466554361046767,0.001712391468485845,49,0.49814862315185443,0.7030751897012386,0.3782595857123257,49,0.0177270960042068,0.05258446467178502,0.00971420008570525
7,56,0.1060691,0.1633808,0.062772315,56,0.17060285,0.242319875,0.156431925,56,0.16103119999999999,0.219660525,0.1117135675,56,0.12950636,0.11733118249999999,0.139444815,0.1738012,0.131285125,0.248212675,56,0.014585029726746902,0.0672381288635555,0.0016863506206811249,56,0.3763542135988541,0.42868891802761805,0.20812191923503318,56,0.02296052595613815,0.03219195991880825,0.01296494226904005
8,63,0.103023775,0.16313054999999999,0.060797845,63,0.16026849999999998,0.2347361,0.11252071999999999,63,0.15936585,0.219660525,0.06833284,63,0.12950636,0.11733118249999999,0.139444815,0.1738012,0.131285125,0.248212675,63,0.0114727342753248,0.03787678502118742,0.0,63,0.2666932083252691,0.32731724577006605,0.18250627110947154,63,0.01562733800215885,0.046418853985277925,0.0039040756941112
9,70,0.101408365,0.16313054999999999,0.0470972425,70,0.15527845,0.182746925,0.10345517,70,0.1527248,0.219660525,0.06833284,70,0.12950636,0.11733118249999999,0.139444815,0.1738012,0.131285125,0.248212675,70,0.0029732573127996,0.0110162083176494,0.0,70,0.18002391075973784,0.26044325296513654,0.11553499997988395,70,0.00020091298060004998,0.0157171371482332,0.0
