Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,eigval0,eigval1,logDetC,m,sigma,C
1,6,3.711362e-05,[[ 0.11377954 -1.21918345]],5.532084e-09,9.573139e-01,-7.161602e-01,1.000000e+00,1.000000e+00,0.000000e+00,[ 0.95731394 -0.7161602 ],1.000000e-02,"[[1. 0.]
 [0. 1.]]"
2,12,1.418550e-05,[[ 0.11377954 -1.21918345]],2.082298e-05,9.528466e-01,-7.157057e-01,8.062275e-01,8.545584e-01,-3.725597e-01,[ 0.9528466  -0.71570571],8.373291e-03,"[[ 0.85394274 -0.00541996]
 [-0.00541996  0.80684317]]"
3,18,9.587902e-06,[[ 0.11377954 -1.21918345]],4.197845e-05,9.539344e-01,-7.106989e-01,6.800793e-01,7.693359e-01,-6.477736e-01,[ 0.95393439 -0.71069887],7.542033e-03,"[[ 0.68067451 -0.00726462]
 [-0.00726462  0.76874063]]"
4,24,7.865522e-06,[[ 0.11377954 -1.21918345]],1.224596e-05,9.575149e-01,-7.126858e-01,5.912228e-01,6.277862e-01,-9.911179e-01,[ 0.95751494 -0.71268576],6.452740e-03,"[[ 0.60751349 -0.01817296]
 [-0.01817296  0.61149556]]"
5,30,7.048708e-07,[[ 0.11377954 -1.21918345]],2.097845e-06,9.559771e-01,-7.158421e-01,4.849368e-01,5.756407e-01,-1.276008e+00,[ 0.95597705 -0.7158421 ],5.619800e-03,"[[0.48498498 0.00209021]
 [0.00209021 0.5755925 ]]"
6,36,7.048708e-07,[[ 0.11377954 -1.21918345]],2.943225e-06,9.557345e-01,-7.166513e-01,3.876466e-01,4.849441e-01,-1.671383e+00,[ 0.95573445 -0.71665131],4.801936e-03,"[[0.3881479  0.00696603]
 [0.00696603 0.48444277]]"
7,42,7.048708e-07,[[ 0.11377954 -1.21918345]],3.762049e-06,9.554708e-01,-7.164967e-01,3.072980e-01,3.855381e-01,-2.133052e+00,[ 0.95547079 -0.71649674],3.817396e-03,"[[0.30802292 0.00749611]
 [0.00749611 0.38481322]]"
8,48,7.048708e-07,[[ 0.11377954 -1.21918345]],4.641810e-06,9.555928e-01,-7.149868e-01,2.440883e-01,3.487779e-01,-2.463545e+00,[ 0.95559276 -0.71498679],3.250387e-03,"[[0.24474427 0.00826097]
 [0.00826097 0.34812189]]"
9,54,7.048708e-07,[[ 0.11377954 -1.21918345]],6.591354e-09,9.573671e-01,-7.161035e-01,2.605756e-01,3.357799e-01,-2.436162e+00,[ 0.95736706 -0.71610354],3.334115e-03,"[[ 0.29559751 -0.03751351]
 [-0.03751351  0.30075802]]"
10,60,7.048708e-07,[[ 0.11377954 -1.21918345]],2.236113e-07,9.570813e-01,-7.158201e-01,2.102045e-01,2.797456e-01,-2.833549e+00,[ 0.95708134 -0.71582012],2.801934e-03,"[[ 0.24056105 -0.03448922]
 [-0.03448922  0.24938906]]"
11,66,2.464599e-07,[[ 0.11377954 -1.21918345]],7.096226e-07,9.582128e-01,-7.160274e-01,1.825497e-01,2.726154e-01,-3.000426e+00,[ 0.95821276 -0.71602744],2.819720e-03,"[[ 0.25321322 -0.0370274 ]
 [-0.0370274   0.20195186]]"
12,72,2.464599e-07,[[ 0.11377954 -1.21918345]],1.374088e-07,9.573664e-01,-7.158125e-01,1.442804e-01,2.263461e-01,-3.421687e+00,[ 0.95736645 -0.71581253],2.107564e-03,"[[ 0.21005834 -0.03273187]
 [-0.03273187  0.16056811]]"
13,78,2.464599e-07,[[ 0.11377954 -1.21918345]],2.365354e-07,9.575986e-01,-7.157459e-01,1.166452e-01,1.917712e-01,-3.800071e+00,[ 0.95759864 -0.71574594],1.683404e-03,"[[ 0.18032444 -0.02699854]
 [-0.02699854  0.12809197]]"
14,84,1.030250e-07,[[ 0.11377954 -1.21918345]],2.171375e-08,9.572440e-01,-7.162262e-01,1.305093e-01,1.550102e-01,-3.900575e+00,[ 0.95724401 -0.71622623],1.603177e-03,"[[ 0.15476491 -0.00243897]
 [-0.00243897  0.13075454]]"
15,90,1.263406e-08,[[ 0.11377954 -1.21918345]],1.919681e-07,9.569468e-01,-7.161916e-01,1.047504e-01,1.423748e-01,-4.205467e+00,[ 0.95694676 -0.71619155],1.487873e-03,"[[0.14213817 0.00297432]
 [0.00297432 0.104987  ]]"
16,96,1.263406e-08,[[ 0.11377954 -1.21918345]],2.917934e-09,9.574238e-01,-7.162202e-01,8.360894e-02,1.317212e-01,-4.508672e+00,[ 0.95742378 -0.71622018],1.278404e-03,"[[ 0.1317071  -0.00082367]
 [-0.00082367  0.08362305]]"
17,102,1.263406e-08,[[ 0.11377954 -1.21918345]],1.870410e-08,9.574977e-01,-7.162600e-01,6.731429e-02,1.097410e-01,-4.908015e+00,[ 0.95749767 -0.71626001],1.083038e-03,"[[ 0.10956666 -0.00271396]
 [-0.00271396  0.06748862]]"
18,108,1.263406e-08,[[ 0.11377954 -1.21918345]],1.729922e-08,9.572926e-01,-7.160890e-01,6.377799e-02,9.885975e-02,-5.066400e+00,[ 0.95729259 -0.71608899],9.376327e-04,"[[ 0.09568348 -0.0100668 ]
 [-0.0100668   0.06695426]]"
19,114,3.674314e-09,[[ 0.11377954 -1.21918345]],3.221218e-08,9.572722e-01,-7.160430e-01,5.180613e-02,8.076726e-02,-5.476430e+00,[ 0.95727225 -0.71604298],7.970851e-04,"[[ 0.07682293 -0.0099335 ]
 [-0.0099335   0.05575046]]"
