Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,eigval0,eigval1,logDetC,m,sigma,C
1,6,7.089202e-02,[[-0.16693034 -0.37419461]],1.325841e-01,1.355919e-01,3.326750e-01,9.813863e-01,1.018967e+00,-2.844947e-16,[0.1355919  0.33267498],3.719125e-01,"[[1.01895169e+00 7.51433339e-04]
 [7.51433339e-04 9.81401348e-01]]"
2,12,4.686590e-03,[[-0.16693034 -0.37419461]],5.515797e-02,3.096454e-01,2.522348e-01,7.801117e-01,8.993130e-01,-3.544424e-01,[0.30964538 0.25223481],3.172419e-01,"[[ 0.88858894 -0.03410738]
 [-0.03410738  0.79083569]]"
3,18,3.849076e-03,[[-0.16693034 -0.37419461]],8.043357e-03,2.317356e-01,-7.082713e-03,7.060176e-01,8.855888e-01,-4.696177e-01,[ 0.23173559 -0.00708271],3.162107e-01,"[[0.70611906 0.00426798]
 [0.00426798 0.88548727]]"
4,24,3.849076e-03,[[-0.16693034 -0.37419461]],3.050562e-03,3.473755e-01,6.428389e-02,6.023978e-01,7.042253e-01,-8.574942e-01,[0.34737553 0.06428389],2.720968e-01,"[[ 0.6025667  -0.00414364]
 [-0.00414364  0.7040564 ]]"
5,30,3.849076e-03,[[-0.16693034 -0.37419461]],1.939226e-02,4.435643e-01,7.769526e-02,5.445748e-01,5.598101e-01,-1.187908e+00,[0.44356428 0.07769526],2.452373e-01,"[[ 0.54565246 -0.003906  ]
 [-0.003906    0.55873242]]"
6,36,3.849076e-03,[[-0.16693034 -0.37419461]],7.855902e-03,3.971204e-01,5.743048e-02,4.319236e-01,4.453107e-01,-1.648490e+00,[0.39712043 0.05743048],1.921471e-01,"[[ 0.43210671 -0.0015551 ]
 [-0.0015551   0.44512751]]"
7,42,3.849076e-03,[[-0.16693034 -0.37419461]],3.737761e-02,5.005803e-01,8.103984e-02,3.507884e-01,4.379167e-01,-1.873299e+00,[0.50058034 0.08103984],1.831217e-01,"[[0.43494178 0.01582238]
 [0.01582238 0.3537633 ]]"
8,48,1.198314e-03,[[-0.16693034 -0.37419461]],1.053941e-02,4.134468e-01,5.527668e-02,2.882124e-01,3.830447e-01,-2.203661e+00,[0.41344684 0.05527668],1.461671e-01,"[[0.37757486 0.02210872]
 [0.02210872 0.29368225]]"
9,54,1.198314e-03,[[-0.16693034 -0.37419461]],1.730825e-03,3.341674e-01,5.584945e-02,2.295599e-01,4.320311e-01,-2.310849e+00,[0.33416739 0.05584945],1.441813e-01,"[[0.42908399 0.02424901]
 [0.02424901 0.23250697]]"
10,60,4.762034e-04,[[-0.16693034 -0.37419461]],6.971731e-04,3.436807e-01,1.147881e-02,2.096561e-01,3.608987e-01,-2.581445e+00,[0.34368066 0.01147881],1.339523e-01,"[[0.35144417 0.03661345]
 [0.03661345 0.21911067]]"
11,66,4.762034e-04,[[-0.16693034 -0.37419461]],5.076967e-04,3.383985e-01,8.001185e-03,1.692257e-01,2.904170e-01,-3.012960e+00,[0.33839854 0.00800119],1.146399e-01,"[[0.28023432 0.03362083]
 [0.03362083 0.17940831]]"
12,72,1.232038e-04,[[-0.16693034 -0.37419461]],9.742917e-06,3.209631e-01,1.843833e-02,1.409044e-01,2.399250e-01,-3.387103e+00,[0.32096313 0.01843833],9.667638e-02,"[[0.23498452 0.02155918]
 [0.02155918 0.14584482]]"
13,78,1.232038e-04,[[-0.16693034 -0.37419461]],1.098959e-04,3.075327e-01,1.841188e-02,1.134841e-01,2.021164e-01,-3.775004e+00,[0.3075327  0.01841188],8.338074e-02,"[[0.19901268 0.01629285]
 [0.01629285 0.11658781]]"
14,84,9.828600e-07,[[-0.16693034 -0.37419461]],9.632344e-04,2.910671e-01,3.298577e-02,1.082957e-01,1.799984e-01,-3.937697e+00,[0.29106713 0.03298577],8.081299e-02,"[[ 0.17981004 -0.00367029]
 [-0.00367029  0.10848408]]"
15,90,9.828600e-07,[[-0.16693034 -0.37419461]],3.678244e-05,3.120078e-01,1.859120e-02,8.966476e-02,1.552284e-01,-4.274535e+00,[0.31200781 0.0185912 ],6.453833e-02,"[[ 0.15385828 -0.00937827]
 [-0.00937827  0.09103487]]"
16,96,9.828600e-07,[[-0.16693034 -0.37419461]],9.442522e-05,3.259006e-01,1.189841e-02,7.417412e-02,1.494371e-01,-4.502219e+00,[0.32590058 0.01189841],5.945197e-02,"[[ 0.14432864 -0.01893104]
 [-0.01893104  0.07928262]]"
17,102,9.828600e-07,[[-0.16693034 -0.37419461]],7.132525e-05,3.203623e-01,2.562730e-02,6.882568e-02,1.198683e-01,-4.797540e+00,[0.32036225 0.0256273 ],5.177448e-02,"[[ 0.11463401 -0.01548469]
 [-0.01548469  0.07406001]]"
18,108,9.828600e-07,[[-0.16693034 -0.37419461]],2.766019e-05,3.161189e-01,1.260569e-02,6.914050e-02,9.459961e-02,-5.029717e+00,[0.31611889 0.01260569],4.644461e-02,"[[ 0.09245728 -0.00706769]
 [-0.00706769  0.07128282]]"
19,114,9.828600e-07,[[-0.16693034 -0.37419461]],1.729878e-05,3.159295e-01,2.114491e-02,5.940554e-02,7.618954e-02,-5.397899e+00,[0.3159295  0.02114491],3.776395e-02,"[[ 0.07344747 -0.00620515]
 [-0.00620515  0.06214761]]"
20,120,9.828600e-07,[[-0.16693034 -0.37419461]],1.342374e-05,3.164390e-01,1.420053e-02,5.225079e-02,6.268308e-02,-5.721364e+00,[0.31643899 0.01420053],3.262250e-02,"[[ 0.05867543 -0.00507422]
 [-0.00507422  0.05625844]]"
21,126,9.828600e-07,[[-0.16693034 -0.37419461]],3.438934e-05,3.132110e-01,1.411034e-02,4.406482e-02,5.112391e-02,-6.095597e+00,[0.31321097 0.01411034],2.812686e-02,"[[ 0.05003066 -0.00255384]
 [-0.00255384  0.04515807]]"
22,132,9.828600e-07,[[-0.16693034 -0.37419461]],1.419128e-05,3.153504e-01,1.482614e-02,3.509550e-02,4.140436e-02,-6.534052e+00,[0.31535042 0.01482614],2.138431e-02,"[[ 0.0407599  -0.00191062]
 [-0.00191062  0.03573996]]"
23,138,9.828600e-07,[[-0.16693034 -0.37419461]],7.253034e-07,3.186039e-01,1.810315e-02,3.154350e-02,4.614980e-02,-6.532250e+00,[0.31860392 0.01810315],2.198777e-02,"[[0.04158226 0.00677144]
 [0.00677144 0.03611104]]"
24,144,9.828600e-07,[[-0.16693034 -0.37419461]],3.585329e-07,3.177239e-01,1.698329e-02,2.513315e-02,3.696334e-02,-6.981396e+00,[0.31772388 0.01698329],1.784521e-02,"[[0.03299452 0.00558573]
 [0.00558573 0.02910197]]"
25,150,9.828600e-07,[[-0.16693034 -0.37419461]],1.113014e-07,3.183083e-01,1.747644e-02,2.006464e-02,3.039147e-02,-7.402389e+00,[0.31830829 0.01747644],1.478077e-02,"[[0.0266509  0.0049635 ]
 [0.0049635  0.02380521]]"
26,156,4.477475e-07,[[-0.16693034 -0.37419461]],2.641053e-06,3.163538e-01,1.757288e-02,1.761289e-02,2.701596e-02,-7.650452e+00,[0.31635384 0.01757288],1.331051e-02,"[[0.0256851  0.00327765]
 [0.00327765 0.01894375]]"
27,162,4.477475e-07,[[-0.16693034 -0.37419461]],8.208797e-07,3.171213e-01,1.781948e-02,1.396376e-02,2.192483e-02,-8.091425e+00,[0.31712132 0.01781948],1.052964e-02,"[[0.02071464 0.0028583 ]
 [0.0028583  0.01517395]]"
28,168,4.477475e-07,[[-0.16693034 -0.37419461]],1.333370e-07,3.181558e-01,1.720626e-02,1.280737e-02,2.008225e-02,-8.265654e+00,[0.31815582 0.01720626],9.837084e-03,"[[0.02005373 0.00045456]
 [0.00045456 0.01283588]]"
29,174,1.200828e-07,[[-0.16693034 -0.37419461]],1.386499e-07,3.179299e-01,1.715613e-02,1.033083e-02,1.686612e-02,-8.655070e+00,[0.3179299  0.01715613],8.012874e-03,"[[0.01680783 0.00061448]
 [0.00061448 0.01038913]]"
30,180,4.536760e-08,[[-0.16693034 -0.37419461]],1.321547e-07,3.182939e-01,1.734491e-02,8.341190e-03,1.419280e-02,-9.041570e+00,[0.31829387 0.01734491],6.778320e-03,"[[0.01408957 0.00077034]
 [0.00077034 0.00844442]]"
31,186,4.536760e-08,[[-0.16693034 -0.37419461]],5.705193e-08,3.177663e-01,1.763535e-02,7.389158e-03,1.243044e-02,-9.295349e+00,[0.31776626 0.01763535],6.058488e-03,"[[ 0.01240997 -0.00032052]
 [-0.00032052  0.00740962]]"
32,192,4.536760e-08,[[-0.16693034 -0.37419461]],4.288654e-08,3.181050e-01,1.768914e-02,6.213955e-03,1.035991e-02,-9.650769e+00,[0.31810499 0.01768914],5.141646e-03,"[[1.03599044e-02 5.73432505e-06]
 [5.73432505e-06 6.21396319e-03]]"
33,198,4.536760e-08,[[-0.16693034 -0.37419461]],1.298295e-07,3.179256e-01,1.788179e-02,5.543870e-03,8.451461e-03,-9.968478e+00,[0.31792564 0.01788179],4.669089e-03,"[[ 0.00840623 -0.0003598 ]
 [-0.0003598   0.0055891 ]]"
34,204,2.127712e-08,[[-0.16693034 -0.37419461]],7.840582e-08,3.177095e-01,1.744674e-02,5.858886e-03,8.226087e-03,-9.940241e+00,[0.31770952 0.01744674],4.702948e-03,"[[0.00757622 0.00105643]
 [0.00105643 0.00650875]]"
35,210,9.382391e-09,[[-0.16693034 -0.37419461]],1.446053e-08,3.180970e-01,1.750633e-02,5.082207e-03,7.598087e-03,-1.016187e+01,[0.31809701 0.01750633],4.252046e-03,"[[0.00744573 0.00060008]
 [0.00060008 0.00523457]]"
