Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,eigval0,eigval1,logDetC,m,sigma,C
1,6,3.896802e-02,[[ 0.11377954 -1.21918345]],4.603350e+00,-6.602064e-01,6.933379e-01,1.000000e+00,1.000000e+00,0.000000e+00,[-0.66020641  0.69333791],2.000000e+00,"[[1. 0.]
 [0. 1.]]"
2,12,3.896802e-02,[[ 0.11377954 -1.21918345]],3.616758e-01,4.186817e-01,-4.488351e-01,7.913728e-01,9.959180e-01,-2.380766e-01,[ 0.41868174 -0.4488351 ],1.847415e+00,"[[ 0.8887102  -0.10215346]
 [-0.10215346  0.89858052]]"
3,18,3.896802e-02,[[ 0.11377954 -1.21918345]],2.735279e-01,4.348163e-01,-6.949688e-01,6.296043e-01,8.346093e-01,-6.434554e-01,[ 0.43481628 -0.69496876],1.591558e+00,"[[ 0.71737337 -0.10143813]
 [-0.10143813  0.74684018]]"
4,24,3.896802e-02,[[ 0.11377954 -1.21918345]],1.760536e-01,1.359442e+00,-5.961671e-01,5.496773e-01,7.664283e-01,-8.644380e-01,[ 1.35944181 -0.59616712],1.507827e+00,"[[ 0.72444775 -0.08565601]
 [-0.08565601  0.59165786]]"
5,30,3.896802e-02,[[ 0.11377954 -1.21918345]],3.623185e-01,7.674117e-01,-1.287347e+00,5.203698e-01,6.311176e-01,-1.113479e+00,[ 0.76741174 -1.28734717],1.360872e+00,"[[ 0.59908533 -0.0502139 ]
 [-0.0502139   0.55240209]]"
6,36,3.896802e-02,[[ 0.11377954 -1.21918345]],8.950257e-02,1.029911e+00,-1.006428e+00,4.184776e-01,5.040474e-01,-1.556217e+00,[ 1.02991147 -1.00642828],1.080958e+00,"[[ 0.48386223 -0.03632909]
 [-0.03632909  0.43866276]]"
7,42,3.896802e-02,[[ 0.11377954 -1.21918345]],2.658216e-02,9.158600e-01,-8.738465e-01,3.421583e-01,4.085270e-01,-1.967679e+00,[ 0.91586004 -0.87384648],8.231618e-01,"[[ 0.38340599 -0.03218982]
 [-0.03218982  0.36727928]]"
8,48,3.896802e-02,[[ 0.11377954 -1.21918345]],4.115930e-02,7.870498e-01,-8.263884e-01,2.730814e-01,3.392877e-01,-2.378892e+00,[ 0.78704977 -0.82638836],6.591390e-01,"[[ 0.31601277 -0.03161048]
 [-0.03161048  0.2963563 ]]"
9,54,3.896802e-02,[[ 0.11377954 -1.21918345]],1.128466e-01,1.230648e+00,-9.115641e-01,2.325653e-01,3.878833e-01,-2.405635e+00,[ 1.23064791 -0.91156413],6.583252e-01,"[[ 0.37634279 -0.04073416]
 [-0.04073416  0.24410585]]"
10,60,2.190462e-02,[[ 0.11377954 -1.21918345]],8.984635e-02,1.255251e+00,-7.496781e-01,2.072688e-01,3.285151e-01,-2.686911e+00,[ 1.25525124 -0.74967808],6.129093e-01,"[[ 0.32699703 -0.01348155]
 [-0.01348155  0.20878688]]"
11,66,6.763639e-03,[[ 0.11377954 -1.21918345]],5.104156e-02,1.016931e+00,-9.341182e-01,1.841976e-01,2.951232e-01,-2.912109e+00,[ 1.01693085 -0.93411815],5.262424e-01,"[[0.2941776  0.01019791]
 [0.01019791 0.1851432 ]]"
12,72,6.763639e-03,[[ 0.11377954 -1.21918345]],2.024293e-02,9.648661e-01,-8.582636e-01,1.521491e-01,2.460454e-01,-3.285134e+00,[ 0.96486609 -0.85826359],4.321412e-01,"[[0.24559068 0.00651813]
 [0.00651813 0.15260377]]"
13,78,6.763639e-03,[[ 0.11377954 -1.21918345]],1.745815e-02,1.052876e+00,-6.248616e-01,1.810968e-01,2.439041e-01,-3.119703e+00,[ 1.05287616 -0.62486163],4.838403e-01,"[[0.20154686 0.0294314 ]
 [0.0294314  0.22345409]]"
14,84,6.763639e-03,[[ 0.11377954 -1.21918345]],4.852023e-03,1.018960e+00,-7.487476e-01,1.498680e-01,1.991587e-01,-3.511653e+00,[ 1.01896042 -0.74874757],3.832905e-01,"[[0.16403422 0.0223065 ]
 [0.0223065  0.1849925 ]]"
15,90,6.763639e-03,[[ 0.11377954 -1.21918345]],1.743777e-02,1.065477e+00,-6.403291e-01,1.198358e-01,1.851477e-01,-3.808234e+00,[ 1.06547733 -0.64032911],3.581155e-01,"[[0.13398114 0.02690294]
 [0.02690294 0.17100238]]"
16,96,3.380993e-03,[[ 0.11377954 -1.21918345]],6.651421e-03,8.929111e-01,-7.661283e-01,1.149211e-01,2.268033e-01,-3.647182e+00,[ 0.89291107 -0.76612831],3.685490e-01,"[[0.17369486 0.05586937]
 [0.05586937 0.16802956]]"
17,102,3.380993e-03,[[ 0.11377954 -1.21918345]],6.181537e-04,9.798439e-01,-7.055177e-01,9.157467e-02,1.863594e-01,-4.070679e+00,[ 0.97984388 -0.70551767],2.848483e-01,"[[0.14234582 0.04727178]
 [0.04727178 0.13558827]]"
18,108,6.135203e-04,[[ 0.11377954 -1.21918345]],4.178452e-03,9.179083e-01,-7.673692e-01,7.698283e-02,1.718714e-01,-4.325181e+00,[ 0.91790829 -0.76736925],2.564585e-01,"[[0.12712647 0.04736744]
 [0.04736744 0.12172778]]"
19,114,6.135203e-04,[[ 0.11377954 -1.21918345]],1.891231e-04,9.493462e-01,-7.273409e-01,6.106696e-02,1.406367e-01,-4.757360e+00,[ 0.94934625 -0.72734093],1.977764e-01,"[[0.10171663 0.03977547]
 [0.03977547 0.09998703]]"
20,120,6.135203e-04,[[ 0.11377954 -1.21918345]],5.755691e-04,9.561403e-01,-6.922240e-01,5.287853e-02,1.240716e-01,-5.026654e+00,[ 0.95614035 -0.69222404],1.764314e-01,"[[0.08198487 0.03499986]
 [0.03499986 0.09496527]]"
21,126,3.813300e-04,[[ 0.11377954 -1.21918345]],5.483193e-04,9.419193e-01,-7.337651e-01,4.499325e-02,1.082996e-01,-5.324096e+00,[ 0.9419193  -0.73376506],1.460607e-01,"[[0.06845885 0.03057593]
 [0.03057593 0.08483403]]"
22,132,2.975708e-04,[[ 0.11377954 -1.21918345]],2.493141e-06,9.571843e-01,-7.177490e-01,3.586218e-02,9.086425e-02,-5.726461e+00,[ 0.9571843  -0.71774895],1.164517e-01,"[[0.05727574 0.02681883]
 [0.02681883 0.06945069]]"
23,138,1.937812e-04,[[ 0.11377954 -1.21918345]],3.833570e-04,9.520989e-01,-7.350352e-01,3.042217e-02,7.632194e-02,-6.065379e+00,[ 0.95209889 -0.73503525],9.939498e-02,"[[0.04548819 0.02155323]
 [0.02155323 0.06125592]]"
24,144,1.155503e-04,[[ 0.11377954 -1.21918345]],2.128037e-04,9.487880e-01,-7.279683e-01,2.522808e-02,6.022614e-02,-6.489446e+00,[ 0.94878798 -0.72796827],7.734522e-02,"[[0.036652   0.01641064]
 [0.01641064 0.04880222]]"
25,150,1.338665e-05,[[ 0.11377954 -1.21918345]],9.528244e-05,9.483196e-01,-7.198027e-01,2.176737e-02,5.024785e-02,-6.818131e+00,[ 0.94831956 -0.71980266],6.767039e-02,"[[0.02915117 0.01248093]
 [0.01248093 0.04286405]]"
26,156,1.094581e-05,[[ 0.11377954 -1.21918345]],3.068180e-05,9.523118e-01,-7.184068e-01,1.744944e-02,4.184090e-02,-7.222328e+00,[ 0.95231181 -0.71840682],5.591164e-02,"[[0.02414629 0.01088568]
 [0.01088568 0.03514406]]"
27,162,8.740726e-06,[[ 0.11377954 -1.21918345]],1.958341e-06,9.564466e-01,-7.151444e-01,1.420929e-02,3.744454e-02,-7.538754e+00,[ 0.95644661 -0.71514444],5.035689e-02,"[[0.02168196 0.01085304]
 [0.01085304 0.02997187]]"
28,168,7.549974e-06,[[ 0.11377954 -1.21918345]],1.717277e-07,9.573000e-01,-7.165884e-01,1.196519e-02,2.981898e-02,-7.938364e+00,[ 0.95730001 -0.71658839],4.246722e-02,"[[0.01791618 0.00841626]
 [0.00841626 0.023868  ]]"
29,174,2.404065e-07,[[ 0.11377954 -1.21918345]],4.222242e-06,9.558158e-01,-7.175095e-01,9.542038e-03,2.378602e-02,-8.390705e+00,[ 0.95581576 -0.71750953],3.189611e-02,"[[0.01435378 0.00673688]
 [0.00673688 0.01897428]]"
30,180,1.965951e-08,[[ 0.11377954 -1.21918345]],3.028947e-06,9.558236e-01,-7.169520e-01,7.626034e-03,1.885865e-02,-8.846971e+00,[ 0.95582364 -0.71695197],2.409242e-02,"[[0.01148649 0.00533478]
 [0.00533478 0.01499819]]"
31,186,1.965951e-08,[[ 0.11377954 -1.21918345]],1.658426e-07,9.571210e-01,-7.158725e-01,6.126611e-03,1.649569e-02,-9.199770e+00,[ 0.957121   -0.71587253],2.079453e-02,"[[0.01002025 0.00502125]
 [0.00502125 0.01260205]]"
32,192,1.965951e-08,[[ 0.11377954 -1.21918345]],8.035780e-07,9.582767e-01,-7.160927e-01,5.729992e-03,1.401636e-02,-9.429571e+00,[ 0.9582767  -0.71609266],1.972339e-02,"[[0.00961065 0.00413486]
 [0.00413486 0.01013571]]"
33,198,1.965951e-08,[[ 0.11377954 -1.21918345]],4.262368e-07,9.579521e-01,-7.165058e-01,4.841784e-03,1.121584e-02,-9.820900e+00,[ 0.95795215 -0.71650582],1.634044e-02,"[[0.00782429 0.00318046]
 [0.00318046 0.00823334]]"
34,204,1.965951e-08,[[ 0.11377954 -1.21918345]],8.026349e-08,9.574838e-01,-7.164482e-01,4.035034e-03,9.052414e-03,-1.021746e+01,[ 0.95748382 -0.71644821],1.257128e-02,"[[0.00640718 0.00250497]
 [0.00250497 0.00668027]]"
35,210,1.965951e-08,[[ 0.11377954 -1.21918345]],1.583015e-07,9.577706e-01,-7.162799e-01,3.188362e-03,7.327133e-03,-1.066442e+01,[ 0.95777065 -0.71627988],9.821326e-03,"[[0.00514313 0.00206621]
 [0.00206621 0.00537236]]"
36,216,5.091667e-10,[[ 0.11377954 -1.21918345]],1.174713e-07,9.576819e-01,-7.163536e-01,2.537948e-03,6.159590e-03,-1.106614e+01,[ 0.95768195 -0.7163536 ],7.263952e-03,"[[0.00435107 0.00181082]
 [0.00181082 0.00434647]]"
