Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,eigval0,eigval1,logDetC,m,sigma,C
1,6,5.272234e-05,[[-0.16693034 -0.37419461]],6.824826e-10,3.179571e-01,1.751005e-02,1.000000e+00,1.000000e+00,0.000000e+00,[0.31795709 0.01751005],1.000000e-02,"[[1. 0.]
 [0. 1.]]"
2,12,1.942281e-05,[[-0.16693034 -0.37419461]],1.010522e-05,3.185906e-01,2.064468e-02,8.170916e-01,8.369353e-01,-3.800126e-01,[0.31859056 0.02064468],8.063473e-03,"[[0.81850462 0.0051032 ]
 [0.0051032  0.83552224]]"
3,18,6.625387e-06,[[-0.16693034 -0.37419461]],1.069495e-05,3.147950e-01,1.677583e-02,6.566680e-01,7.712125e-01,-6.803681e-01,[0.314795   0.01677583],7.049163e-03,"[[0.71278344 0.05726058]
 [0.05726058 0.71509702]]"
4,24,6.625387e-06,[[-0.16693034 -0.37419461]],9.551157e-06,3.154286e-01,1.577887e-02,5.243328e-01,6.269743e-01,-1.112478e+00,[0.31542856 0.01577887],5.813293e-03,"[[0.56382134 0.04993816]
 [0.04993816 0.58748577]]"
5,30,4.970219e-06,[[-0.16693034 -0.37419461]],1.456824e-05,3.155150e-01,1.460980e-02,4.217014e-01,5.150580e-01,-1.526934e+00,[0.31551496 0.0146098 ],4.896870e-03,"[[0.44494982 0.04037207]
 [0.04037207 0.49180954]]"
6,36,4.970219e-06,[[-0.16693034 -0.37419461]],6.136565e-06,3.155504e-01,1.703318e-02,3.407039e-01,4.594575e-01,-1.854450e+00,[0.31555044 0.01703318],4.103442e-03,"[[0.35321288 0.03645554]
 [0.03645554 0.44694856]]"
7,42,4.970219e-06,[[-0.16693034 -0.37419461]],4.567945e-06,3.165570e-01,1.592907e-02,2.945933e-01,3.737432e-01,-2.206346e+00,[0.31655705 0.01592907],3.428084e-03,"[[0.30015163 0.02022486]
 [0.02022486 0.36818492]]"
8,48,1.668664e-07,[[-0.16693034 -0.37419461]],2.822085e-06,3.164786e-01,1.828242e-02,2.349250e-01,4.538652e-01,-2.238444e+00,[0.31647863 0.01828242],3.419048e-03,"[[0.23793497 0.02549398]
 [0.02549398 0.45085526]]"
9,54,1.668664e-07,[[-0.16693034 -0.37419461]],7.161053e-07,3.171667e-01,1.728565e-02,2.056872e-01,3.630007e-01,-2.594749e+00,[0.3171667  0.01728565],2.931096e-03,"[[0.20692612 0.01390577]
 [0.01390577 0.36176179]]"
10,60,1.668664e-07,[[-0.16693034 -0.37419461]],5.330348e-07,3.186217e-01,1.718033e-02,2.700636e-01,2.919327e-01,-2.540330e+00,[0.3186217  0.01718033],3.219318e-03,"[[0.27115526 0.00476252]
 [0.00476252 0.29084101]]"
11,66,1.668664e-07,[[-0.16693034 -0.37419461]],1.006298e-08,3.180633e-01,1.747218e-02,2.222088e-01,2.375238e-01,-2.941625e+00,[0.31806334 0.01747218],2.703605e-03,"[[ 0.22221292 -0.00024995]
 [-0.00024995  0.23751974]]"
12,72,1.668664e-07,[[-0.16693034 -0.37419461]],2.559557e-07,3.174724e-01,1.752728e-02,1.877002e-01,1.932653e-01,-3.316601e+00,[0.31747235 0.01752728],2.143436e-03,"[[ 0.19083135 -0.00276059]
 [-0.00276059  0.19013417]]"
13,78,1.668664e-07,[[-0.16693034 -0.37419461]],2.087358e-07,3.175403e-01,1.739518e-02,1.496786e-01,1.540930e-01,-3.769464e+00,[0.31754033 0.01739518],1.614574e-03,"[[ 0.15087574 -0.00196253]
 [-0.00196253  0.15289582]]"
14,84,5.447347e-08,[[-0.16693034 -0.37419461]],3.655474e-07,3.176527e-01,1.803483e-02,1.195897e-01,1.726090e-01,-3.880415e+00,[0.31765275 0.01803483],1.582711e-03,"[[0.12019781 0.00564543]
 [0.00564543 0.17200093]]"
15,90,3.217540e-08,[[-0.16693034 -0.37419461]],5.898448e-08,3.177365e-01,1.750253e-02,9.674851e-02,1.527659e-01,-4.214489e+00,[0.31773648 0.01750253],1.296817e-03,"[[ 0.09675963 -0.00078932]
 [-0.00078932  0.15275473]]"
16,96,2.858350e-08,[[-0.16693034 -0.37419461]],3.666013e-08,3.177927e-01,1.757250e-02,7.775700e-02,1.219028e-01,-4.658698e+00,[0.3177927 0.0175725],1.034288e-03,"[[ 0.07778167 -0.00104315]
 [-0.00104315  0.12187809]]"
17,102,2.858350e-08,[[-0.16693034 -0.37419461]],3.425271e-08,3.179942e-01,1.770973e-02,7.498953e-02,1.039938e-01,-4.853831e+00,[0.31799416 0.01770973],9.981831e-04,"[[0.07749026 0.00814115]
 [0.00814115 0.1014931 ]]"
18,108,2.858350e-08,[[-0.16693034 -0.37419461]],3.759740e-09,3.180171e-01,1.757281e-02,6.376110e-02,8.621644e-02,-5.203506e+00,[0.31801707 0.01757281],8.789099e-04,"[[0.0646509  0.00438054]
 [0.00438054 0.08532663]]"
19,114,2.858350e-08,[[-0.16693034 -0.37419461]],4.985058e-08,3.181142e-01,1.734820e-02,5.527817e-02,9.618027e-02,-5.236908e+00,[0.31811419 0.0173482 ],9.380740e-04,"[[ 0.05778959 -0.00981913]
 [-0.00981913  0.09366884]]"
20,120,4.416031e-09,[[-0.16693034 -0.37419461]],4.836296e-08,3.181977e-01,1.754048e-02,5.263661e-02,8.432369e-02,-5.417436e+00,[0.31819767 0.01754048],8.875054e-04,"[[ 0.05265972 -0.00085537]
 [-0.00085537  0.08430059]]"
