Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,eigval0,eigval1,logDetC,m,sigma,C
1,6,1.867332e+00,[[-0.16693034 -0.37419461]],2.624740e-01,4.784896e-01,5.040540e-01,1.000000e+00,1.000000e+00,0.000000e+00,[0.47848962 0.50405395],2.000000e+00,"[[1. 0.]
 [0. 1.]]"
2,12,1.641477e+00,[[-0.16693034 -0.37419461]],1.617016e+00,1.520910e+00,-3.947512e-01,7.955240e-01,9.438425e-01,-2.865502e-01,[ 1.52090973 -0.39475121],1.795672e+00,"[[ 0.87769048 -0.07372567]
 [-0.07372567  0.861676  ]]"
3,18,4.974249e-01,[[-0.16693034 -0.37419461]],1.234346e+00,1.308670e+00,-4.853431e-01,6.393316e-01,7.807584e-01,-6.948215e-01,[ 1.30866975 -0.48534305],1.459763e+00,"[[ 0.70824551 -0.07069049]
 [-0.07069049  0.71184451]]"
4,24,4.580101e-01,[[-0.16693034 -0.37419461]],4.801496e-02,1.750782e-01,-1.485907e-01,5.649765e-01,7.965194e-01,-7.984749e-01,[ 0.17507819 -0.14859067],1.364372e+00,"[[ 0.75564853 -0.08827761]
 [-0.08827761  0.60584738]]"
5,30,2.634511e-01,[[-0.16693034 -0.37419461]],1.663058e-01,5.336714e-01,-3.285705e-01,4.583595e-01,6.364851e-01,-1.231896e+00,[ 0.53367143 -0.32857046],1.062636e+00,"[[ 0.60804269 -0.06524837]
 [-0.06524837  0.48680184]]"
6,36,4.252183e-02,[[-0.16693034 -0.37419461]],1.074992e-01,2.157303e-02,1.576791e-01,3.740607e-01,6.425543e-01,-1.425641e+00,[0.02157303 0.15767914],1.006877e+00,"[[ 0.56536741 -0.12151697]
 [-0.12151697  0.45124768]]"
7,42,4.252183e-02,[[-0.16693034 -0.37419461]],5.303777e-02,5.368597e-01,8.914010e-02,3.145576e-01,5.350246e-01,-1.782031e+00,[0.53685973 0.0891401 ],8.376847e-01,"[[ 0.48954728 -0.08920796]
 [-0.08920796  0.36003495]]"
8,48,4.252183e-02,[[-0.16693034 -0.37419461]],1.176853e-01,6.310745e-01,1.577254e-01,2.637723e-01,4.286726e-01,-2.179731e+00,[0.63107453 0.15772535],7.064912e-01,"[[ 0.401549   -0.061131  ]
 [-0.061131    0.29089587]]"
9,54,4.252183e-02,[[-0.16693034 -0.37419461]],2.016647e-02,4.538230e-01,5.890994e-02,2.193531e-01,3.433593e-01,-2.586050e+00,[0.45382296 0.05890994],5.599161e-01,"[[ 0.32692984 -0.04204085]
 [-0.04204085  0.23578256]]"
10,60,4.252183e-02,[[-0.16693034 -0.37419461]],8.180062e-02,5.551085e-01,1.774312e-01,1.908919e-01,2.742051e-01,-2.949927e+00,[0.5551085  0.17743116],4.697366e-01,"[[ 0.26416771 -0.02712003]
 [-0.02712003  0.2009293 ]]"
11,66,4.384232e-03,[[-0.16693034 -0.37419461]],1.146987e-02,4.076696e-01,7.605171e-02,1.681075e-01,2.467962e-01,-3.182344e+00,[0.40766959 0.07605171],4.109210e-01,"[[ 0.24487741 -0.01213706]
 [-0.01213706  0.1700263 ]]"
12,72,4.384232e-03,[[-0.16693034 -0.37419461]],2.645394e-03,3.599084e-01,-1.226152e-02,1.554190e-01,2.080601e-01,-3.431559e+00,[ 0.35990842 -0.01226152],3.900801e-01,"[[0.20677868 0.00811251]
 [0.00811251 0.1567004 ]]"
13,78,2.453965e-03,[[-0.16693034 -0.37419461]],1.338297e-03,3.029030e-01,-1.580685e-02,1.249835e-01,1.816826e-01,-3.785067e+00,[ 0.30290303 -0.01580685],3.552136e-01,"[[0.17867081 0.0127159 ]
 [0.0127159  0.12799531]]"
14,84,1.510298e-03,[[-0.16693034 -0.37419461]],3.358393e-03,2.900855e-01,-3.327218e-02,9.997657e-02,1.489605e-01,-4.206894e+00,[ 0.29008552 -0.03327218],3.065438e-01,"[[0.14533337 0.01282631]
 [0.01282631 0.10360368]]"
15,90,2.068904e-04,[[-0.16693034 -0.37419461]],1.627351e-03,2.846661e-01,-5.226565e-03,8.158758e-02,1.187479e-01,-4.636831e+00,[ 0.28466608 -0.00522656],2.463212e-01,"[[0.11632257 0.00917842]
 [0.00917842 0.0840129 ]]"
16,96,2.068904e-04,[[-0.16693034 -0.37419461]],3.024410e-04,3.111064e-01,3.350089e-02,7.064719e-02,1.008258e-01,-4.944418e+00,[0.3111064  0.03350089],2.151013e-01,"[[0.09423124 0.01247104]
 [0.01247104 0.07724178]]"
17,102,2.068904e-04,[[-0.16693034 -0.37419461]],1.071590e-04,3.088958e-01,2.249191e-02,5.599202e-02,8.145785e-02,-5.390216e+00,[0.30889575 0.02249191],1.648976e-01,"[[0.07584425 0.01055663]
 [0.01055663 0.06160562]]"
18,108,2.068904e-04,[[-0.16693034 -0.37419461]],4.073071e-05,3.127792e-01,2.122676e-02,4.450748e-02,6.454990e-02,-5.852415e+00,[0.31277921 0.02122676],1.255372e-01,"[[0.06025657 0.0082229 ]
 [0.0082229  0.04880081]]"
19,114,1.505299e-04,[[-0.16693034 -0.37419461]],1.255026e-03,3.385158e-01,4.639114e-02,3.652053e-02,7.850503e-02,-5.854473e+00,[0.33851583 0.04639114],1.312104e-01,"[[0.06332399 0.02017187]
 [0.02017187 0.05170157]]"
20,120,1.486076e-04,[[-0.16693034 -0.37419461]],5.483413e-05,3.252511e-01,1.613251e-02,3.280047e-02,6.869871e-02,-6.095337e+00,[0.32525111 0.01613251],1.133189e-01,"[[0.05066727 0.01794893]
 [0.01794893 0.05083191]]"
