Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,eigval0,eigval1,logDetC,m,sigma,C
21,126,6.409117e-05,[[-0.16693034 -0.37419461]],2.675665e-05,3.157344e-01,1.286467e-02,2.610607e-02,5.932011e-02,-6.470394e+00,[0.31573442 0.01286467],9.406973e-02,"[[0.04283163 0.01660659]
 [0.01660659 0.04259455]]"
22,132,2.428192e-05,[[-0.16693034 -0.37419461]],8.298013e-05,3.089681e-01,1.618466e-02,2.256017e-02,4.885938e-02,-6.810378e+00,[0.30896813 0.01618466],8.098580e-02,"[[0.03720088 0.01306479]
 [0.01306479 0.03421867]]"
23,138,2.428192e-05,[[-0.16693034 -0.37419461]],1.447953e-05,3.206241e-01,1.479056e-02,2.013590e-02,4.119613e-02,-7.094662e+00,[0.32062412 0.01479056],6.983256e-02,"[[0.03369113 0.01008623]
 [0.01008623 0.02764089]]"
24,144,2.428192e-05,[[-0.16693034 -0.37419461]],2.894729e-05,3.183114e-01,2.289528e-02,1.838833e-02,3.423964e-02,-7.370411e+00,[0.31831143 0.02289528],6.192921e-02,"[[0.02681883 0.00790956]
 [0.00790956 0.02580913]]"
25,150,1.531720e-06,[[-0.16693034 -0.37419461]],7.289396e-05,3.241384e-01,2.343692e-02,1.540161e-02,3.033531e-02,-7.668726e+00,[0.32413839 0.02343692],5.509068e-02,"[[0.02433663 0.00732109]
 [0.00732109 0.0214003 ]]"
26,156,1.531720e-06,[[-0.16693034 -0.37419461]],1.248442e-06,3.184221e-01,1.649992e-02,1.264601e-02,2.943546e-02,-7.895969e+00,[0.31842207 0.01649992],4.884238e-02,"[[0.02105551 0.00839471]
 [0.00839471 0.02102596]]"
27,162,1.531720e-06,[[-0.16693034 -0.37419461]],1.519820e-06,3.167872e-01,1.720721e-02,1.023086e-02,2.418591e-02,-8.304332e+00,[0.31678721 0.01720721],4.071890e-02,"[[0.01758369 0.00696743]
 [0.00696743 0.01683307]]"
28,168,1.531720e-06,[[-0.16693034 -0.37419461]],7.976352e-06,3.203145e-01,1.593839e-02,9.899112e-03,1.961627e-02,-8.546706e+00,[0.3203145  0.01593839],3.703982e-02,"[[0.01557293 0.00478969]
 [0.00478969 0.01394245]]"
29,174,1.531720e-06,[[-0.16693034 -0.37419461]],1.381263e-05,3.193880e-01,1.408655e-02,8.460347e-03,1.637340e-02,-8.884462e+00,[0.31938802 0.01408655],3.339882e-02,"[[0.01250045 0.00395564]
 [0.00395564 0.01233329]]"
30,180,1.531720e-06,[[-0.16693034 -0.37419461]],2.416713e-06,3.189029e-01,1.627564e-02,7.279006e-03,1.313909e-02,-9.254924e+00,[0.31890291 0.01627564],2.675178e-02,"[[0.00998805 0.0029217 ]
 [0.0029217  0.01043005]]"
31,186,1.531720e-06,[[-0.16693034 -0.37419461]],3.143202e-06,3.196225e-01,1.686233e-02,5.794189e-03,1.102947e-02,-9.658084e+00,[0.31962254 0.01686233],2.184390e-02,"[[0.00810447 0.00259953]
 [0.00259953 0.00871919]]"
32,192,1.531720e-06,[[-0.16693034 -0.37419461]],4.268311e-06,3.194668e-01,1.609260e-02,4.639788e-03,8.838440e-03,-1.010173e+01,[0.31946675 0.0160926 ],1.706782e-02,"[[0.00640359 0.00207234]
 [0.00207234 0.00707464]]"
33,198,1.197977e-06,[[-0.16693034 -0.37419461]],2.229258e-06,3.187626e-01,1.625488e-02,4.003976e-03,7.378816e-03,-1.042961e+01,[0.31876261 0.01625488],1.460177e-02,"[[0.00574652 0.00168652]
 [0.00168652 0.00563627]]"
34,204,9.647655e-07,[[-0.16693034 -0.37419461]],1.051378e-06,3.189510e-01,1.720095e-02,3.806583e-03,6.781777e-03,-1.056454e+01,[0.31895097 0.01720095],1.414199e-02,"[[0.0047101  0.00136814]
 [0.00136814 0.00587826]]"
35,210,7.944007e-07,[[-0.16693034 -0.37419461]],9.813308e-07,3.189668e-01,1.746029e-02,3.135253e-03,5.734058e-03,-1.092638e+01,[0.31896675 0.01746029],1.298829e-02,"[[0.00370978 0.00107842]
 [0.00107842 0.00515954]]"
36,216,6.952306e-07,[[-0.16693034 -0.37419461]],4.890324e-07,3.186135e-01,1.723282e-02,2.625196e-03,4.796386e-03,-1.128249e+01,[0.31861346 0.01723282],1.121233e-02,"[[0.00319207 0.00095365]
 [0.00095365 0.00422951]]"
37,222,1.801319e-07,[[-0.16693034 -0.37419461]],7.535824e-07,3.186583e-01,1.698574e-02,2.090589e-03,3.941226e-03,-1.170657e+01,[0.31865829 0.01698574],8.947704e-03,"[[0.0025318  0.00078858]
 [0.00078858 0.00350001]]"
38,228,5.257533e-08,[[-0.16693034 -0.37419461]],1.126706e-07,3.180049e-01,1.719073e-02,2.796833e-03,3.950129e-03,-1.141327e+01,[0.31800485 0.01719073],1.079618e-02,"[[0.0038978  0.00024002]
 [0.00024002 0.00284916]]"
39,234,5.257533e-08,[[-0.16693034 -0.37419461]],6.262891e-08,3.181006e-01,1.774363e-02,3.168919e-03,3.323846e-03,-1.146100e+01,[0.31810064 0.01774363],1.209232e-02,"[[ 3.22482444e-03 -7.44034278e-05]
 [-7.44034278e-05  3.26793995e-03]]"
40,240,5.257533e-08,[[-0.16693034 -0.37419461]],7.298635e-08,3.182084e-01,1.766683e-02,2.562878e-03,2.709403e-03,-1.187765e+01,[0.31820841 0.01766683],1.066701e-02,"[[ 2.57161757e-03 -3.47018732e-05]
 [-3.47018732e-05  2.70066323e-03]]"
41,246,2.236957e-08,[[-0.16693034 -0.37419461]],9.026774e-09,3.180581e-01,1.747375e-02,2.098456e-03,2.249488e-03,-1.226361e+01,[0.31805806 0.01747375],8.910016e-03,"[[2.13731866e-03 6.60245487e-05]
 [6.60245487e-05 2.21062563e-03]]"
42,252,2.236957e-08,[[-0.16693034 -0.37419461]],1.887183e-08,3.180690e-01,1.762846e-02,1.679826e-03,1.815598e-03,-1.270041e+01,[0.31806903 0.01762846],7.379311e-03,"[[1.69055860e-03 3.66337890e-05]
 [3.66337890e-05 1.80486523e-03]]"
43,258,1.520611e-08,[[-0.16693034 -0.37419461]],2.148847e-08,3.180910e-01,1.761900e-02,1.345546e-03,1.449126e-03,-1.314775e+01,[0.31809103 0.017619  ],5.693463e-03,"[[1.35603755e-03 3.12506340e-05]
 [3.12506340e-05 1.43863513e-03]]"
44,264,5.535232e-09,[[-0.16693034 -0.37419461]],1.388941e-08,3.180919e-01,1.755679e-02,1.064927e-03,1.187374e-03,-1.358086e+01,[0.31809185 0.01755679],4.433394e-03,"[[1.06878984e-03 2.14012277e-05]
 [2.14012277e-05 1.18351142e-03]]"
