Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,eigval0,eigval1,logDetC,m,sigma,C
1,6,1.358619e-03,[[ 0.11377954 -1.21918345]],2.112419e-01,1.413418e+00,-7.734145e-01,8.688035e-01,1.151008e+00,-1.942890e-16,[ 1.41341817 -0.77341453],3.711209e-01,"[[ 0.8698236  -0.01693647]
 [-0.01693647  1.14998816]]"
2,12,1.358619e-03,[[ 0.11377954 -1.21918345]],3.767837e-03,1.003314e+00,-6.754597e-01,8.740539e-01,1.142626e+00,-1.283671e-03,[ 1.00331375 -0.67545968],3.875644e-01,"[[ 1.08679522 -0.10898448]
 [-0.10898448  0.92988518]]"
3,18,1.358619e-03,[[ 0.11377954 -1.21918345]],6.467981e-02,1.175499e+00,-5.853922e-01,7.414722e-01,9.581373e-01,-3.418819e-01,[ 1.17549866 -0.58539223],3.247558e-01,"[[ 0.90803184 -0.09135394]
 [-0.09135394  0.7915776 ]]"
4,24,1.358619e-03,[[ 0.11377954 -1.21918345]],1.008900e-01,1.061588e+00,-4.161300e-01,6.141468e-01,9.091056e-01,-5.828154e-01,[ 1.06158838 -0.41613004],3.111721e-01,"[[ 0.76948671 -0.14726979]
 [-0.14726979  0.75376564]]"
5,30,1.358619e-03,[[ 0.11377954 -1.21918345]],7.461179e-02,1.226595e+00,-6.699479e-01,4.952059e-01,9.317981e-01,-7.734208e-01,[ 1.22659501 -0.66994792],2.667067e-01,"[[ 0.67481867 -0.21484134]
 [-0.21484134  0.75218535]]"
6,36,1.358619e-03,[[ 0.11377954 -1.21918345]],2.286483e-02,9.235683e-01,-5.688014e-01,4.691009e-01,1.017465e+00,-7.396232e-01,[ 0.92356829 -0.56880137],2.792229e-01,"[[ 0.87092245 -0.24266019]
 [-0.24266019  0.61564343]]"
7,42,1.358619e-03,[[ 0.11377954 -1.21918345]],1.687311e-02,1.022390e+00,-6.037221e-01,3.809318e-01,8.138085e-01,-1.171165e+00,[ 1.02239023 -0.60372207],2.251720e-01,"[[ 0.70532899 -0.18759116]
 [-0.18759116  0.48941126]]"
8,48,1.358619e-03,[[ 0.11377954 -1.21918345]],8.748189e-03,8.640033e-01,-7.214819e-01,4.819941e-01,7.254959e-01,-1.050723e+00,[ 0.86400329 -0.72148191],2.578556e-01,"[[ 0.72389308 -0.0196907 ]
 [-0.0196907   0.48359689]]"
9,54,1.304487e-03,[[ 0.11377954 -1.21918345]],2.644369e-03,9.644379e-01,-6.652453e-01,3.884291e-01,6.056624e-01,-1.447077e+00,[ 0.9644379  -0.66524532],2.059993e-01,"[[6.05662226e-01 2.16186422e-04]
 [2.16186422e-04 3.88429292e-01]]"
10,60,1.304487e-03,[[ 0.11377954 -1.21918345]],4.018661e-03,9.977754e-01,-6.673232e-01,3.173997e-01,4.903443e-01,-1.860241e+00,[ 0.99777543 -0.66732317],1.594696e-01,"[[0.49032991 0.00157753]
 [0.00157753 0.31741412]]"
11,66,1.304487e-03,[[ 0.11377954 -1.21918345]],2.474339e-03,1.000373e+00,-7.412097e-01,3.321240e-01,3.948995e-01,-2.031371e+00,[ 1.00037308 -0.7412097 ],1.525394e-01,"[[ 0.39447891 -0.00512111]
 [-0.00512111  0.33254459]]"
12,72,1.304487e-03,[[ 0.11377954 -1.21918345]],6.785515e-03,8.848487e-01,-6.771440e-01,2.670811e-01,5.160072e-01,-1.981837e+00,[ 0.88484869 -0.67714399],1.578222e-01,"[[ 0.49316852 -0.0718578 ]
 [-0.0718578   0.28991985]]"
13,78,7.578798e-04,[[ 0.11377954 -1.21918345]],1.908869e-03,9.163563e-01,-7.011652e-01,2.159606e-01,4.115603e-01,-2.420459e+00,[ 0.91635627 -0.70116518],1.301911e-01,"[[ 0.39284549 -0.05753581]
 [-0.05753581  0.23467539]]"
14,84,7.578798e-04,[[ 0.11377954 -1.21918345]],1.026672e-03,9.713511e-01,-6.873450e-01,1.819030e-01,3.735354e-01,-2.689024e+00,[ 0.9713511  -0.68734503],1.119796e-01,"[[ 0.36672599 -0.03547575]
 [-0.03547575  0.18871239]]"
15,90,7.578798e-04,[[ 0.11377954 -1.21918345]],1.876783e-03,9.583698e-01,-6.728721e-01,1.516464e-01,2.957590e-01,-3.104414e+00,[ 0.95836982 -0.67287211],9.294845e-02,"[[ 0.29018353 -0.02779221]
 [-0.02779221  0.15722188]]"
16,96,7.578798e-04,[[ 0.11377954 -1.21918345]],9.012922e-04,9.846083e-01,-7.035268e-01,1.351460e-01,2.766672e-01,-3.286339e+00,[ 0.98460833 -0.70352684],8.579629e-02,"[[ 0.25668894 -0.04927696]
 [-0.04927696  0.15512432]]"
17,102,1.364889e-04,[[ 0.11377954 -1.21918345]],1.843425e-03,9.628174e-01,-6.735927e-01,1.160375e-01,2.429621e-01,-3.568692e+00,[ 0.96281735 -0.67359271],7.360701e-02,"[[ 0.21323381 -0.05375388]
 [-0.05375388  0.14576582]]"
18,108,1.364889e-04,[[ 0.11377954 -1.21918345]],2.759063e-04,9.519651e-01,-7.004814e-01,1.322398e-01,1.922970e-01,-3.671852e+00,[ 0.95196513 -0.70048138],7.097258e-02,"[[ 0.18069875 -0.02370739]
 [-0.02370739  0.14383812]]"
19,114,1.364889e-04,[[ 0.11377954 -1.21918345]],7.666335e-04,9.506773e-01,-6.893194e-01,1.064199e-01,1.586290e-01,-4.081550e+00,[ 0.9506773  -0.68931936],5.707238e-02,"[[ 0.14820521 -0.02087015]
 [-0.02087015  0.11684371]]"
