Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,eigval0,eigval1,logDetC,m,sigma,C
1,6,1.734259e+00,[[ 1.97407802 -0.79162015]],1.263894e+01,-9.171780e-01,6.050560e-01,1.000000e+00,1.000000e+00,0.000000e+00,[-0.91717798  0.60505597],2.000000e+00,"[[1. 0.]
 [0. 1.]]"
2,12,1.734259e+00,[[ 1.97407802 -0.79162015]],1.052592e+00,7.643571e-01,-1.742335e+00,7.977720e-01,1.474030e+00,1.620677e-01,[ 0.76435714 -1.7423353 ],2.238478e+00,"[[ 1.02924778 -0.32086807]
 [-0.32086807  1.24255419]]"
3,18,2.923573e-02,[[ 1.97407802 -0.79162015]],4.131403e+00,2.364429e+00,-3.199771e+00,6.474820e-01,1.821054e+00,1.647513e-01,[ 2.36442859 -3.19977081],2.617752e+00,"[[ 1.12946249 -0.57735058]
 [-0.57735058  1.3390737 ]]"
4,24,2.923573e-02,[[ 1.97407802 -0.79162015]],1.905805e+00,1.470849e+00,-1.834921e+00,5.405787e-01,1.481709e+00,-2.219191e-01,[ 1.47084947 -1.8349208 ],2.191086e+00,"[[ 0.91394461 -0.46041689]
 [-0.46041689  1.10834276]]"
5,30,2.923573e-02,[[ 1.97407802 -0.79162015]],5.099440e-01,7.188410e-01,-2.063121e+00,4.624499e-01,1.182826e+00,-6.033105e-01,[ 0.71884097 -2.06312064],1.800917e+00,"[[ 0.76727518 -0.35590795]
 [-0.35590795  0.87800088]]"
6,36,2.923573e-02,[[ 1.97407802 -0.79162015]],6.041259e-01,9.049816e-01,-2.113227e+00,3.655508e-01,9.481963e-01,-1.059544e+00,[ 0.9049816  -2.11322666],1.395688e+00,"[[ 0.61057284 -0.2876199 ]
 [-0.2876199   0.70317422]]"
7,42,2.923573e-02,[[ 1.97407802 -0.79162015]],3.259348e-01,6.765088e-01,-2.202929e+00,3.002970e-01,7.608245e-01,-1.476336e+00,[ 0.6765088  -2.20292938],1.131864e+00,"[[ 0.49880052 -0.22806287]
 [-0.22806287  0.56232102]]"
8,48,2.923573e-02,[[ 1.97407802 -0.79162015]],4.918984e-01,8.807990e-01,-2.193969e+00,2.391926e-01,6.105765e-01,-1.923838e+00,[ 0.88079902 -2.19396886],8.698875e-01,"[[ 0.40096878 -0.18414542]
 [-0.18414542  0.44880026]]"
9,54,2.923573e-02,[[ 1.97407802 -0.79162015]],1.858035e-01,1.503134e-01,-2.344016e+00,3.253067e-01,5.849634e-01,-1.659193e+00,[ 0.15031339 -2.3440157 ],1.005962e+00,"[[ 0.54328206 -0.0953179 ]
 [-0.0953179   0.36698802]]"
10,60,2.923573e-02,[[ 1.97407802 -0.79162015]],2.311084e-01,3.950932e-01,-2.218543e+00,2.608240e-01,4.863416e-01,-2.064754e+00,[ 0.39509324 -2.21854302],8.408895e-01,"[[ 0.45130254 -0.08169574]
 [-0.08169574  0.29586304]]"
11,66,2.923573e-02,[[ 1.97407802 -0.79162015]],9.598463e-02,1.273122e-01,-2.542324e+00,2.732496e-01,4.019518e-01,-2.208793e+00,[ 0.12731219 -2.54232437],8.650932e-01,"[[ 0.39773039 -0.02292355]
 [-0.02292355  0.27747107]]"
12,72,2.923573e-02,[[ 1.97407802 -0.79162015]],1.655034e-01,7.862129e-02,-2.442821e+00,2.173832e-01,3.328461e-01,-2.626169e+00,[ 0.07862129 -2.44282131],7.523211e-01,"[[ 0.33031549 -0.01690537]
 [-0.01690537  0.2199138 ]]"
13,78,2.923573e-02,[[ 1.97407802 -0.79162015]],7.682386e-02,4.107124e-01,-2.422588e+00,1.728883e-01,3.112806e-01,-2.922170e+00,[ 0.41071243 -2.42258769],6.364350e-01,"[[ 0.31030516 -0.01157753]
 [-0.01157753  0.17386372]]"
14,84,8.148005e-04,[[ 1.97407802 -0.79162015]],4.627735e-02,5.664092e-01,-2.570055e+00,1.460045e-01,2.979068e-01,-3.135092e+00,[ 0.56640918 -2.57005533],6.078981e-01,"[[ 0.28853268 -0.03655235]
 [-0.03655235  0.15537864]]"
15,90,8.148005e-04,[[ 1.97407802 -0.79162015]],5.863761e-03,4.624984e-01,-2.734349e+00,1.538543e-01,2.372466e-01,-3.310404e+00,[ 0.46249841 -2.73434922],6.055091e-01,"[[ 0.23011459 -0.02332147]
 [-0.02332147  0.16098632]]"
16,96,8.148005e-04,[[ 1.97407802 -0.79162015]],3.079538e-02,4.833605e-01,-2.850561e+00,1.461675e-01,1.950409e-01,-3.557548e+00,[ 0.4833605  -2.85056101],6.051967e-01,"[[ 0.18314935 -0.02097077]
 [-0.02097077  0.15805905]]"
17,102,8.148005e-04,[[ 1.97407802 -0.79162015]],3.018595e-02,5.279888e-01,-2.810396e+00,1.165960e-01,1.580554e-01,-3.993850e+00,[ 0.52798882 -2.81039619],5.079547e-01,"[[ 0.14890019 -0.01719744]
 [-0.01719744  0.12575117]]"
